Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Lesotho,12.36,17.62,16.98,15.47,11.86,8.85,6.30,6.38,8.31,12.02,13.68,14.82,16.27
Quthing,13.11,18.40,17.80,16.16,12.78,9.60,7.24,7.58,9.25,12.51,13.94,15.37,17.00
"Qacha's Nek",12.00,17.02,16.44,15.08,11.42,8.91,6.42,6.56,8.45,11.61,12.99,14.05,15.35
Mokhotlong,9.92,14.84,14.31,13.04,9.36,6.70,3.97,3.99,6.05,9.70,11.48,12.23,13.68
"Mohale's Hoek",13.60,19.09,18.39,16.73,13.21,9.84,7.42,7.67,9.41,13.11,14.68,16.18,17.79
Maseru,13.38,18.80,18.06,16.45,12.87,9.71,7.27,7.34,9.21,13.10,14.70,15.99,17.38
Mafeteng,14.98,20.92,20.10,18.36,14.57,10.95,8.25,8.32,10.25,14.44,16.36,18.04,19.64
Leribe,12.74,18.05,17.47,15.88,12.30,9.15,6.40,6.29,8.47,12.48,14.43,15.39,16.81
"Butha Buthe",11.11,16.28,15.75,14.30,10.76,7.66,4.85,4.74,6.95,10.70,12.81,13.68,15.12
Berea,13.59,18.99,18.26,16.61,13.06,9.90,7.28,7.31,9.34,13.46,15.12,16.32,17.67
"Thaba Tseka",10.94,15.96,15.36,13.97,10.30,7.69,5.27,5.31,7.19,10.71,12.22,13.13,14.44
