Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Lithuania,7.38,-3.34,-2.82,0.98,7.35,12.60,15.96,18.28,17.72,12.95,7.29,2.46,-1.52
Alytaus,7.28,-4.04,-3.13,0.84,7.55,12.88,16.28,18.43,17.80,12.86,7.09,2.14,-2.04
Vilniaus,7.30,-3.86,-3.14,0.91,7.49,12.97,16.23,18.46,17.83,12.83,7.02,2.03,-1.95
Utenos,7.05,-3.92,-3.46,0.55,7.25,12.62,15.97,18.25,17.52,12.59,6.81,1.87,-2.20
Telsiu,7.38,-2.63,-2.33,0.94,6.74,11.86,15.40,17.85,17.52,12.95,7.56,2.87,-0.80
Taurages,7.59,-2.90,-2.40,1.31,7.50,12.57,15.93,18.22,17.79,13.13,7.62,2.76,-1.09
Siauliu,7.35,-3.09,-2.71,0.87,7.08,12.32,15.76,18.15,17.64,12.94,7.33,2.57,-1.28
Panevezio,7.24,-3.51,-3.21,0.76,7.41,12.65,15.98,18.30,17.60,12.76,7.02,2.23,-1.85
Marijampoles,7.63,-3.16,-2.48,1.40,7.76,12.88,16.16,18.38,17.93,13.20,7.54,2.71,-1.39
Klaipedos,7.87,-2.00,-1.73,1.54,7.06,11.96,15.49,18.09,17.87,13.57,8.30,3.67,-0.03
Kauno,7.47,-3.42,-2.77,1.11,7.59,12.85,16.14,18.40,17.81,13.02,7.31,2.51,-1.57
