Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Latvia,6.87,-3.53,-3.39,0.18,6.44,11.75,15.32,17.93,17.24,12.55,6.90,2.10,-1.73
Kraslavas,6.47,-4.91,-4.55,-0.40,6.76,12.41,15.90,18.16,17.20,12.16,6.16,1.09,-3.11
Jelgavas,7.51,-2.71,-2.50,1.06,7.03,12.16,15.77,18.29,17.78,13.15,7.51,2.81,-0.87
Gulbenes,6.25,-4.76,-4.43,-0.47,6.27,11.86,15.21,17.85,16.79,11.89,6.04,1.01,-2.96
Dobeles,7.36,-2.57,-2.45,0.75,6.58,11.76,15.45,17.97,17.56,13.01,7.51,2.87,-0.75
Daugavpils,6.81,-4.32,-3.93,0.06,7.01,12.50,15.99,18.29,17.39,12.44,6.55,1.55,-2.56
Cesu,6.27,-4.28,-4.15,-0.47,6.01,11.32,14.73,17.46,16.68,11.94,6.31,1.48,-2.54
Bauskas,7.36,-3.17,-2.91,0.88,7.25,12.39,15.89,18.31,17.68,12.92,7.24,2.49,-1.41
Ventspils,7.65,-1.06,-1.39,1.10,5.78,10.52,14.39,17.60,17.56,13.53,8.27,4.01,0.86
Balvu,6.35,-4.91,-4.66,-0.52,6.49,12.24,15.73,18.17,17.04,12.00,6.07,0.92,-3.14
Valmieras,6.56,-3.92,-3.93,-0.34,5.93,11.44,14.91,17.83,17.03,12.35,6.70,1.96,-1.90
Aluksnes,6.22,-4.87,-4.67,-0.61,6.25,11.92,15.39,17.96,16.83,11.89,6.00,0.89,-3.03
Valkas,6.32,-4.38,-4.25,-0.48,6.05,11.53,14.96,17.71,16.81,11.99,6.30,1.38,-2.52
Aizkraukles,6.80,-3.87,-3.64,0.18,6.86,12.10,15.54,17.96,17.19,12.35,6.66,1.80,-2.26
Tukuma,7.30,-2.27,-2.34,0.62,6.21,11.28,15.14,17.78,17.44,13.01,7.56,3.02,-0.45
Jekabpils,6.71,-4.16,-3.82,0.07,6.88,12.22,15.60,18.05,17.16,12.29,6.52,1.57,-2.55
Talsu,7.34,-1.56,-1.95,0.61,5.61,10.41,14.51,17.51,17.37,13.14,7.85,3.53,0.36
Saldus,7.34,-2.22,-2.21,0.74,6.22,11.34,15.05,17.71,17.45,13.03,7.67,3.05,-0.41
Rigas,7.21,-3.10,-2.95,0.64,6.74,11.93,15.51,18.14,17.50,12.87,7.25,2.52,-1.25
Rezeknes,6.45,-4.80,-4.43,-0.36,6.67,12.33,15.79,18.14,17.13,12.09,6.14,1.08,-3.09
Preilu,6.73,-4.40,-4.01,-0.04,6.89,12.47,15.91,18.27,17.30,12.36,6.44,1.47,-2.71
Ogres,6.94,-3.57,-3.42,0.37,6.82,12.04,15.57,18.02,17.26,12.50,6.90,2.08,-1.95
Madonas,6.45,-4.48,-4.12,-0.21,6.54,11.97,15.39,17.92,16.96,12.06,6.27,1.26,-2.83
Ludzas,6.40,-5.02,-4.70,-0.50,6.65,12.45,15.91,18.22,17.15,12.06,6.11,0.93,-3.22
Limbazu,6.80,-3.44,-3.50,-0.08,5.94,11.31,14.93,17.84,17.15,12.64,7.04,2.47,-1.39
Liepajas,7.77,-1.41,-1.48,1.34,6.35,11.20,14.85,17.73,17.66,13.57,8.36,3.92,0.53
Kuldigas,7.52,-1.59,-1.73,0.98,6.04,10.94,14.68,17.61,17.50,13.34,8.01,3.58,0.29
