Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Morocco,18.15,9.85,11.51,14.26,16.41,19.79,23.61,26.84,26.86,23.22,19.32,14.52,11.09
"Grand Casablanca",18.35,12.41,13.28,14.97,16.63,18.95,21.86,24.01,24.34,22.60,20.20,16.60,13.97
"Guelmim - Es-Semara",20.99,13.64,15.58,18.29,19.67,22.35,24.80,27.67,27.85,25.38,22.61,18.67,14.97
"Laâyoune - Boujdour - Sakia El Hamra",21.93,16.99,18.05,19.73,20.83,21.99,23.83,25.96,26.60,25.48,23.95,21.07,18.41
"Marrakech - Tensift - Al Haouz",17.83,10.73,12.05,14.40,16.21,19.16,22.16,25.17,25.26,22.24,19.26,15.06,11.87
"Doukkala - Abda",18.77,12.66,13.60,15.51,17.15,19.57,22.16,24.83,25.19,22.93,20.54,16.81,13.96
"Taza - Al Hoceima - Taounate",16.59,8.91,9.91,12.23,14.12,17.52,21.84,25.45,25.68,21.95,17.75,13.02,10.20
"Meknès - Tafilalet",17.94,7.82,10.01,13.34,16.27,20.35,25.24,28.90,28.65,23.79,18.61,12.78,8.99
"Fès - Boulemane",15.51,6.79,8.18,10.82,13.10,16.93,21.65,25.65,25.66,21.16,16.43,11.20,8.04
"Gharb - Chrarda - Béni Hssen",18.35,12.15,13.07,14.87,16.52,19.23,22.31,24.66,24.90,22.62,19.97,16.04,13.45
"Rabat - Salé - Zemmour - Zaer",17.58,10.80,11.82,13.75,15.54,18.61,21.88,24.77,24.96,22.25,19.22,14.95,12.03
"Souss - Massa - Draâ",18.07,9.07,11.20,14.36,16.71,20.38,24.07,27.20,26.98,23.06,19.03,14.05,10.22
"Tadla - Azilal",16.05,6.94,8.68,11.47,13.97,17.94,22.28,26.27,26.08,21.65,17.04,11.60,8.07
"Chaouia - Ouardigha",18.06,10.91,12.08,14.11,16.04,19.05,22.45,25.55,25.76,23.01,19.73,15.34,12.24
"Tanger - Tétouan",17.02,10.86,11.52,13.38,14.84,17.64,21.08,23.68,24.06,21.47,18.47,14.59,12.28
Oriental,17.24,7.86,9.41,12.48,15.16,19.03,24.18,27.64,27.66,23.06,18.08,12.60,9.17
