Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Moldova,10.89,-1.75,-0.14,4.49,11.21,16.95,20.87,22.83,22.50,17.14,10.91,5.05,-0.11
Orhei,10.78,-1.96,-0.36,4.34,11.26,17.01,20.83,22.72,22.40,17.05,10.79,4.83,-0.29
Lapusna,11.15,-1.52,0.19,4.92,11.46,17.13,20.99,22.99,22.65,17.43,11.23,5.36,0.18
Gagauzia,11.27,-1.28,0.43,5.03,11.39,17.06,21.11,23.11,22.81,17.51,11.41,5.56,0.40
Edinet,10.35,-2.11,-0.64,3.74,10.66,16.39,20.39,22.39,21.96,16.53,10.26,4.52,-0.59
Dubasari,10.73,-1.98,-0.45,4.21,11.10,16.90,20.84,22.72,22.44,16.98,10.68,4.77,-0.23
Chisinau,11.00,-1.67,-0.09,4.61,11.39,17.12,20.96,22.90,22.62,17.26,11.01,5.12,-0.01
Cahul,11.52,-1.14,0.70,5.35,11.66,17.32,21.29,23.34,23.02,17.86,11.78,5.90,0.49
Balti,10.84,-1.87,-0.22,4.47,11.25,16.99,20.86,22.77,22.42,17.11,10.86,5.02,-0.29
Ungheni,10.85,-1.92,-0.13,4.65,11.31,16.96,20.77,22.64,22.33,17.11,10.96,5.06,-0.28
Tighina,11.04,-1.46,0.07,4.62,11.09,16.93,20.99,23.03,22.72,17.25,10.98,5.29,0.26
Soroca,10.69,-2.00,-0.50,4.13,11.08,16.88,20.84,22.80,22.43,16.97,10.61,4.71,-0.41
