Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Madagascar,22.64,24.86,24.88,24.72,23.69,21.94,20.07,19.30,19.92,21.18,22.72,23.91,24.69
Vakinankaratra,18.72,21.16,21.31,20.89,19.78,17.73,15.61,14.82,15.42,17.16,19.15,20.52,21.22
Analamanga,19.60,21.82,21.99,21.70,20.71,18.83,16.76,15.95,16.49,18.04,19.99,21.24,21.82
"Haute Matsiatra",20.03,22.83,22.79,22.27,21.04,18.95,16.80,15.95,16.68,18.42,20.35,21.79,22.69
"Amoron I Mania",19.47,22.03,22.13,21.65,20.52,18.43,16.30,15.50,16.17,17.91,19.86,21.26,22.05
Diana,24.18,25.22,25.20,25.48,25.23,24.36,22.83,21.96,22.25,23.09,24.19,25.08,25.38
"Alaotra Mangoro",20.81,22.82,23.14,22.85,21.96,20.32,18.43,17.57,18.02,19.19,20.76,22.00,22.83
Bongolava,21.40,23.52,23.48,23.44,22.51,20.57,18.50,17.80,18.49,20.06,21.94,23.11,23.53
Boeny,26.26,27.41,27.28,27.81,27.36,26.00,24.29,23.57,24.31,25.33,26.75,27.57,27.51
"Vatovavy Fitovinany",22.33,24.98,25.25,24.70,23.43,21.43,19.50,18.57,19.18,20.54,22.26,23.62,24.76
"Atsimo Andrefana",23.15,26.24,26.10,25.75,24.05,21.88,20.00,19.32,20.15,21.47,23.01,24.41,25.64
Menabe,24.34,26.81,26.67,26.65,25.40,23.21,21.24,20.55,21.40,22.94,24.70,25.98,26.71
Anosy,21.09,24.22,24.11,23.52,21.92,19.93,18.10,17.38,18.11,19.39,20.93,22.18,23.49
Melaky,25.30,26.89,26.79,27.12,26.44,24.76,22.88,22.22,22.94,24.19,25.74,26.73,27.02
Androy,22.70,25.86,25.78,25.26,23.52,21.56,19.76,19.10,19.81,20.92,22.36,23.63,25.02
Itasy,19.09,21.47,21.54,21.22,20.18,18.18,16.02,15.26,15.86,17.57,19.58,20.88,21.46
Analanjirofo,22.48,24.46,24.57,24.37,23.69,22.31,20.63,19.78,20.04,20.78,21.92,23.19,24.15
Ihorombe,20.58,23.59,23.43,22.94,21.51,19.41,17.43,16.62,17.40,18.97,20.70,22.04,23.18
Betsiboka,23.25,24.95,24.94,25.08,24.37,22.79,20.92,20.17,20.80,22.01,23.59,24.63,24.94
Atsinanana,22.32,24.27,25.12,24.65,23.57,21.81,19.90,18.95,19.33,20.43,22.06,23.40,24.60
Sofia,23.65,24.86,24.82,25.08,24.72,23.69,22.10,21.33,21.77,22.55,23.67,24.45,24.83
"Atsimo Atsinanana",21.95,24.96,24.89,24.33,22.90,20.91,19.06,18.12,18.88,20.25,21.87,23.05,24.36
Sava,23.39,25.03,25.13,25.10,24.56,23.44,21.90,20.97,21.14,21.84,22.82,24.04,24.86
