Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Maldives,27.80,27.57,28.26,28.21,28.49,28.17,27.96,27.55,27.57,27.51,27.36,27.57,27.42
Faafu,28.47,28.17,28.55,29.01,29.38,29.03,28.56,28.31,28.22,28.11,28.15,28.05,28.11
Dhaalu,28.47,28.17,28.55,29.01,29.38,29.03,28.56,28.31,28.22,28.11,28.15,28.05,28.11
Meemu,28.47,28.17,28.55,29.01,29.38,29.03,28.56,28.31,28.22,28.11,28.15,28.05,28.11
"Gaafu Alifu",28.47,28.17,28.55,29.01,29.38,29.03,28.56,28.31,28.22,28.11,28.15,28.05,28.11
Raa,28.47,28.17,28.55,29.01,29.38,29.03,28.56,28.31,28.22,28.11,28.15,28.05,28.11
Noonu,28.47,28.17,28.55,29.01,29.38,29.03,28.56,28.31,28.22,28.11,28.15,28.05,28.11
Baa,28.47,28.17,28.55,29.01,29.38,29.03,28.56,28.31,28.22,28.11,28.15,28.05,28.11
Male',28.47,28.17,28.55,29.01,29.38,29.03,28.56,28.31,28.22,28.11,28.15,28.05,28.11
"Alifu Dhaalu",28.47,28.17,28.55,29.01,29.38,29.03,28.56,28.31,28.22,28.11,28.15,28.05,28.11
Lhaviyani,28.47,28.17,28.55,29.01,29.38,29.03,28.56,28.31,28.22,28.11,28.15,28.05,28.11
"Alifu Alifu",28.47,28.17,28.55,29.01,29.38,29.03,28.56,28.31,28.22,28.11,28.15,28.05,28.11
Laamu,28.47,28.17,28.55,29.01,29.38,29.03,28.56,28.31,28.22,28.11,28.15,28.05,28.11
Kaafu,28.47,28.17,28.55,29.01,29.38,29.03,28.56,28.31,28.22,28.11,28.15,28.05,28.11
"Haa Dhaalu",28.47,28.17,28.55,29.01,29.38,29.03,28.56,28.31,28.22,28.11,28.15,28.05,28.11
Vaavu,27.80,27.57,28.26,28.21,28.49,28.17,27.96,27.55,27.57,27.51,27.36,27.57,27.42
"Haa Alifu",28.47,28.17,28.55,29.01,29.38,29.03,28.56,28.31,28.22,28.11,28.15,28.05,28.11
Thaa,27.80,27.57,28.26,28.21,28.49,28.17,27.96,27.55,27.57,27.51,27.36,27.57,27.42
Shaviyani,27.80,27.57,28.26,28.21,28.49,28.17,27.96,27.55,27.57,27.51,27.36,27.57,27.42
"Gaafu Dhaalu",28.47,28.17,28.55,29.01,29.38,29.03,28.56,28.31,28.22,28.11,28.15,28.05,28.11
Seenu,27.80,27.57,28.26,28.21,28.49,28.17,27.96,27.55,27.57,27.51,27.36,27.57,27.42
