Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Mexico,21.31,15.78,17.32,19.40,22.10,24.25,25.74,25.44,25.33,24.07,21.81,18.35,15.95
Coahuila,20.61,11.92,14.44,17.58,21.86,25.39,27.76,27.72,27.33,24.51,20.87,15.35,12.20
Tlaxcala,15.16,12.08,13.81,15.93,17.22,17.44,17.21,16.23,16.36,15.60,14.78,13.15,12.05
Chihuahua,17.79,9.39,11.25,14.01,17.96,22.00,25.79,25.13,24.56,22.42,18.44,12.88,9.24
Tamaulipas,23.67,16.56,18.93,21.67,25.06,27.50,28.83,28.63,28.72,26.85,24.00,19.86,17.16
Chiapas,23.95,21.68,22.65,24.13,25.52,25.74,25.22,24.79,24.86,24.50,23.86,22.56,21.83
Tabasco,27.12,23.76,25.02,26.79,28.85,29.40,29.16,28.63,28.82,28.23,27.11,25.36,24.19
Campeche,26.52,23.11,24.37,26.38,28.53,28.96,28.68,27.98,28.06,27.80,26.50,24.36,23.42
Sonora,22.45,14.52,15.74,18.10,21.37,24.95,29.22,30.01,29.52,28.48,24.16,18.41,14.56
"Baja California Sur",22.47,17.52,17.81,19.14,20.64,22.41,24.41,27.33,28.29,27.87,24.73,21.01,18.14
Sinaloa,24.51,18.86,19.91,21.12,23.71,26.54,29.30,29.00,28.59,28.22,26.64,22.62,19.37
"San Luis Potosi",20.11,15.24,17.46,19.37,22.16,23.63,23.89,22.71,22.95,21.37,19.85,17.32,15.23
"Quintana Roo",26.35,23.53,24.38,25.78,27.43,28.01,28.12,27.91,28.05,27.80,26.47,24.82,23.77
"Baja California",18.97,13.15,13.45,15.29,17.14,19.30,22.38,25.53,26.11,24.81,20.59,16.26,13.20
Aguascalientes,18.07,13.35,15.15,17.14,19.73,21.71,22.02,20.51,20.47,19.35,18.10,15.58,13.64
Queretaro,18.96,14.98,16.89,19.20,21.34,22.36,21.90,20.75,20.74,19.51,18.31,16.42,15.01
Puebla,19.38,16.08,17.84,19.96,21.59,21.91,21.44,20.51,20.64,19.93,19.15,17.35,16.09
Oaxaca,22.20,19.85,20.99,22.52,24.02,24.35,23.71,22.91,23.10,22.49,21.91,20.65,19.80
"Nuevo Leon",21.63,14.09,16.61,19.25,22.90,25.68,27.40,27.54,27.44,24.89,21.71,17.16,14.57
Nayarit,22.76,18.83,19.78,20.65,22.56,24.69,26.03,25.36,25.25,24.74,24.07,21.52,19.45
Morelos,22.29,19.69,21.52,23.46,24.84,24.87,23.81,22.81,22.62,22.04,21.81,20.55,19.53
Michoacan,22.12,19.09,20.46,22.09,23.81,24.93,24.36,23.06,22.90,22.33,22.15,20.87,19.27
Mexico,16.63,13.67,15.29,17.20,18.72,19.15,18.68,17.62,17.51,16.88,16.28,14.90,13.66
Jalisco,20.79,16.94,18.31,19.81,21.92,23.69,23.94,22.67,22.53,21.86,21.21,19.23,17.31
Hidalgo,18.00,14.16,16.12,18.34,20.31,20.96,20.78,19.70,19.83,18.66,17.39,15.48,14.24
Guerrero,24.55,22.54,23.74,25.01,26.18,26.79,25.89,24.93,24.74,24.19,24.40,23.59,22.61
Guanajuato,18.47,14.37,16.33,18.45,20.65,21.97,21.50,20.13,20.18,19.12,18.13,16.17,14.51
Durango,17.92,11.93,13.74,15.74,18.77,21.62,23.42,22.16,21.81,20.38,18.33,14.82,12.03
Zacatecas,17.68,12.50,14.32,16.11,19.18,21.25,22.11,20.88,20.77,19.35,17.86,15.06,12.64
"Distrito Federal",13.59,10.53,12.12,13.96,15.38,15.72,15.67,14.86,14.81,14.19,13.54,11.77,10.49
Yucatan,26.63,23.48,24.43,26.26,28.13,28.76,28.69,28.32,28.42,28.02,26.68,24.66,23.60
Colima,25.19,22.68,23.20,23.80,25.15,26.78,27.39,26.77,26.60,25.85,26.13,24.74,23.04
Veracruz,24.63,20.37,21.86,23.83,26.39,27.56,27.61,26.69,26.96,26.04,24.78,22.38,20.92
