Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Macedonia,10.81,-0.20,1.74,5.63,9.93,14.80,18.72,21.08,21.36,16.88,11.73,6.26,1.23
Prilep,11.03,-0.29,1.88,5.96,10.14,15.03,19.07,21.42,21.68,17.09,11.93,6.56,1.24
Ohrid,9.92,-0.08,1.19,4.50,8.59,13.27,17.13,19.67,19.96,15.59,10.87,6.17,1.57
Negotino,12.21,0.64,3.16,7.08,11.46,16.37,20.47,22.89,23.09,18.57,13.08,7.19,1.98
Kumanovo,11.46,0.08,2.29,6.56,11.00,15.90,19.66,21.87,22.11,17.57,12.26,6.29,1.39
Krusevo,10.88,-0.15,1.70,5.79,9.95,14.79,18.73,21.08,21.34,16.86,11.81,6.62,1.41
Brod,9.78,-1.02,0.67,4.55,8.87,13.68,17.53,19.86,20.20,15.70,10.61,5.54,0.57
Bitola,10.89,-0.19,1.78,5.75,9.92,14.77,18.84,21.21,21.44,16.91,11.79,6.55,1.32
Berovo,10.16,-0.74,1.00,4.81,9.09,14.14,18.07,20.40,20.59,16.39,11.32,5.59,0.54
Stip,12.39,0.69,3.24,7.40,11.82,16.76,20.70,23.04,23.32,18.78,13.28,7.14,1.90
Skopje,10.88,-0.33,1.70,5.80,10.24,15.11,18.91,21.20,21.51,16.89,11.65,6.14,1.10
Resen,10.29,-0.16,1.33,4.96,9.11,13.88,17.87,20.33,20.57,16.11,11.19,6.29,1.39
Radovic,11.55,0.16,2.41,6.40,10.76,15.74,19.70,22.05,22.28,17.88,12.54,6.58,1.42
Probistip,11.05,-0.16,1.99,5.96,10.33,15.25,19.03,21.33,21.70,17.29,12.04,6.14,1.11
Gevgelija,12.73,1.25,3.72,7.50,11.86,16.77,21.04,23.47,23.58,19.08,13.61,7.75,2.60
Veles,12.10,0.42,2.85,7.13,11.57,16.47,20.42,22.77,23.05,18.31,12.93,6.99,1.69
"Demir Hisar",10.75,-0.14,1.63,5.62,9.77,14.59,18.52,20.89,21.16,16.69,11.69,6.56,1.43
Valandovo,12.92,1.44,3.90,7.68,12.04,16.96,21.24,23.66,23.77,19.27,13.80,7.91,2.77
Delcevo,10.11,-0.86,0.88,4.76,9.15,14.18,18.04,20.35,20.56,16.36,11.25,5.54,0.50
Tetovo,9.59,-1.04,0.50,4.34,8.74,13.57,17.28,19.58,19.94,15.38,10.35,5.32,0.50
Debar,8.99,-0.88,0.20,3.53,7.65,12.40,16.14,18.64,19.00,14.61,9.93,5.30,0.73
"Sveti Nikole",12.43,0.66,3.19,7.48,11.94,16.86,20.80,23.14,23.42,18.72,13.28,7.17,1.87
Strumica,12.63,1.33,3.56,7.35,11.69,16.66,20.90,23.27,23.37,18.97,13.62,7.67,2.59
Struga,9.87,-0.11,1.16,4.46,8.53,13.21,17.05,19.59,19.88,15.53,10.84,6.14,1.56
"Kriva Palanka",9.10,-1.39,0.15,3.87,8.17,13.07,16.61,18.85,19.34,15.12,10.24,4.69,-0.03
Kratovo,9.31,-1.26,0.34,4.11,8.43,13.32,16.88,19.12,19.58,15.34,10.42,4.83,0.10
Kocani,11.03,-0.26,1.85,5.88,10.33,15.27,19.06,21.36,21.68,17.30,12.01,6.14,1.07
Kicevo,8.97,-1.18,0.07,3.58,7.76,12.53,16.31,18.72,19.09,14.69,9.91,5.13,0.42
Kavadarci,11.72,0.20,2.64,6.60,10.87,15.78,19.92,22.33,22.53,17.94,12.59,6.95,1.65
Gostivar,7.77,-2.06,-1.12,2.28,6.46,11.27,14.95,17.34,17.77,13.39,8.73,4.09,-0.50
Vinica,10.45,-0.55,1.29,5.15,9.45,14.49,18.42,20.75,20.95,16.71,11.58,5.79,0.72
