Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Mali,29.21,21.92,24.87,28.70,31.82,33.98,34.12,32.52,31.10,31.38,30.46,26.70,22.77
Segou,28.92,24.21,27.33,30.86,33.29,33.60,31.55,28.72,27.30,28.01,29.39,27.92,24.92
Mopti,29.56,23.86,26.86,30.81,33.66,34.63,32.92,30.13,28.60,29.48,30.58,28.35,24.78
Koulikoro,28.60,24.41,27.45,30.60,32.83,33.06,31.13,28.21,26.93,27.68,28.86,27.15,24.91
Kidal,29.22,20.19,23.02,27.03,30.77,34.22,35.82,34.57,33.16,33.37,30.93,25.88,21.35
Kayes,28.95,24.98,27.82,30.87,33.36,33.91,31.50,28.42,27.24,27.70,28.82,27.48,25.32
Gao,30.09,22.36,25.21,29.43,33.05,35.52,35.25,33.02,31.35,32.51,31.86,27.75,23.58
Bamako,28.31,25.12,28.24,31.16,32.79,32.17,29.78,27.19,26.21,26.81,28.10,26.76,25.53
Tombouctou,29.28,20.06,23.05,27.16,30.68,34.00,35.74,35.24,33.74,33.40,31.07,25.86,20.99
Sikasso,27.61,24.86,27.84,30.66,31.65,30.41,28.24,26.47,25.81,26.30,27.44,26.81,24.96
