Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Malta,19.63,12.83,12.61,14.33,16.65,20.07,24.18,26.98,27.60,25.10,22.10,18.05,14.55
Qormi,19.56,12.74,12.50,14.22,16.54,20.00,24.15,26.97,27.55,25.02,22.03,17.99,14.49
Qala,19.44,12.73,12.50,14.12,16.43,19.90,23.90,26.66,27.35,24.89,21.90,17.97,14.47
Pieta,19.56,12.74,12.50,14.22,16.54,20.00,24.15,26.97,27.55,25.02,22.03,17.99,14.49
Pembroke,19.56,12.74,12.50,14.22,16.54,20.00,24.15,26.97,27.55,25.02,22.03,17.99,14.49
Paola,19.56,12.74,12.50,14.22,16.54,20.00,24.15,26.97,27.55,25.02,22.03,17.99,14.49
Naxxar,19.56,12.74,12.50,14.22,16.54,20.00,24.15,26.97,27.55,25.02,22.03,17.99,14.49
Nadur,19.44,12.73,12.50,14.12,16.43,19.90,23.90,26.66,27.35,24.89,21.90,17.97,14.47
Birzebbugia,19.87,13.14,12.97,14.73,17.04,20.29,24.27,26.99,27.77,25.38,22.33,18.28,14.77
Birkirkara,19.56,12.74,12.50,14.22,16.54,20.00,24.15,26.97,27.55,25.02,22.03,17.99,14.49
Birgu,19.56,12.74,12.50,14.22,16.54,20.00,24.15,26.97,27.55,25.02,22.03,17.99,14.49
Balzan,19.56,12.74,12.50,14.22,16.54,20.00,24.15,26.97,27.55,25.02,22.03,17.99,14.49
Attard,19.56,12.74,12.50,14.22,16.54,20.00,24.15,26.97,27.55,25.02,22.03,17.99,14.49
"Rabat (victoria)",19.44,12.73,12.50,14.12,16.43,19.90,23.90,26.66,27.35,24.89,21.90,17.97,14.47
"Rabat (malta)",19.56,12.74,12.50,14.22,16.54,20.00,24.15,26.97,27.55,25.02,22.03,17.99,14.49
Qrendi,19.56,12.74,12.50,14.22,16.54,20.00,24.15,26.97,27.55,25.02,22.03,17.99,14.49
Swieqi,19.56,12.74,12.50,14.22,16.54,20.00,24.15,26.97,27.55,25.02,22.03,17.99,14.49
Zurrieq,19.63,12.84,12.61,14.34,16.66,20.07,24.18,26.98,27.61,25.11,22.10,18.06,14.55
Zejtun,19.87,13.14,12.97,14.73,17.04,20.29,24.27,26.99,27.77,25.38,22.33,18.28,14.77
Floriana,19.56,12.74,12.50,14.22,16.54,20.00,24.15,26.97,27.55,25.02,22.03,17.99,14.49
