Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Myanmar (Burma)",23.80,18.86,20.67,23.56,26.26,26.64,25.88,25.59,25.52,25.58,24.78,22.32,19.75
"Shan (E)",22.36,17.50,19.09,21.99,24.56,25.25,25.15,24.56,24.50,24.30,22.99,20.49,17.81
"Bago (W)",27.04,23.42,25.28,28.44,30.83,29.84,27.43,26.86,26.92,27.47,27.66,26.30,24.02
"Bago (E)",26.87,23.52,25.25,28.22,30.60,29.33,27.20,26.54,26.51,27.18,27.51,26.42,24.19
Sagaing,23.92,17.39,19.72,22.73,25.98,27.45,27.00,27.12,26.88,26.65,25.36,21.74,18.76
Mon,26.50,24.64,25.57,27.56,29.19,27.76,26.39,25.80,25.65,26.27,27.03,26.77,25.36
Mandalay,26.08,20.69,22.98,26.66,29.77,29.50,27.94,27.76,27.47,27.67,26.78,24.11,21.56
"Shan (S)",22.43,17.61,19.49,22.77,25.55,25.26,24.54,24.00,23.89,24.00,23.21,20.75,17.93
Magway,26.10,21.33,22.97,26.43,29.44,29.51,27.27,27.25,27.08,27.46,26.97,24.75,22.61
"Shan (N)",21.70,15.43,17.49,20.58,23.64,24.84,25.16,24.67,24.75,24.58,22.98,19.59,16.46
Kayar,24.02,19.95,21.51,24.74,27.59,26.73,25.20,24.61,24.52,24.99,24.73,23.01,20.56
Kayin,25.48,22.74,24.03,26.53,28.54,27.48,25.85,25.27,25.14,25.73,26.10,25.11,23.25
Kachin,19.75,12.80,14.95,17.79,20.71,22.72,23.88,23.81,24.06,23.49,21.34,17.24,13.93
Ayeyawaddy,27.34,24.72,26.19,28.21,30.16,29.46,27.59,26.98,27.06,27.39,27.84,27.18,25.29
Chin,21.33,15.94,17.55,20.81,23.66,24.40,23.39,23.45,23.20,23.46,22.66,19.90,17.34
Yangon,27.68,25.34,26.85,28.92,30.83,29.42,27.61,27.03,27.02,27.48,28.12,27.69,25.89
Taninthayi,26.48,25.35,26.06,27.34,28.40,27.65,26.55,26.15,25.99,26.16,26.31,26.35,25.45
Rakhine,25.36,20.94,22.36,25.16,28.05,28.28,26.54,26.14,26.15,26.51,26.76,24.97,22.28
