Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Republic of Montenegro",9.90,0.18,1.19,4.55,8.56,13.43,17.21,19.78,20.09,15.33,10.67,5.91,1.34
Danilovgrad,9.94,0.25,1.24,4.52,8.49,13.39,17.22,19.88,20.17,15.34,10.70,6.02,1.43
Savnik,8.74,-1.00,0.03,3.40,7.45,12.36,16.09,18.56,18.87,14.12,9.52,4.78,0.09
Cetinje,12.06,2.54,3.46,6.71,10.48,15.26,19.23,22.02,22.33,17.48,12.86,8.16,3.67
Rozaj,8.02,-2.00,-0.89,2.69,6.99,11.89,15.53,17.78,18.10,13.49,8.78,3.87,-0.57
Kolasin,8.80,-0.90,0.04,3.36,7.44,12.35,16.09,18.66,18.96,14.20,9.56,4.90,0.30
Ulcinj,15.86,6.12,7.21,10.41,14.16,18.99,22.84,26.07,26.29,21.40,16.56,11.80,7.78
"Herceg Novi",12.35,2.89,3.82,7.07,10.85,15.56,19.52,22.22,22.50,17.73,13.14,8.47,3.91
Tivat,13.23,3.81,4.63,7.94,11.56,16.27,20.33,23.23,23.53,18.61,14.04,9.34,4.92
Kotor,11.14,1.62,2.56,5.78,9.61,14.38,18.32,21.01,21.33,16.53,11.94,7.28,2.71
Zabljak,8.02,-1.78,-0.68,2.78,6.89,11.82,15.46,17.77,18.07,13.42,8.81,3.94,-0.78
Andrijevica,7.86,-1.85,-0.98,2.38,6.62,11.54,15.14,17.63,17.94,13.31,8.60,3.94,-0.60
Niksic,9.92,0.32,1.32,4.54,8.50,13.31,17.17,19.75,20.07,15.32,10.72,6.07,1.41
Mojkovac,8.43,-1.32,-0.33,3.07,7.19,12.10,15.79,18.24,18.55,13.85,9.19,4.44,-0.19
Berane,7.89,-1.88,-0.96,2.45,6.70,11.61,15.22,17.66,17.98,13.35,8.64,3.93,-0.60
Pljevlja,8.12,-1.70,-0.58,2.90,7.01,11.94,15.58,17.87,18.17,13.52,8.90,4.02,-0.72
Bar,14.96,5.19,6.25,9.53,13.26,18.18,22.14,25.30,25.53,20.51,15.65,10.80,6.54
Plav,8.01,-1.77,-0.85,2.56,6.80,11.72,15.33,17.78,18.09,13.46,8.75,4.04,-0.48
Budva,13.23,3.81,4.63,7.94,11.56,16.27,20.33,23.23,23.53,18.61,14.04,9.34,4.92
Podgorica,12.37,2.61,3.63,6.93,10.82,15.75,19.60,22.52,22.78,17.87,13.08,8.31,3.91
"Bijelo Polje",8.45,-1.47,-0.39,3.18,7.40,12.28,15.98,18.25,18.55,13.92,9.14,4.26,-0.36
Pluzine,8.35,-1.41,-0.26,3.12,7.22,12.04,15.70,18.02,18.42,13.67,9.16,4.42,-0.51
