Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Mongolia,1.08,-19.90,-15.18,-6.32,3.84,10.71,16.62,19.12,17.01,10.50,1.77,-9.17,-17.07
Dornod,1.28,-20.92,-16.23,-7.12,3.72,11.62,17.93,20.87,18.54,11.63,2.12,-9.67,-18.18
Selenge,0.03,-22.55,-17.40,-6.82,3.36,10.09,16.35,19.00,16.79,9.83,0.91,-10.75,-19.52
O'vorxangai,2.46,-16.63,-12.08,-4.29,4.89,11.08,16.81,19.17,17.35,10.99,2.79,-7.27,-14.22
Orxon,-0.24,-21.77,-16.88,-6.75,3.15,9.38,15.38,17.85,15.65,8.98,0.59,-10.73,-18.75
Bulgan,-0.20,-21.15,-16.28,-6.52,3.13,9.25,15.00,17.34,15.19,8.79,0.58,-10.45,-18.32
O'mnogovi,6.42,-13.53,-8.33,-0.18,8.79,15.47,21.37,23.92,21.92,15.35,6.41,-3.78,-11.32
Bayanxongor,1.75,-17.53,-12.93,-5.29,4.20,10.55,16.46,18.94,16.80,10.39,1.79,-8.31,-14.91
Xo'vsgol,-4.82,-27.18,-22.09,-12.72,-1.30,5.28,11.24,13.68,11.48,5.33,-3.39,-15.49,-23.77
Bayan-O'lgii,-2.38,-19.55,-15.87,-8.62,-0.41,5.28,10.74,12.83,11.02,5.13,-2.20,-11.02,-16.70
Xovd,0.18,-21.13,-16.81,-7.01,3.51,9.97,15.62,17.54,15.47,9.19,1.22,-9.03,-17.45
Arxangai,-1.87,-21.05,-16.88,-8.73,0.82,6.90,12.40,14.63,12.63,6.72,-1.20,-11.38,-18.26
Xentii,-0.90,-22.53,-17.72,-8.22,1.84,9.30,15.45,18.15,15.81,9.12,-0.28,-12.51,-20.22
Zavxan,-3.42,-26.48,-21.97,-12.44,0.19,7.32,13.25,15.55,13.28,6.97,-1.62,-13.73,-22.47
Govi-Altai,2.64,-16.16,-12.11,-4.26,5.12,11.32,16.97,19.11,17.05,10.82,2.77,-6.58,-13.23
Uvs,-2.18,-26.76,-22.71,-12.55,1.30,9.37,15.46,17.53,15.19,8.81,0.24,-11.12,-22.14
Govisu'mber,1.43,-20.38,-15.52,-5.80,4.15,11.52,17.78,20.36,18.28,11.54,2.26,-9.87,-18.16
Ulaanbaatar,-1.27,-22.85,-17.81,-8.47,1.37,8.70,14.73,17.38,15.26,8.54,-0.56,-12.14,-20.44
Dundgovi,3.10,-17.93,-12.88,-3.93,5.67,12.73,18.74,21.47,19.53,12.67,3.59,-7.76,-15.74
To'v,-0.48,-22.21,-17.22,-7.56,2.42,9.45,15.52,18.14,16.10,9.30,0.28,-11.37,-19.63
Dornogovi,5.27,-16.22,-10.81,-1.75,7.73,15.14,21.02,23.94,21.84,15.10,5.82,-5.53,-14.04
Su'xbaatar,2.00,-19.99,-15.06,-5.96,4.59,12.16,18.16,21.21,19.06,12.25,2.84,-9.00,-17.38
Darxan-Uul,0.41,-23.00,-17.64,-6.43,3.98,10.73,17.00,19.64,17.60,10.50,1.51,-10.43,-19.74
