Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Mozambique,24.41,26.58,26.51,26.12,24.64,22.75,20.91,20.30,21.73,24.02,25.79,26.92,26.79
Niassa,23.59,24.84,24.92,24.77,23.61,22.12,20.45,19.90,21.34,23.72,25.67,26.38,25.51
Nampula,25.06,26.88,26.78,26.55,25.34,23.79,22.19,21.46,22.63,24.43,26.17,27.37,27.28
Maputo,23.62,27.29,27.30,26.32,24.17,21.73,19.42,18.94,20.52,22.53,23.86,25.12,26.49
Manica,23.71,26.33,26.10,25.57,23.80,21.66,19.64,19.05,20.76,23.46,25.33,26.58,26.41
"Lago niassa",23.93,25.09,25.21,25.01,24.07,22.71,21.03,20.38,21.52,23.83,25.88,26.76,25.79
Inhambane,24.15,27.33,27.31,26.61,24.75,22.38,20.58,19.83,20.99,23.05,24.43,25.94,26.77
Gaza,24.08,27.83,27.61,26.72,24.55,21.74,19.40,18.97,20.66,23.22,24.82,26.40,27.25
"Cabo Delgado",25.50,26.74,26.69,26.69,25.83,24.71,23.30,22.61,23.60,24.89,26.31,27.46,27.30
Zambezia,24.69,26.93,26.86,26.49,24.97,23.07,21.23,20.50,21.85,24.14,26.04,27.22,27.16
Tete,24.40,25.78,25.75,25.52,24.27,22.43,20.51,20.06,21.94,25.07,27.20,27.83,26.58
Sofala,25.03,27.79,27.62,27.13,25.35,23.27,21.36,20.62,22.01,24.28,26.01,27.42,27.74
