Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Mauritania,28.82,20.75,23.28,26.66,29.62,32.40,34.06,34.30,33.26,32.72,30.69,26.15,21.69
Inchiri,27.85,21.60,23.34,25.52,27.52,29.58,31.66,31.45,31.28,32.08,30.26,26.74,22.95
"Hodh El Gharbi",30.53,23.30,26.01,29.84,33.46,36.04,35.97,33.27,31.28,32.02,32.31,28.38,24.29
"Hodh Ech Chargi",30.07,22.13,25.03,28.86,32.45,35.18,35.80,34.04,32.29,32.59,31.87,27.54,22.86
Guidimakha,30.49,24.82,27.54,31.03,34.18,35.94,34.49,31.43,29.90,30.25,31.36,29.11,25.74
Gorgol,30.64,24.47,27.02,30.42,33.60,35.69,35.01,32.41,30.88,31.20,32.01,29.25,25.57
Dakhlet-Nouadhibou,25.52,20.76,22.02,23.62,24.69,26.05,27.74,28.02,28.35,29.55,27.92,25.17,22.22
Brakna,30.42,23.36,25.88,29.08,32.23,34.78,35.32,33.42,32.30,32.74,32.36,28.75,24.68
Assaba,30.66,23.52,26.22,29.92,33.49,36.01,35.83,33.38,31.70,32.23,32.24,28.62,24.61
Trarza,29.26,23.03,24.97,27.59,29.83,31.94,32.97,31.87,31.70,32.54,31.77,28.24,24.43
Adrar,29.19,20.31,22.90,26.37,29.46,32.60,34.99,35.97,34.99,34.02,31.08,25.99,21.26
Tiris-Zemmour,26.45,17.40,19.89,23.16,25.58,28.61,31.59,35.06,34.50,32.17,28.07,22.84,18.09
Tagant,30.27,21.89,24.50,28.30,31.91,34.95,36.22,35.20,33.61,33.64,32.32,27.51,22.94
Nouakchott,27.81,22.75,24.26,26.28,27.57,29.04,29.90,29.27,29.98,31.46,30.93,27.72,24.42
