Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Mauritius,23.29,25.91,26.07,25.74,24.78,23.00,21.34,20.37,20.45,21.04,22.17,23.70,25.10
Flacq,23.35,25.98,26.13,25.82,24.84,23.06,21.42,20.43,20.53,21.10,22.20,23.76,25.18
"Black River",22.93,25.56,25.73,25.30,24.44,22.65,20.91,20.00,20.00,20.72,22.00,23.35,24.67
"Administrative unit not available",24.81,26.90,27.12,27.00,26.32,24.98,23.39,22.45,22.25,22.77,23.67,24.85,26.14
Savanne,23.05,25.68,25.84,25.47,24.55,22.77,21.07,20.13,20.16,20.81,22.02,23.45,24.83
"Riviere Du Rempart",23.35,25.98,26.13,25.82,24.84,23.06,21.42,20.43,20.53,21.10,22.20,23.76,25.18
"Port Louis",23.19,25.82,25.98,25.62,24.69,22.91,21.22,20.27,20.33,20.95,22.12,23.60,24.99
"Plaines Wilhems",23.08,25.71,25.87,25.49,24.58,22.80,21.09,20.16,20.19,20.85,22.07,23.49,24.85
Pamplemousses,23.35,25.98,26.13,25.82,24.84,23.06,21.42,20.43,20.53,21.10,22.20,23.76,25.18
Moka,23.32,25.94,26.10,25.78,24.81,23.03,21.38,20.40,20.49,21.07,22.18,23.72,25.14
"Grand Port",23.35,25.98,26.13,25.82,24.84,23.06,21.42,20.43,20.53,21.10,22.20,23.76,25.18
