Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Namibia,20.45,24.53,24.04,22.98,20.84,17.70,14.97,14.68,16.44,19.61,22.25,23.29,24.27
Ohangwena,22.98,25.67,24.90,23.92,23.44,20.31,17.34,17.15,20.04,23.77,26.67,26.53,26.15
Kunene,18.06,20.68,20.55,19.88,18.73,16.70,14.90,14.34,15.17,17.28,18.67,19.62,20.33
Khomas,20.43,25.16,24.37,23.09,20.59,17.10,14.26,14.22,16.14,19.62,22.46,23.57,24.83
Kavango,22.67,25.55,25.04,24.38,22.70,19.54,16.53,16.40,19.53,23.33,26.53,26.36,26.31
Karas,19.44,24.81,24.55,23.20,20.01,16.76,13.78,13.33,14.37,17.22,20.05,21.84,23.76
Hardap,20.62,26.21,25.72,24.30,21.14,17.38,14.18,13.99,15.38,18.73,21.81,23.56,25.34
Erongo,20.20,23.18,22.92,22.48,21.08,18.74,16.85,16.49,17.00,18.89,20.63,21.70,22.62
Otjozondjupa,21.52,25.24,24.34,23.37,21.52,18.13,15.31,15.25,17.97,21.74,24.65,25.24,25.72
Caprivi,23.34,26.00,25.87,25.38,23.46,20.31,17.49,16.79,20.15,24.35,27.18,27.09,26.27
Oshikoto,22.79,25.95,25.04,23.97,23.06,19.74,16.83,16.68,19.60,23.48,26.30,26.47,26.54
Oshana,22.34,25.38,24.59,23.41,22.85,19.69,16.93,16.70,19.16,22.89,25.27,25.70,25.71
Omusati,20.43,23.12,22.63,21.71,21.00,18.31,15.85,15.57,17.50,20.67,22.63,23.15,23.20
Omaheke,20.89,25.69,24.86,23.46,20.83,17.02,13.89,13.74,16.39,20.42,23.90,24.89,25.82
