Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Nigeria,27.30,24.97,27.51,29.91,30.58,29.43,27.88,26.38,25.71,26.38,27.25,26.61,25.13
Ebonyi,27.00,26.68,28.65,29.15,28.43,27.45,26.53,25.83,25.59,25.99,26.49,26.96,26.47
Ogun,27.53,28.05,29.53,29.60,28.72,27.80,26.69,25.73,25.35,25.97,26.77,28.15,28.13
Bayelsa,26.33,26.71,27.80,27.69,27.27,26.63,25.78,25.10,24.85,25.23,25.72,26.59,26.72
Niger,28.01,26.93,29.45,31.53,31.34,29.41,27.57,26.41,25.78,26.34,27.39,27.44,26.70
Enugu,26.84,26.68,28.67,29.18,28.22,27.18,26.24,25.53,25.35,25.68,26.22,26.87,26.42
Lagos,27.39,27.88,29.24,29.31,28.53,27.63,26.58,25.70,25.35,25.92,26.67,27.97,28.01
Ekiti,26.11,26.24,28.22,28.58,27.55,26.42,25.35,24.46,24.05,24.66,25.33,26.52,26.15
Nassarawa,26.97,26.21,28.74,30.36,29.61,27.63,26.34,25.43,25.16,25.60,26.45,26.61,25.73
Gombe,27.51,23.64,26.64,30.38,31.91,30.62,28.81,26.99,26.17,26.81,27.86,26.31,24.01
Plateau,25.96,24.15,26.75,29.26,29.24,27.33,25.89,24.73,24.31,24.79,25.79,25.42,23.95
Ondo,27.01,27.39,29.09,29.17,28.19,27.25,26.24,25.28,24.93,25.53,26.24,27.58,27.39
Kwara,27.47,26.95,29.35,30.59,29.81,28.27,26.85,25.80,25.29,25.84,26.76,27.46,26.89
Kogi,27.26,27.17,29.39,30.14,29.08,27.61,26.46,25.65,25.34,25.85,26.54,27.27,26.86
Kebbi,28.94,25.71,28.69,32.26,33.58,32.07,29.76,27.78,26.85,27.60,29.04,28.05,25.97
Katsina,26.97,22.01,25.14,29.12,31.56,31.22,29.24,26.99,25.86,26.86,27.49,25.26,22.81
Kano,26.73,22.09,25.27,29.01,31.19,30.61,28.78,26.67,25.61,26.30,27.15,25.15,22.97
Kaduna,25.84,23.88,26.48,29.01,29.35,27.73,25.99,24.60,23.93,24.66,25.59,25.09,23.91
Jigawa,27.76,21.88,25.05,29.38,32.29,32.35,30.84,28.37,27.19,28.22,28.72,25.91,22.90
Imo,26.58,26.68,28.15,28.28,27.65,26.95,26.05,25.36,25.17,25.53,26.03,26.76,26.52
Bauchi,26.71,22.83,25.74,29.31,30.77,29.76,28.16,26.25,25.46,26.25,27.18,25.56,23.30
Zamfara,27.64,23.92,26.93,30.55,32.31,31.25,28.92,26.83,25.79,26.81,27.80,26.33,24.28
Abia,26.50,26.53,28.00,28.13,27.59,26.91,26.05,25.33,25.15,25.51,25.99,26.61,26.36
Abuja,27.22,26.93,29.26,30.53,29.72,27.81,26.35,25.42,25.11,25.64,26.59,26.95,26.48
Yobe,28.35,22.10,25.29,29.69,32.98,33.13,31.69,29.04,27.90,29.18,29.65,26.53,22.99
Delta,27.12,27.45,28.87,28.90,28.18,27.38,26.45,25.68,25.44,25.87,26.48,27.49,27.39
Sokoto,29.06,24.34,27.44,31.45,33.84,33.43,31.07,28.51,27.37,28.58,29.84,27.90,25.02
"Cross River",26.37,26.06,27.71,28.19,27.79,26.93,26.06,25.22,25.00,25.44,25.94,26.34,25.89
Rivers,25.96,26.23,27.40,27.30,26.96,26.30,25.49,24.83,24.60,24.96,25.40,26.14,26.13
Taraba,26.36,24.95,27.28,29.50,29.54,27.52,26.13,25.22,24.89,25.02,25.98,25.78,24.60
Borno,28.28,22.78,25.88,30.04,33.07,32.79,31.02,28.56,27.32,28.43,29.29,26.58,23.56
Benue,27.16,26.48,28.89,30.16,29.51,27.68,26.63,25.85,25.61,25.90,26.62,26.85,25.98
Anambra,27.00,27.07,28.81,29.08,28.23,27.32,26.36,25.62,25.44,25.83,26.38,27.17,26.87
Oyo,27.16,27.26,29.26,29.76,28.76,27.63,26.43,25.40,24.87,25.53,26.37,27.60,27.26
"Akwa Ibom",26.33,26.46,27.69,27.73,27.33,26.79,25.98,25.19,25.01,25.38,25.82,26.41,26.31
Osun,26.64,26.78,28.73,28.95,27.95,26.96,25.96,24.93,24.47,25.16,25.89,27.22,26.88
Adamawa,27.05,24.16,26.92,30.43,31.39,29.49,27.54,26.13,25.46,25.74,26.99,26.10,24.33
Edo,27.15,27.42,29.16,29.33,28.37,27.39,26.40,25.54,25.27,25.78,26.42,27.53,27.34
