Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Nicaragua,25.97,24.83,25.20,26.45,27.30,27.32,26.44,26.32,26.09,26.02,25.80,24.99,24.82
Esteli,23.80,22.21,22.77,24.29,24.95,25.31,24.62,24.07,24.05,24.18,23.78,22.85,22.50
Chontales,26.19,25.49,25.71,26.72,27.61,27.48,26.41,26.52,26.23,26.02,25.93,25.14,25.03
Carazo,26.35,25.47,25.99,27.02,27.82,27.78,26.24,26.48,26.51,26.24,26.00,25.28,25.30
"Nueva Segovia",23.49,21.50,22.21,23.52,24.78,25.43,24.48,23.69,23.74,24.19,23.93,22.52,21.80
Boaco,25.43,24.24,24.75,25.67,26.69,27.02,25.92,25.53,25.46,25.58,25.45,24.61,24.22
Matagalpa,24.49,22.94,23.51,24.74,25.68,26.17,25.22,24.65,24.49,24.81,24.61,23.74,23.25
"Atlantico Sur",26.13,25.16,25.44,26.71,27.58,27.37,26.48,26.52,26.16,26.06,25.90,25.14,25.04
Masaya,26.74,25.77,26.38,27.49,28.29,28.31,26.77,26.79,26.85,26.55,26.44,25.59,25.64
"Atlantico Norte",26.38,25.07,25.23,26.64,27.50,27.67,27.10,26.89,26.67,26.65,26.29,25.49,25.28
Managua,26.90,25.86,26.53,27.75,28.47,28.52,27.06,26.92,26.99,26.66,26.57,25.71,25.77
Madriz,23.82,22.13,22.76,24.16,25.11,25.46,24.63,24.07,24.13,24.26,23.89,22.84,22.36
Leon,26.73,25.82,26.40,27.87,28.29,28.05,26.94,26.93,26.84,26.40,26.05,25.57,25.68
Jinotega,24.18,22.44,23.03,24.28,25.38,25.92,25.06,24.45,24.26,24.72,24.53,23.28,22.75
Granada,26.84,26.00,26.55,27.43,28.20,28.16,26.92,27.12,26.90,26.67,26.52,25.82,25.80
Rivas,27.01,26.30,26.77,27.73,28.39,28.12,27.08,27.43,27.07,26.69,26.58,25.97,25.99
Chinandega,27.38,26.85,27.36,28.41,29.02,28.39,27.34,27.64,27.44,26.76,26.58,26.30,26.54
"Rio San Juan",26.74,26.08,26.52,27.64,28.38,27.78,26.75,27.25,26.76,26.35,26.22,25.46,25.63
