Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Netherlands,10.47,3.41,3.72,6.43,9.45,13.21,15.88,18.12,18.05,14.70,10.81,6.97,4.44
Flevoland,10.32,3.34,3.64,6.31,9.17,12.98,15.58,17.88,17.85,14.52,10.69,6.92,4.49
Drenthe,10.03,2.88,3.22,5.90,9.07,12.84,15.49,17.67,17.66,14.34,10.38,6.49,3.91
Zuid-holland,10.79,4.03,4.13,6.81,9.63,13.22,15.94,18.29,18.18,14.96,11.13,7.55,5.07
Zeeland,11.25,4.41,4.54,7.16,10.09,13.66,16.51,18.70,18.74,15.72,11.85,7.94,5.21
Utrecht,10.53,3.53,3.81,6.53,9.43,13.22,15.86,18.13,18.01,14.72,10.90,7.09,4.61
Overijssel,10.24,3.11,3.48,6.27,9.28,13.08,15.68,17.89,17.88,14.37,10.52,6.64,4.23
Noord-holland,10.48,3.76,3.87,6.31,9.25,12.77,15.48,17.83,17.84,14.88,11.13,7.47,4.77
Noord-brabant,10.87,3.75,4.11,6.93,9.91,13.70,16.41,18.63,18.46,14.98,11.07,7.25,4.75
Limburg,10.86,3.36,3.85,6.85,10.08,13.97,16.78,18.87,18.67,15.10,11.25,6.97,4.11
Groningen,9.96,2.75,3.06,5.56,8.98,12.68,15.43,17.68,17.64,14.52,10.45,6.46,3.74
Gelderland,10.52,3.36,3.77,6.58,9.54,13.44,16.03,18.25,18.16,14.61,10.72,6.83,4.45
Friesland,10.05,3.23,3.44,5.89,8.85,12.48,15.13,17.46,17.52,14.40,10.52,6.87,4.32
