Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Norway,2.17,-5.94,-6.03,-3.61,0.47,5.13,9.35,12.10,11.29,7.40,2.30,-2.23,-4.83
Oppland,0.64,-8.47,-8.04,-5.19,-0.63,4.36,8.80,11.24,10.31,6.00,0.82,-4.49,-7.62
Oestfold,6.41,-2.64,-2.56,0.62,5.49,10.42,14.38,16.87,15.78,11.61,6.34,1.64,-1.69
Nordland,1.98,-4.78,-5.48,-3.72,-0.33,4.07,8.15,11.25,10.65,6.93,1.93,-1.72,-3.68
Nord-troendelag,3.38,-3.91,-4.37,-2.13,1.51,5.94,9.97,12.54,12.03,8.38,3.45,-0.66,-2.75
Vestfold,6.34,-2.73,-2.74,0.47,5.17,10.25,14.46,16.83,15.79,11.59,6.39,1.66,-1.75
"Moere Og Romsdal",3.86,-2.12,-2.42,-0.96,2.14,6.13,9.27,11.63,11.48,8.20,4.14,0.24,-1.88
Vest-Agder,5.58,-1.18,-1.54,0.14,3.70,7.74,11.45,13.88,13.59,10.29,6.16,2.36,-0.10
Troms,0.30,-7.61,-7.93,-5.91,-2.07,2.70,7.32,10.90,9.71,5.62,0.06,-3.90,-5.87
Hordaland,3.63,-2.77,-3.07,-1.59,1.72,5.88,9.58,11.84,11.57,8.17,4.07,-0.05,-2.27
Hedmark,1.73,-8.56,-8.00,-4.23,0.96,6.25,10.70,13.10,11.79,7.40,1.88,-3.68,-7.55
Telemark,3.03,-5.32,-5.28,-2.81,1.51,6.16,10.58,12.98,12.19,8.19,3.40,-1.45,-4.31
Finnmark,-0.26,-9.90,-9.80,-6.73,-2.15,2.87,7.76,11.41,10.01,5.93,-0.24,-5.12,-7.77
"Sogn og Fjordane",2.88,-3.50,-3.72,-2.25,1.04,5.13,8.82,11.16,10.85,7.34,3.16,-0.90,-3.08
Buskerud,2.07,-7.04,-6.54,-3.81,0.85,5.76,10.31,12.65,11.66,7.38,2.25,-3.07,-6.17
Soer-Troendelag,2.92,-4.27,-4.49,-2.46,1.33,5.77,9.45,11.87,11.46,7.84,2.99,-1.34,-3.61
Aust-agder,4.63,-2.78,-3.22,-1.11,2.75,7.10,11.22,13.74,13.24,9.63,5.14,0.95,-1.63
Rogaland,5.39,-0.76,-1.11,0.38,3.52,7.38,10.66,12.99,12.97,9.92,6.00,2.24,0.01
Akershus,5.15,-4.67,-4.53,-0.65,4.48,9.77,13.93,16.26,14.99,10.51,4.96,-0.13,-3.80
Oslo,5.20,-4.33,-4.30,-0.73,4.39,9.66,13.86,16.20,15.00,10.62,5.00,-0.06,-3.53
