Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"New Zealand",10.50,15.39,15.64,13.82,11.17,8.56,6.10,5.31,6.34,8.23,10.04,11.76,14.05
Taranaki,12.29,16.55,16.85,15.38,13.05,10.88,8.78,7.89,8.63,10.05,11.46,13.04,15.26
Northland,14.68,18.49,19.04,17.82,15.77,13.73,11.86,10.91,11.25,12.29,13.44,14.87,17.03
Nelson-marlborough,9.67,14.85,15.09,13.14,10.35,7.65,5.06,4.13,5.21,7.27,9.27,11.01,13.38
"Hawke's Bay",11.66,16.66,16.58,14.82,12.23,9.79,7.50,6.79,7.45,9.20,11.06,12.91,15.21
"East Cape",12.88,17.79,17.71,16.04,13.60,11.17,8.86,8.08,8.80,10.35,12.17,13.97,16.31
Canterbury,9.13,14.52,14.75,12.65,9.81,6.87,4.08,3.21,4.54,6.85,8.94,10.71,13.08
Westland,9.26,14.27,14.70,12.76,10.01,7.19,4.56,3.74,4.99,7.02,8.83,10.58,12.87
"Bay Of Plenty",12.49,17.48,17.65,15.85,13.14,10.52,8.27,7.48,8.31,10.00,11.86,13.67,16.03
Wellington,11.81,16.56,16.57,14.91,12.38,10.24,8.04,7.23,7.82,9.43,11.01,12.78,15.10
Auckland,14.80,18.77,19.23,17.95,15.84,13.69,11.59,10.70,11.24,12.46,13.76,15.27,17.39
Wanganui-manawatu,11.44,16.21,16.41,14.69,12.07,9.61,7.39,6.59,7.42,9.08,10.77,12.53,14.84
Waikato,12.92,17.63,17.95,16.20,13.62,11.13,8.91,8.10,8.91,10.59,12.23,13.93,16.22
Southland,8.43,12.98,13.28,11.48,8.95,6.41,3.95,3.37,4.51,6.46,8.24,9.91,12.00
Otago,8.32,13.51,13.75,11.70,8.86,5.96,3.23,2.50,3.97,6.18,8.21,9.99,12.30
