Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Oman,27.64,19.70,21.91,24.65,29.26,32.57,33.57,32.48,31.93,30.55,28.28,24.81,21.69
Musandam,26.58,17.50,18.66,21.46,26.59,30.72,33.24,34.23,33.62,31.53,28.11,23.19,19.52
Dhofar,27.38,19.63,22.38,25.06,29.15,32.04,33.07,31.48,31.50,30.08,27.67,24.64,21.65
"Al Wusta",28.35,20.68,22.91,25.44,30.15,33.38,33.97,32.69,32.24,30.76,28.98,25.90,22.83
"Al Dhahira",27.97,18.25,20.27,23.37,28.90,33.09,34.88,35.51,34.64,32.49,29.06,24.26,20.45
"Al Batnah",26.82,18.12,19.48,22.40,27.67,31.78,33.58,33.79,32.36,30.93,27.89,23.39,20.07
"A Sharqiya",27.51,20.87,22.07,24.81,29.38,32.57,32.97,31.53,29.95,29.71,28.57,25.07,22.37
"A Dakhliya",27.38,18.99,20.76,23.70,28.94,32.80,33.87,33.14,31.93,30.61,28.30,24.23,20.95
"Name Unknown",26.53,17.40,18.69,21.48,26.60,30.66,33.17,34.53,33.80,31.51,27.82,22.89,19.35
Muscat,27.00,19.61,20.65,23.58,28.40,32.17,33.32,32.39,30.42,30.03,28.18,23.90,21.02
