Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Panama,25.61,25.14,25.48,26.17,26.59,26.26,25.74,25.94,25.60,25.37,25.28,24.82,24.88
Veraguas,25.81,25.31,25.72,26.60,26.80,26.57,25.93,26.05,25.73,25.50,25.43,25.02,24.98
Chiriquí,24.27,23.74,23.91,24.72,25.09,24.94,24.57,24.59,24.40,24.21,24.01,23.59,23.47
"Bocas del Toro",22.68,21.96,21.92,22.68,23.08,23.25,23.27,23.13,23.05,22.97,22.72,22.21,21.90
Panamá,26.37,25.83,26.35,27.09,27.71,27.10,26.39,26.78,26.29,26.03,25.92,25.39,25.60
"Los Santos",26.47,25.99,26.59,27.36,27.92,27.41,26.53,26.76,26.41,25.99,25.86,25.39,25.46
Herrera,26.24,25.75,26.35,27.17,27.44,27.10,26.29,26.50,26.18,25.83,25.69,25.29,25.32
"Kuna Yala",26.44,26.00,26.43,26.98,27.58,27.02,26.53,26.85,26.35,26.13,26.04,25.59,25.83
Colón,26.33,25.73,26.12,26.92,27.47,27.11,26.43,26.69,26.27,26.11,26.05,25.54,25.51
"Ngöbe Buglé",23.99,23.45,23.54,24.36,24.69,24.62,24.33,24.27,24.10,23.97,23.88,23.41,23.22
Coclé,26.09,25.52,26.00,26.89,27.07,26.97,26.20,26.48,26.07,25.77,25.74,25.18,25.15
Emberá,26.21,26.02,26.27,26.55,27.05,26.57,26.22,26.53,26.14,25.91,25.92,25.53,25.85
Darién,26.19,26.00,26.28,26.58,27.03,26.55,26.16,26.49,26.11,25.91,25.87,25.48,25.79
