Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Philippines,26.17,24.96,25.18,26.09,27.09,27.42,26.85,26.31,26.28,26.26,26.17,25.95,25.43
"Region IV-A (Calabarzon)",26.83,25.23,25.53,26.65,27.85,28.38,27.87,27.22,27.17,27.04,26.80,26.49,25.70
"Autonomous region in Muslim Mindanao (ARMM)",25.94,25.69,25.81,26.16,26.56,26.62,25.88,25.47,25.59,25.68,25.81,25.99,25.97
"Region IV (Southern Tagalog)",26.63,25.91,26.03,26.86,27.78,27.83,26.87,26.35,26.35,26.34,26.44,26.53,26.23
"Region IX (Zamboanga Peninsula)",27.07,26.55,26.75,27.24,27.73,27.83,27.21,26.77,26.95,26.99,27.00,26.95,26.91
"Region VIII (Eastern Visayas)",27.06,25.77,25.87,26.54,27.43,28.11,27.92,27.47,27.76,27.48,27.20,26.77,26.38
"Region VII (Central Visayas)",27.05,26.06,26.17,26.79,27.79,28.22,27.59,27.04,27.27,27.13,27.03,26.89,26.57
"Region VI (Western Visayas)",27.18,26.13,26.21,27.06,28.21,28.55,27.73,27.08,27.14,27.10,27.19,27.08,26.66
"Region V (Bicol region)",27.22,25.79,25.85,26.64,27.69,28.47,28.30,27.76,27.87,27.53,27.32,26.97,26.34
"Region II (Cagayan Valley)",25.72,23.16,23.69,25.31,26.76,27.56,27.56,26.97,26.72,26.47,25.77,24.91,23.69
"Region XIII (Caraga)",26.54,25.44,25.64,26.16,27.16,27.69,27.17,26.64,26.82,26.80,26.62,26.35,25.91
"Region I (Ilocos region)",25.92,24.15,24.51,25.99,27.33,27.51,26.88,26.21,25.76,26.00,26.11,25.77,24.79
"National Capital region (NCR)",26.64,25.05,25.32,26.64,27.95,28.40,27.65,26.98,26.72,26.70,26.55,26.22,25.47
"Cordillera Administrative region (CAR)",24.20,22.06,22.57,24.14,25.44,25.84,25.54,24.92,24.51,24.56,24.32,23.73,22.68
"Region X (Northern Mindanao)",24.93,24.21,24.37,24.83,25.65,25.94,25.20,24.76,24.83,24.89,24.90,24.90,24.67
"Region XI (Davao Region)",25.73,25.18,25.35,25.86,26.55,26.56,25.80,25.36,25.45,25.57,25.71,25.80,25.57
"Region III (Central Luzon)",26.46,24.95,25.13,26.46,27.76,28.09,27.38,26.74,26.35,26.47,26.54,26.17,25.44
"Region XII (Soccsksargen)",25.86,25.69,25.81,26.32,26.70,26.54,25.63,25.22,25.33,25.44,25.69,25.94,25.95
