Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Papua New Guinea",24.68,25.20,25.10,25.03,24.94,24.78,24.27,23.75,23.85,24.28,24.79,25.11,25.17
Central,23.97,24.75,24.63,24.36,24.14,23.89,23.31,22.77,22.76,23.41,24.24,24.55,24.90
Manus,27.06,27.37,27.16,27.24,27.37,25.48,27.28,26.96,27.16,27.06,27.30,27.33,27.05
Madang,24.86,25.28,25.14,25.03,24.98,24.88,24.61,24.28,24.43,24.61,24.94,25.14,25.07
Gulf,25.91,26.56,26.46,26.38,26.20,26.08,25.30,24.77,24.90,25.40,25.96,26.47,26.53
Enga,20.12,20.57,20.45,20.47,20.30,20.14,19.60,19.29,19.58,19.86,20.31,20.41,20.50
"Eastern Highlands",20.57,21.39,21.22,21.01,20.78,20.47,19.80,19.54,19.69,20.15,20.66,21.02,21.21
"East Sepik",26.49,26.80,26.70,26.57,26.67,26.75,26.51,25.88,26.00,26.15,26.54,26.75,26.65
"East New Britain",24.82,25.03,24.96,24.87,24.86,24.80,24.61,24.38,24.50,24.84,25.09,25.03,24.93
Chimbu,21.63,22.33,22.13,22.02,21.84,21.63,20.97,20.65,20.87,21.26,21.74,22.05,22.15
"West New Britain",25.59,26.12,26.05,25.91,25.78,25.38,25.27,24.90,24.96,25.28,25.70,25.88,25.88
"Southern Highlands",22.74,23.17,23.10,23.14,23.01,22.95,22.24,21.81,22.01,22.38,22.83,23.12,23.15
"Northern Solomons",25.62,25.87,25.79,25.79,25.76,25.65,25.02,25.12,25.18,25.65,25.96,25.86,25.87
Northern,23.87,24.68,24.58,24.29,24.06,23.76,23.21,22.68,22.67,23.29,24.11,24.39,24.76
"New Ireland",25.45,25.49,25.46,25.42,25.46,25.22,25.43,25.17,25.37,25.58,25.77,25.59,25.42
"National Capital District",25.91,26.51,26.40,26.18,26.00,25.93,25.37,24.75,24.79,25.42,26.30,26.54,26.83
Morobe,22.13,23.12,22.98,22.75,22.40,22.00,21.38,20.98,21.01,21.50,22.09,22.58,22.83
"Milne Bay",25.41,26.13,26.09,25.82,25.68,25.31,24.77,24.37,24.27,24.88,25.62,25.86,26.22
"Western Highlands",20.62,21.17,21.03,20.97,20.76,20.58,19.97,19.74,19.96,20.36,20.82,20.97,21.11
Western,26.39,26.79,26.72,26.82,26.86,26.69,26.02,25.24,25.29,25.88,26.46,26.98,26.94
"West Sepik",25.73,26.04,26.00,26.00,25.97,25.88,25.61,24.95,25.09,25.35,25.77,26.07,26.07
