Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Poland,8.78,-2.64,-1.29,3.44,9.65,13.83,17.15,19.45,18.99,14.19,9.16,3.78,-0.97
Malopolske,8.36,-3.17,-1.73,3.27,9.20,13.08,16.78,18.81,18.46,13.73,9.21,3.83,-1.78
Lubuskie,10.05,-0.77,0.62,4.94,10.69,14.80,17.95,20.38,19.91,15.33,10.21,4.94,0.90
Zachodnio-Pomorskie,9.40,-1.43,-0.24,4.06,9.97,14.20,17.19,19.73,19.17,14.80,9.81,4.47,0.45
Lubeiskie,8.45,-3.65,-2.09,3.00,9.66,13.99,17.34,19.42,18.84,13.92,8.78,3.34,-1.86
Wielkopolskie,9.49,-1.66,-0.25,4.16,10.23,14.43,17.69,20.08,19.68,14.81,9.78,4.38,-0.05
Lodzkie,9.06,-2.84,-1.39,4.09,10.29,14.20,17.56,19.88,19.55,14.51,9.57,3.87,-1.29
Warminsko-Mazurskie,8.14,-3.59,-2.60,2.41,9.15,13.44,16.58,19.21,18.68,13.84,8.44,3.03,-1.61
Kujawsko-Pomorskie,8.84,-2.33,-1.05,3.40,9.58,13.85,17.14,19.50,19.09,14.21,9.08,3.64,-0.71
Swietokrzyskie,8.68,-3.71,-1.98,3.60,9.89,13.93,17.45,19.57,19.06,14.21,9.43,3.80,-1.81
Dolnoslaskie,9.14,-1.24,0.04,4.01,9.51,13.55,17.00,19.08,18.84,14.29,9.47,4.39,0.16
Slaskie,8.90,-1.84,-0.38,3.79,9.26,13.52,17.00,18.92,18.79,14.02,9.42,4.21,-0.58
Pomorskie,8.23,-2.39,-1.30,2.63,8.50,12.74,15.89,18.51,18.13,13.73,8.73,3.47,-0.56
Podlaskie,7.87,-3.82,-2.68,2.00,8.77,13.45,16.71,19.01,18.38,13.39,7.84,2.62,-1.90
Podkarpackie,8.62,-3.33,-1.84,3.47,9.75,13.68,17.30,19.38,18.84,14.07,9.40,3.93,-1.87
Opolskie,9.19,-1.28,0.09,3.67,9.53,13.69,17.43,19.22,18.96,14.37,9.60,4.65,-0.26
Mazowieckie,8.57,-3.68,-2.20,3.30,9.98,14.14,17.40,19.77,19.18,14.00,8.81,3.21,-1.82
