Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Korea, Democratic People's Republic of",6.97,-10.16,-6.48,-0.08,7.60,13.34,17.88,21.27,21.33,15.99,9.08,0.66,-7.62
Hwanghae-bukto,10.30,-5.63,-2.46,3.33,10.28,15.79,20.54,23.72,24.05,19.17,12.47,4.65,-3.13
Hamgyong-bukto,5.18,-11.64,-8.15,-1.92,5.77,11.37,15.62,19.31,19.81,14.61,7.40,-1.34,-9.50
Kangwon-do,9.55,-5.09,-2.57,2.74,9.49,14.79,18.98,22.08,22.38,17.64,11.56,4.39,-2.61
Kaesong-si,11.56,-3.66,-0.82,4.78,11.40,16.75,21.41,24.42,24.88,20.18,13.69,6.18,-1.28
Chagang-do,5.16,-14.19,-9.50,-1.72,6.76,12.91,17.62,20.90,20.37,14.30,6.95,-2.09,-11.28
Yanggang-do,1.87,-17.03,-12.83,-5.64,3.43,9.67,14.18,17.76,17.22,11.07,3.80,-5.56,-14.58
P'yongan-namdo,8.62,-8.51,-4.76,1.59,9.11,14.81,19.56,22.85,22.89,17.68,10.80,2.43,-5.89
Hwanghae-namdo,11.13,-4.51,-1.44,3.97,10.64,16.14,20.97,24.29,25.00,20.36,13.55,5.78,-1.96
Hamgyong-namdo,6.03,-10.39,-7.02,-1.04,6.59,12.12,16.36,19.85,19.97,14.73,8.21,0.09,-7.93
P'yongyang-si,10.26,-6.74,-3.05,3.14,10.45,16.12,21.13,24.43,24.61,19.55,12.59,4.22,-4.20
P'yongan-bukto,8.76,-9.27,-5.00,1.90,9.36,15.31,20.16,23.50,23.52,18.12,10.95,2.20,-6.47
