Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Portugal,15.84,9.29,10.12,12.39,13.95,16.87,20.62,22.87,23.11,20.74,17.02,12.56,10.16
Aveiro,15.24,9.25,10.06,12.21,13.70,16.20,19.65,21.41,21.52,19.65,16.55,12.32,10.10
Guarda,13.95,6.74,7.63,10.04,11.75,15.13,19.49,22.23,22.30,19.33,14.80,10.00,7.53
Faro,17.20,11.42,12.01,13.89,15.28,17.88,21.14,23.15,23.52,21.65,18.57,14.83,12.68
Evora,17.26,10.45,11.21,13.58,15.25,18.33,22.23,24.61,24.99,22.47,18.54,13.83,11.24
Coimbra,15.78,9.59,10.47,12.59,14.10,16.72,20.22,22.21,22.41,20.41,17.08,12.76,10.41
"Castelo Branco",15.69,8.76,9.52,11.89,13.56,16.76,20.91,23.55,23.71,21.00,16.70,11.99,9.49
Leiria,16.65,10.70,11.52,13.65,15.04,17.54,20.79,22.71,22.96,21.12,18.11,13.81,11.52
Viseu,14.03,7.46,8.28,10.56,12.06,15.07,18.99,21.26,21.36,18.92,15.06,10.60,8.30
"Vila Real",12.73,5.70,6.71,9.16,10.69,13.96,18.09,20.54,20.60,17.78,13.50,8.95,6.60
Braganca,13.36,5.58,6.88,9.54,11.44,14.89,19.31,22.09,21.99,18.79,14.01,9.05,6.34
"Viana Do Castelo",13.88,8.07,8.81,10.90,12.25,14.82,18.23,20.04,20.15,18.12,14.97,10.94,8.88
Braga,13.73,7.65,8.46,10.63,12.04,14.73,18.28,20.16,20.27,18.14,14.83,10.63,8.51
Setubal,17.59,11.55,12.28,14.44,15.84,18.44,21.72,23.62,24.12,22.23,19.04,14.91,12.56
Beja,17.37,10.89,11.57,13.79,15.37,18.29,22.00,24.22,24.62,22.30,18.72,14.36,11.91
Santarem,17.14,10.93,11.71,13.97,15.41,18.08,21.48,23.54,23.90,21.86,18.54,14.09,11.74
Porto,14.57,8.59,9.43,11.54,13.03,15.61,19.03,20.77,20.87,18.87,15.78,11.57,9.44
Portalegre,16.95,10.01,10.75,13.19,14.87,18.03,22.10,24.67,24.96,22.27,18.12,13.32,10.73
Lisboa,17.35,11.61,12.41,14.51,15.81,18.27,21.22,22.96,23.41,21.63,18.83,14.71,12.45
