Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Paraguay,23.91,28.02,27.41,26.34,23.88,20.60,19.33,18.81,20.75,23.11,25.37,26.17,27.38
Cordillera,22.99,27.71,27.06,25.93,22.97,19.78,18.17,17.65,19.68,21.38,23.88,25.08,26.84
Canindeyu,22.59,26.26,26.23,25.37,22.83,19.64,17.94,17.72,19.62,21.75,23.59,24.47,25.90
Caazapa,21.77,26.56,25.87,24.73,22.06,18.45,17.06,16.44,18.31,20.03,22.42,23.86,25.68
"San Pedro",23.21,27.47,27.01,26.02,23.18,20.32,18.53,18.14,20.12,21.76,24.43,25.17,26.63
Caaguazu,22.13,26.54,26.04,25.06,22.18,19.07,17.37,16.96,18.90,20.61,23.05,24.15,25.84
"Presidente Hayes",24.12,28.80,28.09,26.70,24.06,20.62,19.48,18.56,20.63,23.30,25.35,26.39,27.70
Boqueron,24.58,28.57,27.86,26.72,24.15,20.94,19.66,19.19,21.27,24.25,26.89,27.38,28.31
Paraguari,22.50,27.34,26.65,25.53,22.77,19.21,17.79,17.07,19.02,20.79,23.17,24.56,26.41
Amambay,23.29,26.69,26.40,25.68,23.63,20.57,19.12,18.57,20.64,22.52,24.69,25.17,26.00
Neembucu,22.47,27.73,26.99,25.73,22.74,19.21,17.50,16.76,18.59,20.50,23.07,24.56,26.61
"Alto Parana",21.97,26.32,25.93,25.02,22.27,18.63,17.20,16.71,18.63,20.52,22.83,24.05,25.73
Misiones,22.12,27.08,26.40,25.25,22.46,18.89,17.40,16.66,18.56,20.26,22.65,24.13,26.05
"Alto Paraguay",25.57,28.69,28.07,27.28,25.57,22.41,21.55,21.37,23.09,25.54,27.34,27.75,28.39
Itapua,21.57,26.48,25.81,24.64,21.86,18.18,16.86,16.15,18.14,19.71,22.15,23.65,25.52
Guaira,21.93,26.67,25.94,24.85,22.11,18.68,17.17,16.65,18.51,20.25,22.70,24.02,25.83
Concepcion,24.18,28.09,27.57,26.69,24.31,21.24,19.89,19.35,21.09,23.19,25.59,26.08,27.24
Central,23.31,28.22,27.55,26.28,23.40,19.89,18.51,17.68,19.79,21.75,24.06,25.51,27.35
