Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"West Bank and Gaza",19.52,11.72,12.47,14.83,18.13,21.51,24.18,26.12,26.51,24.96,22.40,17.41,13.46
"Administrative unit not available",19.65,11.02,11.97,14.42,18.22,21.83,24.74,26.73,27.26,25.63,22.94,17.48,13.03
Jenin,19.73,11.11,12.05,14.49,18.28,21.88,24.81,26.81,27.34,25.71,23.03,17.58,13.15
Bethlehem,19.36,11.10,12.01,14.58,18.15,21.70,24.24,26.20,26.50,25.03,22.29,17.10,12.91
"Ariha (Jericho)",19.49,12.58,13.09,15.33,17.94,21.14,23.76,25.62,25.98,24.43,22.04,17.49,14.07
Rafah,20.93,13.20,13.96,16.38,19.79,22.72,25.36,27.56,27.83,26.17,23.67,19.00,15.05
"Al Quds (Jerusalem)",19.42,10.97,11.95,14.57,18.22,21.83,24.40,26.36,26.68,25.19,22.40,17.12,12.84
"Khan Yunis",20.93,13.20,13.96,16.38,19.79,22.72,25.36,27.56,27.83,26.17,23.67,19.00,15.05
"Al Khalil (Hebron)",18.78,14.88,14.46,15.91,17.20,19.29,21.38,23.15,23.37,21.98,20.41,17.44,15.55
Jabalya,20.89,12.90,13.77,16.15,19.60,22.80,25.46,27.59,28.00,26.46,23.70,18.98,14.82
Gaza,21.24,13.31,14.15,16.53,20.03,23.16,25.88,28.03,28.30,26.64,24.01,19.26,15.18
"Deir al Balah",20.93,13.20,13.96,16.38,19.79,22.72,25.36,27.56,27.83,26.17,23.67,19.00,15.05
Tulkarm,19.65,11.02,11.97,14.42,18.22,21.83,24.74,26.73,27.26,25.63,22.94,17.48,13.03
Tubas,19.60,10.68,11.73,14.29,18.19,22.01,25.00,26.91,27.38,25.71,22.85,17.20,12.68
Salfit,19.67,11.06,12.00,14.45,18.23,21.83,24.74,26.74,27.26,25.64,22.95,17.50,13.07
Ramallah,19.50,10.80,11.83,14.44,18.26,21.92,24.60,26.59,26.96,25.43,22.63,17.20,12.76
Qalqiliya,19.77,11.30,12.20,14.62,18.32,21.84,24.72,26.76,27.30,25.70,23.03,17.69,13.30
Nablus,19.65,11.02,11.97,14.42,18.22,21.83,24.74,26.73,27.26,25.63,22.94,17.48,13.03
