Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Qatar,28.02,17.58,19.10,22.37,27.36,32.69,35.29,36.41,36.11,33.85,30.28,24.71,19.91
"Ar Rayyan",27.99,17.55,19.09,22.32,27.37,32.70,35.32,36.36,36.03,33.76,30.27,24.69,19.90
Al-wakrah,28.19,17.74,19.28,22.59,27.62,33.01,35.61,36.55,36.15,33.87,30.31,24.87,20.13
"Al Khawr",27.78,17.77,19.02,22.02,26.85,32.09,34.72,35.86,35.70,33.66,30.27,24.80,20.04
"Al Jumayliyah",27.96,17.48,18.96,22.26,27.27,32.57,35.21,36.43,36.13,33.88,30.28,24.66,19.78
"Al Ghuwayriyah",27.80,17.71,18.99,22.04,26.88,32.13,34.77,35.94,35.79,33.69,30.28,24.76,19.97
"Ad Dawhah",28.11,17.78,19.21,22.45,27.40,32.82,35.52,36.38,35.97,33.77,30.30,24.92,20.19
"Umm Salal",27.94,17.61,19.07,22.24,27.23,32.54,35.17,36.23,35.95,33.74,30.28,24.73,19.94
"Jarayan Al Batnah",28.20,17.52,19.21,22.64,27.73,33.13,35.66,36.75,36.36,33.96,30.27,24.68,19.89
"Ash Shamal",27.75,17.77,19.00,22.00,26.78,31.97,34.62,35.81,35.70,33.68,30.28,24.76,20.03
