Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Romania,10.19,-1.71,0.21,4.70,10.37,15.39,19.17,20.95,20.91,16.09,10.65,5.13,-0.25
Botosani,10.09,-2.36,-0.54,3.86,10.57,16.04,19.87,21.66,21.19,16.11,10.25,4.58,-0.85
Neamt,8.04,-3.94,-2.14,2.38,8.34,13.52,17.24,18.96,18.67,13.89,8.47,2.96,-2.53
Bistrita-nasaud,8.11,-3.40,-1.41,3.18,8.60,13.27,16.71,18.31,18.29,13.55,8.50,3.18,-2.12
Mures,8.62,-3.23,-1.01,3.83,9.21,13.89,17.39,18.94,18.90,14.14,8.99,3.64,-1.83
Bihor,10.43,-1.29,0.66,5.06,10.90,15.46,19.28,20.80,20.85,16.10,10.89,5.81,0.06
Mehedinti,11.49,0.04,1.63,5.98,11.51,16.53,20.28,22.05,22.24,17.26,11.87,6.21,1.66
Maramures,7.99,-3.18,-1.43,2.91,8.32,13.09,16.49,18.17,18.12,13.45,8.35,3.06,-2.03
Iasi,10.54,-2.13,-0.25,4.54,11.05,16.50,20.32,22.14,21.76,16.72,10.76,4.95,-0.55
Bacau,9.06,-3.31,-1.36,3.41,9.44,14.68,18.47,20.23,19.93,15.09,9.45,3.80,-1.74
Arges,9.40,-2.37,-0.35,4.16,9.52,14.44,18.14,19.97,19.99,15.31,9.93,4.52,-1.03
Arad,11.34,-0.55,1.54,5.99,11.78,16.37,20.24,21.79,21.86,17.16,11.87,6.55,0.85
Ialomita,12.28,-0.52,1.81,6.49,12.39,17.71,21.83,23.81,23.61,18.57,12.77,6.90,1.30
Alba,9.22,-1.58,-0.14,4.18,9.34,14.06,17.53,19.11,19.33,14.72,9.65,4.36,-0.53
Hunedoara,9.33,-1.28,-0.10,3.86,9.20,13.94,17.57,19.21,19.51,14.93,9.90,4.72,-0.15
Harghita,6.70,-4.82,-2.99,1.56,6.98,11.78,15.38,17.04,16.89,12.29,7.27,1.96,-3.50
Gorj,9.72,-1.26,0.04,4.12,9.50,14.49,18.12,19.96,20.21,15.53,10.30,4.91,0.08
Giurgiu,12.24,-0.89,1.70,6.44,12.56,17.88,21.83,23.80,23.73,18.54,12.68,7.02,0.87
Galati,11.48,-1.35,0.71,5.48,11.72,17.25,21.21,23.18,22.90,17.87,11.83,5.91,0.33
Vrancea,9.77,-2.69,-0.65,4.13,10.06,15.30,19.16,21.03,20.77,15.86,10.17,4.46,-1.08
Dolj,12.42,-0.24,1.99,6.67,12.77,17.89,21.72,23.70,23.77,18.70,12.86,6.83,1.67
Vilcea,9.68,-1.75,-0.06,4.37,9.68,14.60,18.27,20.07,20.20,15.56,10.19,4.80,-0.49
Dimbovita,10.03,-2.10,0.09,4.68,10.26,15.30,19.03,20.87,20.84,16.02,10.52,4.96,-0.69
Vaslui,10.79,-1.97,-0.05,4.81,11.18,16.75,20.54,22.45,22.14,17.04,11.03,5.17,-0.29
Covasna,7.03,-4.52,-2.64,1.91,7.20,12.08,15.70,17.41,17.27,12.66,7.58,2.28,-3.19
Tulcea,12.15,0.30,1.86,5.70,11.22,16.96,21.38,23.54,23.40,18.51,12.87,7.26,2.07
Constanta,12.43,0.78,2.50,6.21,11.34,16.76,21.25,23.45,23.44,18.78,13.35,7.91,2.69
Timis,12.06,0.24,2.36,6.90,12.44,17.07,20.90,22.51,22.63,17.88,12.58,6.99,1.63
Teleorman,12.32,-0.94,1.71,6.54,12.69,17.96,21.89,23.86,23.80,18.77,12.87,7.11,0.89
Suceava,7.23,-4.10,-2.58,1.49,7.33,12.47,16.13,17.80,17.53,12.88,7.68,2.39,-2.87
Cluj,9.26,-1.85,-0.20,4.48,9.68,14.38,17.74,19.37,19.47,14.78,9.57,3.99,-0.84
Caras-severin,10.34,-0.52,0.85,4.92,10.21,15.06,18.71,20.42,20.70,16.01,10.88,5.48,0.74
Calarasi,12.49,-0.35,2.07,6.78,12.52,17.86,21.97,24.01,23.84,18.71,12.95,7.29,1.53
Sibiu,8.86,-2.40,-0.50,4.01,9.12,13.78,17.30,18.93,18.97,14.37,9.26,4.10,-1.20
Buzau,10.43,-2.07,0.12,4.86,10.76,15.89,19.81,21.65,21.49,16.51,10.87,5.10,-0.49
"Satu Mare",10.48,-1.46,0.78,5.59,11.21,15.84,19.37,21.02,20.90,16.02,10.63,5.39,-0.09
Bucuresti,12.08,-0.96,1.54,6.33,12.49,17.76,21.69,23.65,23.56,18.32,12.47,6.64,0.76
Salaj,9.97,-1.53,0.36,5.13,10.52,15.21,18.72,20.28,20.32,15.55,10.17,4.73,-0.38
Brasov,7.91,-3.60,-1.55,3.06,8.16,12.87,16.41,18.11,18.04,13.45,8.42,3.19,-2.30
Prahova,9.63,-2.38,-0.32,4.21,9.85,14.86,18.61,20.48,20.41,15.54,10.09,4.56,-0.97
Braila,12.19,-0.60,1.59,6.29,12.27,17.70,21.81,23.82,23.57,18.57,12.69,6.74,1.17
Olt,12.09,-0.98,1.50,6.39,12.48,17.66,21.57,23.55,23.56,18.66,12.63,6.63,0.74
