Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Russia,-3.76,-23.52,-21.15,-13.30,-3.57,5.23,12.65,15.77,13.30,6.89,-2.58,-14.42,-21.59
"Sakha Rep.",-11.21,-36.83,-33.67,-23.41,-10.17,1.71,11.31,14.26,10.87,3.04,-10.06,-27.03,-35.98
"Ryazanskaya Oblast",6.00,-8.05,-7.85,-2.42,7.18,14.37,17.99,19.88,18.41,12.82,5.96,-1.23,-5.93
"Evenkiyskiy Okrug",-8.31,-31.34,-27.77,-17.48,-7.44,1.42,11.26,15.08,11.59,3.76,-7.36,-22.71,-30.05
"Pskovskaya Oblast",6.13,-5.60,-5.37,-0.93,6.29,12.29,15.89,18.30,17.01,11.94,5.90,0.57,-3.46
"Dagestan Rep.",9.51,-3.19,-2.40,2.24,8.58,14.21,19.58,22.40,22.00,16.96,10.49,3.72,-1.22
"Primorskiy Kray",3.09,-14.52,-11.37,-4.38,3.70,9.52,13.70,17.77,18.48,13.74,6.15,-3.97,-12.72
"Chuvashiya Rep.",5.02,-10.18,-9.36,-3.56,5.73,13.82,17.87,20.13,18.23,12.21,5.13,-2.62,-8.13
"Permskaya Oblast",1.95,-14.37,-12.57,-5.23,2.99,10.42,15.63,17.93,14.87,9.17,2.31,-6.49,-12.25
"Chukotskiy Okrug",-9.83,-27.46,-26.56,-22.77,-14.70,-2.72,6.64,9.79,7.53,2.08,-8.02,-17.79,-25.15
"Penzenskaya Oblast",5.77,-9.19,-8.79,-3.27,6.76,14.50,18.46,20.55,19.15,13.07,5.99,-1.74,-7.21
"Chitinskaya Oblast",-4.34,-28.24,-22.50,-12.90,-1.17,7.22,14.08,16.91,14.19,6.79,-3.42,-17.27,-26.84
"Orlovskaya Oblast",6.61,-6.87,-6.41,-1.30,7.59,14.33,17.88,19.85,18.73,12.99,6.52,-0.18,-4.66
"Orenburgskaya Oblast",5.07,-12.70,-12.19,-4.92,6.91,15.13,19.89,21.91,20.17,13.72,5.72,-3.49,-10.42
"Omskaya Oblast",1.65,-17.66,-15.52,-7.22,3.74,11.69,17.37,18.89,16.48,10.35,3.15,-7.78,-14.77
"Novosibirskaya Oblast",1.68,-17.76,-15.29,-7.32,3.57,11.66,17.50,19.17,16.74,10.43,3.07,-7.86,-14.84
"Kaliningradskaya Oblast",8.17,-2.71,-2.00,2.17,8.27,12.95,16.32,18.85,18.42,13.89,8.42,3.47,-0.73
"Kabardino-balkariya Rep.",6.89,-5.57,-4.67,0.14,6.64,11.84,16.27,18.95,18.91,13.97,7.91,1.29,-3.73
"Ivanovskaya Oblast",5.04,-8.96,-8.23,-2.62,5.82,13.04,16.89,19.15,17.18,11.58,4.84,-2.21,-6.83
"Irkutskaya Oblast",-3.84,-26.09,-21.90,-12.44,-1.69,6.21,13.98,16.92,14.04,6.50,-2.71,-15.56,-24.47
"Ingushetiya Rep.",8.97,-4.06,-2.87,2.22,8.64,14.03,18.85,21.61,21.38,16.32,9.89,3.00,-2.17
"Rostovskaya Oblast",10.12,-4.03,-3.35,2.24,10.64,17.22,21.62,24.08,23.24,17.27,10.07,3.24,-1.72
"Taymyrskiy Okrug",-11.45,-29.56,-28.74,-23.10,-15.24,-5.92,4.44,9.67,7.49,1.35,-9.73,-22.04,-27.22
"Tatarstan Rep.",4.66,-11.28,-10.42,-3.99,5.63,13.94,18.14,20.21,18.20,12.19,4.93,-3.39,-9.28
"Tambovskaya Oblast",6.56,-7.85,-7.65,-2.12,7.88,15.07,18.84,20.67,19.42,13.60,6.54,-0.80,-5.76
"Kemerovskaya Oblast",2.05,-16.52,-13.47,-5.46,3.81,10.97,17.10,19.13,16.50,10.46,2.52,-7.40,-14.02
"Sverdlovskaya Oblast",1.83,-15.34,-13.33,-5.13,3.51,10.65,16.05,18.14,15.29,9.38,2.48,-7.19,-13.51
"Karelya Rep.",2.63,-9.80,-9.87,-5.00,1.07,7.54,13.03,16.35,14.36,9.45,2.94,-2.69,-6.70
"Stavropolskiy Kray",10.91,-2.58,-1.52,3.78,10.78,16.85,21.59,24.11,23.54,17.94,11.32,4.59,-0.29
"Karatchayevo-cherkesiya Rep.",6.04,-5.53,-4.73,-0.44,5.61,10.46,14.52,17.20,17.35,12.75,7.26,1.09,-3.82
"Smolenskaya Oblast",5.94,-6.94,-6.10,-1.52,6.43,13.05,16.52,18.63,17.27,11.91,5.98,-0.22,-4.59
"Kamchatskaya Oblast",-1.02,-13.27,-12.44,-8.45,-3.59,1.95,6.88,10.82,10.92,7.66,2.04,-4.94,-10.56
"Severnaya Osetiya-alaniya Rep.",7.35,-5.50,-4.45,0.57,7.10,12.31,16.91,19.71,19.62,14.67,8.40,1.65,-3.59
"Kaluzhskaya Oblast",6.04,-7.20,-6.44,-1.65,6.59,13.48,17.01,19.14,17.70,12.16,6.14,-0.41,-4.82
"Saratovskaya Oblast",7.08,-8.72,-8.45,-2.38,8.34,16.35,20.53,22.61,21.23,14.84,7.29,-1.00,-6.75
"Kalmykiya Rep.",10.94,-3.83,-3.15,2.89,11.01,18.06,23.35,25.89,24.74,18.40,10.95,3.48,-1.47
Sankt-peterburg,5.85,-5.68,-5.83,-1.50,4.99,11.19,15.59,18.55,17.04,12.05,5.67,0.50,-3.21
"Samarskaya Oblast",5.69,-10.67,-10.04,-3.42,7.08,15.26,19.42,21.41,19.80,13.61,6.01,-2.53,-8.65
"Sakhalinskaya Oblast",0.56,-15.21,-13.96,-8.04,-0.53,5.14,9.95,14.08,15.39,11.74,4.60,-4.75,-12.68
"Kirovskaya Oblast",3.28,-12.20,-10.96,-4.34,4.06,11.69,16.39,18.82,16.04,10.26,3.21,-4.58,-9.95
"Khanty-mansyiskiy Okrug",-1.35,-20.15,-17.96,-9.01,-1.36,6.58,14.30,17.48,13.95,7.90,-0.19,-11.35,-17.56
"Khakasiya Rep.",0.56,-18.49,-15.26,-6.74,2.72,9.29,15.50,17.66,15.02,9.39,0.87,-8.66,-15.49
"Khabarovskiy Kray",-4.67,-26.84,-23.26,-14.14,-3.22,5.18,11.61,15.29,14.18,8.16,-2.09,-16.13,-25.91
"Bryanskaya Oblast",6.81,-6.31,-5.42,-0.68,7.53,14.09,17.55,19.61,18.32,12.87,6.75,0.54,-3.94
"Vologodskaya Oblast",3.46,-10.43,-9.54,-4.07,3.41,10.46,14.90,17.61,15.38,10.02,3.57,-3.11,-7.57
"Belgorodskaya Oblast",7.89,-5.90,-5.26,0.22,9.17,15.56,19.24,21.21,20.30,14.43,7.58,0.93,-3.73
"Volgogradskaya Oblast",8.64,-6.55,-5.90,-0.19,9.40,16.82,21.40,23.78,22.54,16.13,8.80,0.93,-4.44
