Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Saudi Arabia",25.94,15.28,17.77,21.53,26.38,30.96,33.20,34.37,34.36,31.77,26.92,21.29,16.98
Hail,23.33,11.45,13.91,17.79,23.76,28.54,31.26,32.79,32.87,30.45,25.16,18.15,13.28
"Eastern Province",28.21,17.24,19.86,23.81,28.79,33.73,35.73,36.58,36.29,33.70,29.28,23.76,19.30
Baha,25.89,18.74,20.66,23.09,25.70,28.92,31.18,32.00,32.08,29.73,25.84,22.64,19.82
Tabuk,22.98,13.06,14.84,18.19,22.99,26.78,29.18,30.60,31.02,29.25,24.98,19.27,15.12
Asir,24.08,16.58,18.90,21.81,24.51,27.79,29.65,30.55,30.55,27.66,23.24,20.09,17.36
Riyad,26.54,15.14,18.06,22.16,27.16,32.31,34.40,35.69,35.57,32.43,26.96,21.28,16.73
Quassim,25.10,13.33,15.89,19.67,25.66,30.72,33.13,34.54,34.55,31.83,26.51,19.76,15.03
"Northern Frontier",23.10,10.28,12.68,16.88,23.34,28.66,31.83,34.00,33.60,31.04,25.19,17.00,12.02
Najran,26.58,17.41,20.61,24.68,27.62,31.29,32.61,33.96,33.87,30.75,25.52,21.75,18.47
Makkah,26.94,18.99,20.84,23.60,27.04,30.53,32.72,33.36,33.72,31.43,27.32,23.36,20.05
Madinah,25.36,15.78,17.77,21.06,25.52,29.38,31.78,32.25,33.28,31.33,26.90,21.54,17.30
Jizan,28.55,22.99,24.50,26.35,28.79,31.06,32.64,33.28,33.00,31.28,28.46,26.08,23.94
Jawf,21.87,9.90,12.17,16.13,21.90,26.49,29.58,31.66,31.72,29.48,24.03,16.78,11.97
