Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Sudan,27.96,21.40,23.57,26.79,30.18,32.16,32.24,30.98,30.26,30.29,29.44,25.63,22.31
"Southern Kordofan",28.84,26.04,28.47,31.09,32.76,32.05,29.32,27.74,26.95,27.57,28.93,28.53,26.73
"Northern Kordofan",28.47,22.24,24.71,27.95,31.30,33.03,32.56,30.51,29.43,29.98,30.26,26.60,22.91
Kassala,29.26,23.90,25.90,28.46,31.62,33.19,33.02,30.88,29.80,30.37,30.56,28.18,25.11
"Red Sea",27.79,20.63,21.82,24.04,27.71,30.65,32.95,33.26,33.32,32.12,29.29,25.18,22.11
Gadaref,29.35,25.47,27.71,30.23,32.80,33.37,31.68,29.03,27.84,28.80,30.05,28.87,26.37
"White Nile",29.31,24.62,26.87,29.73,32.68,33.11,32.06,29.97,28.56,29.41,30.60,28.53,25.57
"Northern Darfur",26.55,19.01,21.45,25.11,28.85,31.30,31.90,30.47,29.36,29.56,28.20,23.39,19.78
"Al Jazeera",29.56,24.25,26.67,29.44,32.52,33.85,33.21,30.83,29.26,30.14,30.97,28.27,25.18
Northern,27.43,18.22,20.08,24.05,28.92,32.42,33.88,33.45,33.21,32.26,29.59,23.47,19.16
Khartoum,29.72,22.95,25.37,28.37,31.88,34.21,34.27,32.33,31.23,32.10,31.90,27.73,24.10
"Southern Darfur",27.85,23.84,26.57,29.78,31.16,31.67,29.33,27.74,26.91,27.49,28.50,26.75,24.47
Sennar,29.03,25.46,27.73,30.45,32.82,32.65,30.91,28.51,27.34,28.15,29.51,28.61,26.22
Nile,29.40,21.17,23.33,26.63,30.69,33.73,34.93,33.94,33.60,33.69,31.66,26.49,22.63
"Blue Nile",28.04,25.85,27.96,30.48,31.91,31.01,28.50,26.59,25.87,26.55,27.88,27.75,26.22
"Western Darfur",26.75,22.08,24.82,27.90,29.89,30.79,29.48,27.51,26.11,27.02,27.53,25.04,22.73
