Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Senegal,28.91,25.23,27.32,29.60,31.31,32.07,31.07,29.24,28.76,28.64,29.65,28.24,25.80
Matam,29.84,25.03,27.46,30.31,32.85,34.22,33.08,30.58,29.42,29.49,30.77,28.84,25.93
"Saint louis",28.34,23.50,25.34,27.55,29.41,30.72,31.20,30.10,29.67,29.98,30.19,27.76,24.56
Fatick,28.22,25.15,26.70,28.15,28.88,29.43,29.87,29.23,28.50,28.56,29.57,28.43,26.05
Louga,28.45,24.55,26.24,28.03,29.50,30.35,30.57,29.69,29.21,29.34,30.08,28.22,25.53
Kedougou,29.00,26.34,28.72,31.37,33.14,33.09,30.16,27.66,28.74,27.14,28.18,27.61,25.92
Kaolack,28.67,25.56,27.39,29.08,30.04,30.56,30.43,29.32,28.48,28.52,29.67,28.68,26.25
Dakar,26.18,23.17,23.38,24.42,24.51,25.26,27.31,28.14,28.13,28.40,28.81,27.36,25.16
Ziguinchor,27.42,25.17,26.59,27.44,28.04,28.34,28.83,27.86,27.39,27.57,28.45,27.63,25.76
Thies,27.11,23.95,24.85,26.13,26.52,27.12,28.41,28.70,28.49,28.63,29.25,27.75,25.42
Kaffrine,29.24,25.68,27.85,29.98,31.57,32.29,31.39,29.60,28.69,28.78,29.99,28.75,26.24
Tambacounda,29.61,26.04,28.55,31.38,33.50,34.12,31.75,28.98,28.50,28.20,29.56,28.46,26.28
Sedhiou,28.12,25.30,27.27,28.91,29.95,30.49,29.79,28.18,27.59,27.75,28.73,27.81,25.68
Kolda,28.72,25.68,27.91,30.40,31.90,32.43,30.46,28.19,27.80,27.69,28.74,27.80,25.68
Diourbel,28.48,24.98,26.61,28.30,29.33,30.01,30.32,29.66,28.96,29.00,30.00,28.48,25.99
