Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Singapore,27.69,26.96,27.39,27.94,28.09,28.36,28.25,28.01,27.85,27.76,27.66,27.21,26.75
"Ang Mo Kio-cheng San",27.69,26.96,27.39,27.94,28.09,28.36,28.25,28.01,27.85,27.76,27.66,27.21,26.75
"Tanjong Pagar",27.69,26.96,27.39,27.94,28.09,28.36,28.25,28.01,27.85,27.76,27.66,27.21,26.75
"Sembawang-hong Kah",27.69,26.96,27.39,27.94,28.09,28.36,28.25,28.01,27.85,27.76,27.66,27.21,26.75
"Potong Pasir",27.69,26.96,27.39,27.94,28.09,28.36,28.25,28.01,27.85,27.76,27.66,27.21,26.75
Northeast,27.69,26.96,27.39,27.94,28.09,28.36,28.25,28.01,27.85,27.76,27.66,27.21,26.75
"Marine Parade",27.70,26.97,27.38,27.90,28.06,28.36,28.26,28.02,27.86,27.77,27.69,27.28,26.80
Hougang,27.69,26.96,27.39,27.94,28.09,28.36,28.25,28.01,27.85,27.76,27.66,27.21,26.75
"Central Singapore",27.69,26.96,27.39,27.94,28.09,28.36,28.25,28.01,27.85,27.76,27.66,27.21,26.75
"Bukit Timah",27.69,26.96,27.39,27.94,28.09,28.36,28.25,28.01,27.85,27.76,27.66,27.21,26.75
