Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"El Salvador",25.24,24.48,24.95,26.11,26.80,26.27,25.40,25.75,25.41,24.82,24.68,24.08,24.16
"La Union",26.95,26.10,26.55,27.69,28.58,27.97,27.25,27.38,27.20,26.35,26.24,25.86,26.20
Cuscatlan,24.66,23.96,24.42,25.60,26.24,25.70,24.71,25.13,24.84,24.27,24.14,23.43,23.52
Chalatenango,23.23,21.94,22.52,23.99,24.83,24.47,23.78,23.84,23.75,23.29,22.84,21.88,21.67
Usulutan,26.65,26.12,26.49,27.58,28.23,27.61,26.71,27.15,26.67,26.00,25.99,25.52,25.66
Cabanas,25.27,24.60,25.04,26.25,26.89,26.29,25.33,25.79,25.42,24.85,24.61,24.04,24.09
Sonsonate,24.42,23.89,24.35,25.28,25.87,25.25,24.39,24.94,24.38,23.99,23.88,23.32,23.49
Ahuachapan,24.96,24.42,24.85,25.79,26.36,25.81,24.97,25.47,24.89,24.54,24.46,23.95,24.07
"Santa Ana",23.66,22.63,23.17,24.45,25.17,24.76,24.01,24.24,23.96,23.48,23.23,22.50,22.32
"San Vicente",25.72,25.15,25.50,26.69,27.31,26.70,25.75,26.23,25.82,25.24,25.07,24.51,24.59
"San Salvador",24.38,23.69,24.14,25.29,25.92,25.42,24.38,24.81,24.54,23.97,23.93,23.15,23.30
"San Miguel",26.17,25.37,25.99,27.10,27.79,27.21,26.35,26.67,26.30,25.57,25.48,25.06,25.16
Morazan,25.78,24.78,25.41,26.61,27.38,26.90,26.05,26.29,26.05,25.37,25.13,24.66,24.72
"La Paz",26.27,25.87,26.00,27.18,27.79,27.21,26.24,26.75,26.30,25.74,25.72,25.10,25.28
"La Libertad",24.58,23.96,24.37,25.49,26.10,25.59,24.56,25.01,24.71,24.15,24.12,23.38,23.55
