Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Somalia,26.95,25.39,26.33,27.55,28.33,28.24,27.74,27.14,27.06,27.74,26.83,25.88,25.21
Gedo,28.55,28.77,29.69,30.70,29.85,28.70,27.89,27.04,27.26,28.14,28.30,28.09,28.30
Galgaduud,27.77,26.65,27.51,28.67,29.51,28.94,28.03,27.24,27.19,28.03,27.70,27.18,26.63
Banadir,27.00,26.79,27.16,28.32,28.71,27.70,26.72,25.93,25.82,26.33,26.92,26.86,26.82
Bay,27.52,27.57,28.28,29.37,29.08,27.89,26.96,26.10,26.22,26.98,27.28,27.22,27.35
Bari,26.61,23.27,24.39,26.03,27.98,29.16,28.81,28.08,27.87,28.77,26.89,24.77,23.19
Sanaag,24.60,21.14,22.42,23.83,25.60,26.84,27.11,26.89,26.60,27.14,24.42,22.28,20.89
Nugaal,26.73,24.21,25.33,26.67,28.34,28.80,28.03,27.45,27.29,28.38,26.95,25.34,23.91
Bakool,27.26,26.95,27.87,29.01,28.74,27.71,26.91,26.10,26.31,27.15,26.98,26.73,26.71
Mudug,27.67,25.90,26.89,28.12,29.41,29.29,28.38,27.62,27.53,28.47,27.73,26.81,25.85
Awdal,29.95,25.31,26.41,27.58,29.37,31.31,33.88,35.54,34.86,32.74,29.26,27.17,25.70
"Shabelle Dhexe",27.21,26.78,27.30,28.44,28.98,28.01,27.01,26.18,26.15,26.78,27.15,26.99,26.82
"Juba Dhexe",28.35,28.82,29.35,30.32,29.90,28.61,27.49,26.65,26.74,27.50,28.15,28.26,28.48
"Shabelle Hoose",27.57,27.60,28.04,29.14,29.25,28.09,27.09,26.23,26.21,26.85,27.41,27.46,27.54
"Juba Hoose",28.45,29.07,29.51,30.40,29.99,28.61,27.39,26.61,26.71,27.43,28.32,28.62,28.78
Hiraan,27.61,27.01,27.80,28.94,29.29,28.37,27.48,26.66,26.72,27.54,27.44,27.17,26.95
"Woqooyi Galbeed",25.15,21.81,23.09,24.36,25.67,26.87,27.89,27.96,27.63,27.36,24.54,22.78,21.69
Togdheer,24.64,21.76,22.98,24.22,25.53,26.37,26.78,26.61,26.39,26.66,24.19,22.57,21.54
Sool,25.71,22.83,24.07,25.35,26.98,27.74,27.53,27.18,26.98,27.77,25.65,23.87,22.49
