Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Republic of Serbia",11.40,0.50,2.19,6.52,11.27,16.02,19.64,21.46,21.73,17.05,11.94,6.27,1.64
Zlatiborski,9.51,-0.62,0.63,4.53,8.79,13.63,17.26,19.32,19.65,14.97,10.10,4.94,0.33
Pomoravski,11.88,1.06,2.77,7.16,11.80,16.54,20.12,21.88,22.15,17.45,12.34,6.51,2.19
Macvanski,12.22,1.58,3.12,7.55,12.04,16.81,20.38,22.16,22.52,17.77,12.62,6.94,2.51
Nisavski,11.24,0.34,2.19,6.45,10.93,15.80,19.35,21.22,21.56,16.95,11.82,5.95,1.68
Moravicki,10.62,0.21,1.65,5.83,10.23,15.00,18.57,20.47,20.76,16.10,11.16,5.65,1.19
Pcinjski,9.97,-0.86,0.89,4.91,9.32,14.22,17.78,19.93,20.33,15.94,10.91,5.19,0.50
Podunavski,12.54,1.51,3.31,7.80,12.62,17.32,20.94,22.59,22.83,18.13,13.03,7.25,2.57
Pirotski,9.61,-1.25,0.38,4.34,9.12,14.05,17.56,19.57,19.97,15.47,10.45,4.82,0.22
Kolubarski,11.63,1.09,2.56,6.93,11.40,16.13,19.69,21.50,21.88,17.19,12.11,6.44,2.01
Zapadno-backi,12.36,0.73,2.89,7.51,12.76,17.36,21.09,22.81,22.88,18.06,12.67,7.02,1.95
Severno-backi,12.26,0.52,2.63,7.28,12.70,17.32,21.08,22.79,22.84,17.98,12.68,6.91,1.77
Raski,9.64,-0.71,0.71,4.74,9.13,13.90,17.50,19.46,19.74,15.11,10.25,4.88,0.40
Branicevski,11.63,0.73,2.32,6.66,11.59,16.36,19.98,21.68,21.95,17.24,12.11,6.42,1.90
Srednje-banatski,12.69,1.10,3.11,7.74,13.06,17.68,21.43,23.08,23.22,18.48,13.17,7.44,2.19
Borski,11.32,0.31,1.77,6.05,11.21,16.15,19.82,21.55,21.82,16.98,11.77,6.06,1.75
Severno-banatski,12.39,0.48,2.64,7.33,12.85,17.46,21.32,22.93,23.00,18.18,12.89,7.20,1.73
Jablanicki,10.45,-0.41,1.37,5.53,9.97,14.87,18.38,20.40,20.77,16.30,11.23,5.46,0.95
Sumadijski,11.94,1.13,2.86,7.31,11.90,16.59,20.15,21.87,22.11,17.44,12.46,6.65,2.15
"Grad Beograd",12.76,1.84,3.46,8.05,12.88,17.50,21.11,22.80,23.10,18.42,13.23,7.42,2.73
Sremski,12.71,1.70,3.39,7.97,12.85,17.50,21.12,22.87,23.12,18.36,13.11,7.32,2.65
Juzno-banatski,12.80,1.41,3.33,7.90,13.06,17.71,21.40,23.02,23.23,18.52,13.26,7.57,2.54
Zajecarski,11.08,0.24,1.84,6.03,10.83,15.72,19.32,21.12,21.43,16.71,11.62,5.86,1.60
Juzno-backi,12.49,1.18,3.05,7.64,12.77,17.38,21.07,22.81,22.96,18.17,12.92,7.14,2.22
Toplicki,10.84,0.05,1.87,6.11,10.49,15.35,18.86,20.75,21.07,16.52,11.42,5.66,1.30
Rasinski,11.14,0.42,2.12,6.44,10.91,15.68,19.21,21.06,21.33,16.72,11.66,5.91,1.57
