Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"South Sudan",27.97,27.13,29.04,30.49,30.47,29.19,27.42,26.57,26.32,26.96,27.63,27.64,26.86
"El Buheyrat",28.52,28.07,30.17,31.38,30.70,29.26,27.70,27.00,26.73,27.49,28.01,28.28,27.61
"Western Equatoria",26.81,26.78,28.51,29.14,28.51,27.29,26.06,25.37,25.24,25.80,26.24,26.69,26.20
"Western Bahr El Ghazal",26.86,24.53,26.92,29.26,29.94,29.11,27.00,26.04,25.62,26.19,26.89,26.21,24.75
"Northern Bahr El Ghazal",28.07,25.44,27.97,30.64,31.58,30.67,28.03,27.04,26.58,27.23,28.16,27.52,25.98
Warab,28.90,27.53,29.89,31.84,32.04,30.63,28.35,27.39,26.94,27.64,28.49,28.62,27.59
"Upper Nile",28.77,27.25,29.18,31.39,32.28,30.86,28.61,27.28,26.84,27.44,28.53,28.43,27.26
Jonglei,28.89,28.56,30.33,31.60,31.37,29.74,28.02,27.25,27.09,27.78,28.42,28.55,28.03
"Eastern Equatoria",27.22,27.51,28.73,29.15,28.49,27.40,26.41,25.83,25.96,26.60,26.95,26.97,26.77
"Central Equatoria",27.07,27.50,28.92,29.30,28.48,27.25,26.08,25.48,25.50,26.10,26.56,27.00,26.82
Unity,29.25,27.94,30.24,32.31,32.64,31.11,28.67,27.62,27.10,27.81,28.72,28.96,27.99
