Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Slovenia,9.87,-0.08,1.34,5.23,9.57,13.93,17.67,19.54,19.36,14.84,10.37,5.39,0.69
Notranjsko-kraska,9.22,-0.07,0.86,4.40,8.49,12.85,16.62,18.59,18.52,14.05,9.88,5.18,0.74
Koroska,8.93,-1.47,0.31,4.32,8.84,13.28,17.00,18.76,18.50,14.07,9.48,4.18,-0.73
"Jugovzodna Slovenija",10.06,-0.12,1.43,5.48,9.93,14.20,17.97,19.83,19.54,15.03,10.49,5.63,0.71
Goriska,9.49,0.44,1.25,4.66,8.62,12.87,16.73,18.81,18.73,14.35,10.21,5.39,1.22
Gorenjska,8.52,-1.00,0.03,3.79,7.90,12.31,16.11,18.02,17.93,13.45,9.19,4.15,-0.26
Zasavska,9.50,-0.59,0.94,4.87,9.29,13.74,17.36,19.20,18.97,14.53,10.05,4.93,0.09
Spodnjeposavska,10.80,0.24,2.11,6.34,10.92,15.23,18.95,20.74,20.43,15.86,11.09,6.09,1.09
Savinjska,9.85,-0.34,1.28,5.27,9.73,14.17,17.78,19.60,19.37,14.88,10.33,5.24,0.35
Pomurska,11.06,0.15,2.24,6.66,11.40,15.82,19.52,21.16,20.91,16.15,11.23,6.00,1.00
Podravska,10.84,0.08,2.14,6.39,11.05,15.47,19.13,20.82,20.61,15.92,11.09,5.95,0.87
Osrednjeslovenska,9.05,-0.73,0.52,4.34,8.66,13.03,16.76,18.66,18.49,14.02,9.65,4.67,-0.01
Obalno-kraska,12.25,3.33,4.08,7.35,11.32,15.54,19.43,21.66,21.62,17.04,12.77,8.17,4.10
