Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Sweden,3.18,-7.23,-6.85,-3.21,1.97,7.38,12.14,14.89,13.54,9.10,3.33,-2.06,-5.55
"Kalmar Laen",7.55,-0.87,-0.82,1.55,5.94,10.61,14.70,17.37,16.74,12.77,7.82,3.70,0.51
"Joenkoepings Laen",6.72,-1.96,-1.80,0.82,5.58,10.38,14.11,16.49,15.68,11.73,6.95,2.70,-0.60
"Jaemtlands Laen",2.06,-7.94,-7.41,-3.99,0.83,6.05,10.71,13.38,12.08,7.82,2.22,-3.15,-6.51
"Hallands Laen",7.97,-0.36,-0.17,2.37,6.99,11.56,14.87,17.12,16.65,12.80,8.22,4.09,0.99
"Uppsala Laen",6.67,-2.30,-2.43,0.43,5.07,10.08,14.51,17.33,16.41,12.07,6.73,2.32,-0.79
"Gotlands Laen",8.27,0.90,0.46,2.01,5.57,10.03,14.42,17.74,17.61,13.69,8.76,5.00,2.50
"Stockholms Laen",7.44,-1.26,-1.50,1.12,5.55,10.61,15.10,18.05,17.18,12.80,7.43,3.27,0.29
"Gaevleborgs Laen",4.19,-5.76,-5.29,-1.70,3.09,8.02,12.48,15.44,14.21,9.93,4.35,-0.76,-4.36
"Soedermanlands Laen",7.00,-2.08,-1.94,1.04,5.84,11.00,15.02,17.44,16.44,12.07,6.78,2.50,-0.74
"Dalarnas Laen",3.31,-7.01,-6.35,-2.56,2.55,7.96,12.22,14.76,13.33,8.95,3.37,-2.04,-6.11
"Skaane Laen",8.36,0.24,0.36,2.60,7.03,11.50,14.98,17.38,17.13,13.36,8.84,4.70,1.62
"Blekinge Laen",7.98,-0.16,-0.05,2.05,6.28,10.82,14.69,17.30,16.92,13.17,8.47,4.42,1.23
"Oestergoetlands Laen",7.03,-1.98,-1.95,0.92,5.84,10.91,14.86,17.31,16.40,12.18,7.03,2.77,-0.59
"Oerebro Laen",5.99,-3.42,-3.17,0.10,5.10,10.34,14.21,16.54,15.44,11.14,5.87,1.32,-2.25
"Norrbottens Laen",-0.57,-12.76,-12.33,-7.85,-1.96,4.22,10.11,13.12,11.21,6.26,-0.44,-6.87,-10.40
"Kronobergs Laen",7.32,-1.11,-0.94,1.46,6.03,10.73,14.39,16.79,16.22,12.33,7.66,3.48,0.25
"Vaestra Goetalands Laen",7.03,-1.73,-1.57,1.21,6.00,10.86,14.52,16.84,16.03,12.02,7.15,2.88,-0.42
"Vaestmanlands Laen",5.88,-3.23,-2.96,0.26,4.92,9.95,13.82,16.23,15.13,10.87,5.63,1.27,-1.96
"Vaesternorrlands Laen",2.97,-8.25,-7.57,-3.29,2.06,7.35,12.30,15.31,13.79,9.29,3.16,-2.71,-6.52
"Vaesterbottens Laen",1.15,-10.31,-9.73,-5.60,-0.20,5.51,10.90,13.89,12.27,7.66,1.47,-4.66,-8.17
"Vaermlands Laen",5.27,-4.64,-4.33,-0.71,4.51,9.82,13.92,16.30,15.03,10.68,5.25,0.32,-3.61
