Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Seychelles,26.94,26.76,27.30,27.72,28.06,27.75,26.72,25.85,25.97,26.51,26.82,26.93,26.91
Coetivy,27.44,27.24,27.79,28.26,28.54,28.24,27.21,26.34,26.46,27.00,27.32,27.47,27.46
Therese,26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
Takamaka,27.44,27.24,27.79,28.26,28.54,28.24,27.21,26.34,26.46,27.00,27.32,27.47,27.46
"Ste Anne",26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
"St. Pierre",26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
"Grand Anse Mahe",26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
"St. Joseph Atoll",26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
Glacis,26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
"St. Francois",26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
Fregate,27.59,27.38,27.93,28.42,28.68,28.38,27.35,26.48,26.60,27.14,27.47,27.63,27.61
"St Louis",26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
Felicite,26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
Farquhar,27.59,27.38,27.93,28.42,28.68,28.38,27.35,26.48,26.60,27.14,27.47,27.63,27.61
"English River",26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
Desroches,27.59,27.38,27.93,28.42,28.68,28.38,27.35,26.48,26.60,27.14,27.47,27.63,27.61
Desnoeufs,26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
Denis,26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
Darros,26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
"Grande Soeur",26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
"Anse Etoile",26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
"Anse Boileau",26.72,26.55,27.09,27.49,27.85,27.54,26.51,25.63,25.76,26.30,26.60,26.70,26.68
"Anse Aux Pins",27.59,27.38,27.93,28.42,28.68,28.38,27.35,26.48,26.60,27.14,27.47,27.63,27.61
Alphonse,27.59,27.38,27.93,28.42,28.68,28.38,27.35,26.48,26.60,27.14,27.47,27.63,27.61
Aldabra,27.30,28.26,28.37,28.70,28.51,27.84,26.26,25.28,25.40,26.06,26.90,28.05,28.12
"Les Mamelles",26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
"La Digue",26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
"Ile du Sud",26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
Bijoutier,26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
Belombre,26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
"Bel Air",26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
"Beau Vallon",26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
"Baie Lazare",26.77,26.60,27.14,27.55,27.90,27.59,26.56,25.68,25.81,26.35,26.65,26.76,26.73
Platte,26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
"Au Cap",27.59,27.38,27.93,28.42,28.68,28.38,27.35,26.48,26.60,27.14,27.47,27.63,27.61
Plaisance,26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
Astove,27.59,27.38,27.93,28.42,28.68,28.38,27.35,26.48,26.60,27.14,27.47,27.63,27.61
"Petite Soeur",26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
Assumption,27.59,27.38,27.93,28.42,28.68,28.38,27.35,26.48,26.60,27.14,27.47,27.63,27.61
"North Island",26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
Aride,27.59,27.38,27.93,28.42,28.68,28.38,27.35,26.48,26.60,27.14,27.47,27.63,27.61
"Anse Royale",27.59,27.38,27.93,28.42,28.68,28.38,27.35,26.48,26.60,27.14,27.47,27.63,27.61
"Mont Fleuri",26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
"Mont Buxton",26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
Marie-Louise,26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
"Port Glaud",26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
Poivre,26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
"Pointe Larue",27.59,27.38,27.93,28.42,28.68,28.38,27.35,26.48,26.60,27.14,27.47,27.63,27.61
Curieuse,26.81,26.64,27.18,27.59,27.94,27.63,26.60,25.72,25.85,26.39,26.69,26.80,26.78
Cousine,26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
Cousin,26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
Cosmoledo,26.81,26.64,27.18,27.59,27.94,27.63,26.60,25.72,25.85,26.39,26.69,26.80,26.78
Conception,26.65,26.48,27.02,27.42,27.78,27.47,26.45,25.56,25.69,26.23,26.53,26.63,26.60
