Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Syria,18.77,7.01,8.85,12.68,17.44,22.62,27.21,29.95,29.81,26.25,20.99,13.37,8.43
Aleppo,18.48,6.54,8.27,12.13,16.77,22.08,26.98,29.97,29.92,26.33,20.84,13.08,8.16
Raqqa,19.17,6.91,8.71,12.85,17.76,23.19,28.36,31.26,30.91,26.83,20.99,13.27,8.27
Al_Qunaytirah,18.12,8.91,9.93,12.66,16.72,20.66,24.02,26.00,26.38,24.49,21.26,15.29,10.61
Lattakia,18.32,8.72,9.96,12.98,16.64,20.47,23.97,26.73,27.48,25.33,21.50,15.01,10.47
Idleb,18.16,7.21,8.77,12.26,16.51,21.23,25.40,28.12,28.55,25.80,21.00,13.59,8.81
Homs,18.48,6.68,8.62,12.56,17.47,22.55,26.79,29.32,29.25,25.91,20.76,13.03,8.15
Hassakeh,19.67,6.98,9.03,12.92,17.60,23.49,29.41,32.72,32.24,27.66,21.60,13.55,8.17
Hama,18.19,6.96,8.60,12.20,16.70,21.63,25.96,28.61,28.72,25.78,20.81,13.22,8.44
Dayr_Az_Zor,20.39,7.77,9.92,14.06,19.22,24.84,29.91,32.77,32.37,27.90,22.21,14.07,8.93
Dara,18.11,8.23,9.64,12.73,16.97,21.22,24.60,26.66,26.89,24.65,20.81,14.50,9.91
Damascus,17.20,6.52,8.12,11.59,16.15,20.79,24.49,26.95,26.92,24.13,19.55,12.64,8.00
City_Damascus,13.94,4.12,5.21,8.31,12.58,16.93,20.47,22.83,23.00,20.60,16.78,10.37,5.50
As_Suweida,17.36,6.63,8.31,11.72,16.38,21.11,24.57,26.87,26.79,24.26,19.75,13.00,8.30
Tartous,18.53,9.35,10.49,13.25,16.84,20.65,23.94,26.56,27.14,25.27,21.72,15.51,11.10
