Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Chad,27.65,21.25,23.91,27.65,31.01,32.02,31.70,30.14,28.91,29.43,28.49,24.98,22.14
Ennedi,26.64,18.32,20.78,24.53,28.90,31.55,32.55,31.47,30.48,30.51,27.99,22.79,19.46
Tibesti,23.81,13.40,16.09,20.59,25.97,29.33,31.12,30.79,30.32,29.18,25.02,18.89,14.59
Biltine,28.04,22.14,24.75,28.06,31.31,32.41,32.18,29.93,28.10,29.39,29.20,25.81,23.12
"Barl El Gazal",29.72,23.22,25.90,30.15,34.09,34.67,33.80,31.49,29.54,30.91,30.94,27.52,24.33
Daraba,29.20,24.41,27.33,31.25,34.23,33.75,31.62,29.17,27.20,28.54,29.76,27.80,25.30
"Hadjer Lamis",28.59,23.39,26.49,30.58,33.62,33.13,31.26,28.67,26.83,28.27,29.50,27.05,24.28
Guera,28.92,25.95,28.55,31.78,33.45,32.34,29.99,27.82,26.20,27.42,28.86,28.16,26.54
"Logone Oriental",26.70,24.75,27.71,30.46,30.20,28.55,26.63,25.43,24.85,25.23,26.20,25.96,24.60
Lac,28.83,22.03,25.16,29.36,33.25,33.59,32.61,30.49,28.80,30.24,30.50,26.71,23.15
Kanem,29.35,21.99,24.71,29.22,33.45,34.35,33.83,31.94,30.18,31.45,30.87,26.80,23.20
"Logone Occidental",26.75,24.44,27.67,30.95,30.84,28.85,26.79,25.35,24.67,25.08,26.24,25.87,24.36
"Tandjile Ouest",27.23,24.70,27.96,31.45,31.70,29.71,27.45,25.75,24.86,25.49,26.73,26.37,24.73
Baguirmi,28.66,24.89,27.82,31.60,33.67,32.44,30.07,27.83,26.35,27.46,28.79,27.57,25.46
"Tandjile Est",27.81,25.27,28.22,31.59,32.24,30.43,28.13,26.43,25.57,26.24,27.44,26.96,25.35
"Mont De Lam",26.10,24.36,27.24,29.85,29.43,27.67,25.95,24.83,24.28,24.55,25.56,25.43,24.18
"Lac Iro",28.11,26.49,28.93,31.29,31.71,30.28,28.17,26.60,25.87,26.60,27.61,27.41,26.52
Salamat,28.48,26.04,28.59,31.34,32.42,31.45,29.26,27.38,26.15,27.12,28.31,27.50,26.30
Mandoul,27.23,25.39,28.13,30.71,30.75,29.18,27.20,25.84,25.32,25.81,26.77,26.54,25.29
Mayo-Dala,27.54,25.11,28.25,31.80,32.18,29.94,27.61,25.88,25.08,25.51,27.14,26.95,25.23
"Barh Koh",27.87,26.01,28.58,31.17,31.57,30.03,27.93,26.42,25.77,26.42,27.43,27.18,26.05
Sila,28.13,24.42,27.17,30.23,31.93,31.89,29.93,27.85,26.41,27.47,28.55,26.78,24.91
Borkou,27.34,18.70,21.28,25.33,29.85,32.35,33.35,32.33,31.42,31.40,28.59,23.29,19.92
"Batha Est",30.00,25.20,27.79,31.30,34.24,34.24,33.11,30.45,28.34,29.90,30.78,28.58,26.07
Assongha,27.59,22.92,25.59,28.65,31.17,31.68,30.60,28.17,26.31,27.76,28.45,26.00,23.70
"Batha Ouest",29.79,24.22,26.91,30.73,34.13,34.43,33.39,30.83,28.81,30.19,30.66,27.95,25.15
Ouaddai,29.26,25.24,27.84,31.02,33.35,33.12,31.64,29.08,27.10,28.67,29.91,28.13,26.02
Kabia,27.52,24.91,28.09,31.76,32.23,30.14,27.76,25.90,24.93,25.57,27.11,26.87,25.11
Mayo-Boneye,28.40,25.17,28.18,31.97,33.31,31.65,29.25,27.13,25.95,26.82,28.32,27.59,25.55
