Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Thailand,26.86,24.10,25.81,27.94,29.36,28.78,28.09,27.62,27.34,27.15,26.68,25.57,23.90
Saraburi,28.03,25.96,27.74,29.48,30.36,29.68,28.90,28.45,28.14,27.83,27.58,26.80,25.48
Loei,25.71,22.06,23.99,26.60,28.32,27.95,27.57,27.02,26.68,26.44,25.80,24.13,21.95
Krabi,27.93,27.35,27.89,28.75,29.15,28.61,28.47,28.03,28.01,27.44,27.29,27.16,27.04
Ranong,26.98,26.35,27.01,27.92,28.57,27.87,27.07,26.82,26.61,26.41,26.44,26.52,26.24
"Khon Kaen",27.37,23.96,26.06,28.74,30.19,29.60,29.03,28.54,28.06,27.68,27.13,25.71,23.73
Kanchanaburi,26.15,24.26,25.70,27.49,28.80,27.75,26.66,26.17,25.99,26.04,25.91,25.20,23.87
"Kampaeng Phet",27.31,24.51,26.69,28.68,30.36,29.47,28.34,27.90,27.63,27.47,27.06,25.91,23.78
Kalasin,27.02,23.39,25.45,28.20,29.84,29.33,28.86,28.44,27.90,27.63,26.83,25.19,23.13
Chumphon,27.26,26.18,26.90,27.91,28.81,28.39,27.66,27.39,27.17,27.07,26.90,26.69,26.10
Chonburi,28.41,26.93,28.05,29.32,30.09,29.65,29.22,28.73,28.53,28.06,27.90,27.73,26.71
"Chiang Rai",24.51,20.03,22.01,24.80,27.16,27.06,26.86,26.33,26.20,26.01,24.94,22.76,19.86
"Samut Songkham",28.04,26.08,27.24,28.72,29.74,29.57,29.05,28.66,28.66,28.19,27.67,27.17,25.73
"Samut Sakhon",28.87,26.94,28.18,29.67,30.79,30.35,29.82,29.44,29.34,28.85,28.44,27.95,26.60
"Samut Prakarn",28.92,27.29,28.46,29.77,30.73,30.21,29.76,29.28,29.05,28.66,28.55,28.25,27.13
"Sakon Nakhon",26.86,22.93,24.89,27.71,29.52,29.19,28.78,28.43,27.92,27.80,26.97,25.23,22.86
"Sa Kaeo",27.97,25.86,27.80,29.48,30.23,29.60,28.81,28.22,27.96,27.90,27.55,26.80,25.51
"Roi Et",27.48,24.15,26.22,28.88,30.26,29.78,29.19,28.67,28.15,27.89,27.12,25.63,23.81
Lamphun,25.49,21.64,23.53,26.45,28.73,27.99,26.90,26.54,26.24,26.16,25.64,24.11,21.87
Rayong,28.37,26.87,28.05,29.20,29.96,29.53,29.14,28.64,28.52,28.10,27.96,27.85,26.62
Lampang,26.00,22.02,24.18,27.15,29.31,28.45,27.63,27.23,26.97,26.75,26.00,24.35,21.88
Ratchaburi,27.54,25.60,27.00,28.71,29.81,29.17,28.36,27.91,27.81,27.47,27.03,26.48,25.17
Nan,24.75,20.52,22.53,25.33,27.50,27.13,26.83,26.17,26.01,26.02,25.16,23.22,20.47
"Nakhon Si Thammarat",27.59,26.49,26.98,27.96,28.79,28.64,28.52,28.07,28.03,27.54,27.08,26.60,26.39
"Nakhon Ratchasima",27.48,24.59,26.85,28.95,30.05,29.49,28.90,28.43,28.01,27.64,26.99,25.73,24.08
"Si Saket",27.73,25.03,27.02,29.42,30.39,29.69,28.86,28.27,27.88,27.73,27.27,26.37,24.82
"Nakhon Phanom",26.63,22.67,24.57,27.36,29.24,29.08,28.51,28.21,27.72,27.69,26.76,25.05,22.65
Satun,28.18,27.72,28.51,29.27,29.36,28.86,28.52,28.02,28.03,27.66,27.56,27.40,27.25
"Nakhon Pathom",28.84,26.81,28.25,29.92,31.05,30.46,29.82,29.39,29.23,28.77,28.36,27.71,26.37
"Nakhon Nayok",27.84,26.00,27.52,29.18,29.98,29.28,28.54,28.16,27.82,27.64,27.48,26.91,25.60
Mukdahan,26.58,22.84,24.89,27.71,29.44,29.00,28.45,28.12,27.50,27.40,26.37,24.61,22.58
"Maha Sarakham",27.65,24.30,26.49,29.06,30.51,29.97,29.37,28.86,28.34,27.96,27.29,25.78,23.89
"Mae Hong Son",24.05,20.12,21.50,24.55,27.29,26.65,25.32,24.78,24.67,25.01,24.75,23.15,20.75
Lopburi,28.18,25.82,27.87,29.83,30.81,30.04,29.19,28.69,28.34,28.01,27.70,26.68,25.24
Trad,26.90,25.87,26.56,27.56,28.24,27.96,27.20,26.85,26.66,26.63,26.59,26.74,25.93
Tak,25.18,22.23,24.04,26.42,28.34,27.36,26.02,25.58,25.37,25.51,25.26,23.99,22.03
Surin,27.81,24.95,27.07,29.36,30.46,29.84,29.17,28.58,28.21,27.94,27.33,26.23,24.61
"Surat Thani",27.36,26.40,26.90,27.89,28.66,28.35,28.00,27.64,27.54,27.10,26.82,26.60,26.36
Suphanburi,28.28,26.02,27.84,29.73,30.91,30.14,29.24,28.71,28.53,28.13,27.77,26.84,25.48
Sukhothai,28.03,24.77,27.09,29.57,31.38,30.28,29.14,28.73,28.45,28.22,27.71,26.53,24.55
Songkhla,28.00,27.05,27.75,28.59,29.15,28.98,28.67,28.27,28.26,27.88,27.55,27.09,26.74
"Nakhon Sawan",28.15,25.50,27.79,29.82,31.13,30.18,29.23,28.71,28.28,28.00,27.69,26.61,24.94
Singburi,28.81,26.52,28.48,30.38,31.44,30.70,29.81,29.24,29.02,28.51,28.24,27.39,26.09
Phetchabun,26.78,23.87,25.98,28.19,29.53,28.87,28.01,27.47,27.09,26.98,26.58,25.24,23.50
Phayao,25.10,20.72,22.98,25.97,28.15,27.49,27.16,26.59,26.51,26.35,25.48,23.41,20.31
Phatthalung,28.00,27.18,27.79,28.70,29.25,28.90,28.62,28.15,28.17,27.78,27.50,27.09,26.85
Phangnga,27.71,27.27,27.71,28.52,28.82,28.34,28.09,27.73,27.68,27.05,27.08,27.20,27.11
