Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Timor Leste",24.53,25.17,25.23,25.19,24.88,24.36,23.75,23.51,23.21,23.98,24.73,25.27,25.11
Manatuto,24.24,24.89,24.95,24.95,24.67,24.15,23.54,23.29,22.82,23.63,24.41,24.90,24.75
Liquica,23.95,24.63,24.69,24.63,24.35,23.68,23.16,22.80,22.58,23.33,24.17,24.82,24.62
Lautem,24.93,25.40,25.49,25.51,25.03,24.74,24.16,24.23,23.98,24.62,25.09,25.51,25.41
Ermera,23.95,24.62,24.69,24.62,24.35,23.68,23.16,22.79,22.58,23.33,24.16,24.81,24.61
Dili,23.29,23.95,24.00,24.04,23.77,23.18,22.56,22.31,21.85,22.65,23.47,23.92,23.81
Covalima,24.53,25.29,25.23,25.18,24.94,24.32,23.53,23.17,23.14,24.00,24.84,25.48,25.33
Bobonaro,24.19,24.90,24.91,24.85,24.59,23.94,23.31,22.95,22.82,23.60,24.44,25.09,24.91
Baucau,25.28,25.88,25.98,25.88,25.52,25.13,24.59,24.43,24.05,24.77,25.44,25.96,25.76
Ainaro,24.45,25.13,25.18,25.17,24.90,24.29,23.63,23.32,23.00,23.85,24.66,25.22,25.09
Viqueque,25.34,25.96,26.04,25.97,25.65,25.25,24.66,24.46,24.02,24.79,25.49,26.02,25.83
Aileu,23.33,23.99,24.04,24.08,23.80,23.21,22.60,22.34,21.90,22.69,23.51,23.97,23.86
Oecussi,24.64,25.26,25.09,25.05,25.00,24.33,23.55,23.32,23.49,24.19,25.12,25.86,25.46
Manufahi,24.53,25.21,25.27,25.26,24.99,24.38,23.74,23.43,23.07,23.92,24.74,25.28,25.15
