Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Tunisia,20.55,11.03,12.27,15.23,18.84,22.81,27.43,29.80,30.09,26.90,22.66,16.68,12.25
Kebili,22.14,11.79,13.54,16.92,20.87,25.00,29.68,31.92,32.18,28.70,24.11,17.58,12.83
Tataouine,22.15,11.61,13.52,16.81,21.38,25.32,29.83,31.33,31.75,28.67,24.41,17.85,12.79
Kasserine,17.17,7.53,8.46,11.37,14.87,19.33,24.75,27.70,27.49,23.49,18.71,12.89,8.85
Sousse,20.14,11.86,12.38,14.90,17.73,21.34,25.96,28.85,29.15,26.24,22.29,17.14,13.29
Kairouan,19.50,10.80,11.49,14.07,17.09,21.09,25.88,28.86,28.93,25.66,21.44,16.06,12.08
Siliana,17.69,8.77,9.32,11.88,15.03,19.36,24.55,27.54,27.42,24.03,19.55,14.09,10.16
"Sidi Bouz",19.54,10.43,11.43,14.25,17.50,21.47,26.11,29.02,29.11,25.76,21.49,15.80,11.60
Jendouba,17.74,9.61,10.01,12.09,14.93,18.99,23.81,26.73,26.89,23.87,19.85,14.57,10.92
Gafsa,19.93,9.91,11.29,14.56,18.21,22.57,27.48,30.19,30.15,26.30,21.53,15.32,11.01
Sfax,20.05,11.77,12.54,15.11,17.93,21.41,25.47,28.22,28.74,26.17,22.54,17.13,13.02
Gabes,20.77,11.71,12.97,15.88,19.16,22.79,26.80,29.31,29.80,27.01,23.10,17.26,12.93
Nabeul,19.22,11.85,11.68,13.97,16.43,19.76,24.12,27.11,27.71,25.24,21.84,17.04,13.28
Beja,18.46,10.16,10.55,12.84,15.70,19.81,24.70,27.45,27.47,24.70,20.66,15.35,11.59
Medenine,21.58,12.73,14.05,16.75,20.00,23.43,27.19,29.45,30.26,27.74,24.29,18.54,14.03
Bizerte,18.69,10.94,11.01,13.24,15.82,19.62,24.26,27.12,27.39,24.79,21.15,15.97,12.38
Monastir,20.29,12.25,12.93,15.27,17.94,21.12,25.67,28.38,28.94,26.37,22.72,17.65,13.77
"Ben Arous",19.19,11.50,11.01,13.82,16.51,20.18,24.63,27.62,28.06,25.30,21.62,16.63,12.86
Manouba,19.02,11.05,10.96,13.54,16.32,20.17,24.88,27.66,27.95,25.17,21.33,16.12,12.42
Zaghouan,19.00,10.68,10.87,13.48,16.42,20.24,25.06,28.04,28.21,25.22,21.16,15.96,12.11
Ariana,19.11,11.51,11.00,13.72,16.35,20.01,24.46,27.46,27.93,25.22,21.59,16.59,12.86
Mahdia,20.10,11.94,12.62,15.05,17.78,21.25,25.54,28.31,28.83,26.23,22.52,17.29,13.30
Tunis,19.18,11.51,10.99,13.81,16.49,20.16,24.61,27.59,28.04,25.28,21.62,16.63,12.86
"Le Kef",17.05,8.12,8.70,11.17,14.34,18.74,24.02,26.99,26.98,23.34,18.80,13.29,9.49
Tozeur,22.15,11.47,13.32,16.84,20.71,25.12,30.27,32.73,32.82,28.80,23.64,17.11,12.44
