Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Türkiye,11.67,0.13,1.57,5.50,10.29,15.00,19.41,22.72,22.89,18.93,13.68,7.07,2.13
Samsun,12.82,3.62,4.51,7.23,10.92,15.16,19.25,21.93,22.30,18.87,14.69,9.42,5.33
Sakarya,13.51,4.13,5.38,7.81,11.90,16.39,20.34,22.50,22.71,19.28,15.10,9.98,6.02
Rize,8.36,-2.53,-1.54,2.03,7.12,11.51,15.54,18.70,19.30,15.48,10.59,4.27,-0.82
Erzurum,5.85,-7.45,-6.18,-1.59,4.87,9.79,14.34,18.20,18.71,14.25,8.45,1.07,-5.06
Erzincan,8.75,-4.48,-2.98,2.04,7.80,12.65,16.97,20.93,21.25,16.99,11.25,3.70,-1.98
Tokat,10.18,-0.95,0.62,4.88,9.61,13.90,17.29,19.87,20.21,16.78,12.22,5.87,1.20
Elazig,13.48,-0.39,0.94,6.27,11.86,17.14,22.64,27.05,27.15,22.41,15.91,7.79,2.08
Tekirdag,14.17,4.29,5.57,8.02,12.40,17.29,21.66,23.91,24.05,20.20,15.39,10.45,6.24
Edirne,14.36,3.78,5.53,8.47,12.90,18.01,22.35,24.70,24.76,20.53,15.21,10.01,5.50
Sivas,8.54,-3.87,-2.28,2.77,8.11,12.52,16.12,19.41,19.71,15.83,10.91,3.83,-1.29
Diyarbakir,15.46,1.61,3.01,8.03,13.32,18.89,24.94,29.33,29.31,24.55,17.95,9.74,3.94
Sirnak,14.87,2.13,3.73,7.56,12.31,18.04,24.14,28.09,27.98,23.58,17.21,9.27,3.63
Denizli,13.39,3.03,4.35,7.57,11.52,16.23,20.59,24.05,24.19,20.22,14.96,8.81,4.49
Sinop,11.65,2.17,3.09,5.95,9.75,14.21,18.21,21.06,21.38,17.84,13.52,8.07,3.94
Corum,11.07,-0.04,1.56,5.66,10.24,14.62,18.36,21.23,21.50,17.77,12.85,6.50,1.93
Siirt,13.49,0.71,2.08,6.01,10.98,16.57,22.54,26.70,26.78,22.31,15.94,8.05,2.39
Sanliurfa,17.98,5.23,6.87,11.15,15.79,21.31,27.19,30.93,30.70,26.28,20.27,12.34,6.96
Cankiri,9.67,-1.79,-0.09,4.29,8.87,13.45,17.08,20.25,20.32,16.49,11.36,4.94,0.18
Canakkale,14.78,5.57,6.47,8.63,12.66,17.49,22.02,24.42,24.58,20.68,15.99,10.99,7.27
Bursa,13.32,3.85,5.10,7.54,11.63,16.17,20.16,22.51,22.71,19.24,14.89,9.75,5.69
Burdur,12.73,2.35,3.70,6.93,10.87,15.49,19.90,23.45,23.56,19.64,14.39,8.10,3.76
Van,7.03,-6.03,-4.91,-0.50,5.35,10.47,15.80,19.90,20.21,15.59,9.41,2.14,-3.88
Usak,12.81,2.55,3.86,7.09,11.08,15.74,19.90,23.17,23.30,19.46,14.39,8.44,4.14
Tunceli,10.42,-3.03,-1.66,3.40,9.01,14.11,19.06,23.31,23.56,18.98,12.86,5.15,-0.60
Trabzon,9.66,-1.05,-0.12,3.47,8.35,12.68,16.66,19.73,20.27,16.72,11.99,5.68,0.89
Izmir,16.09,6.73,7.74,10.27,13.98,18.80,23.34,26.04,26.02,22.08,17.34,12.00,8.13
Istanbul,14.47,5.45,6.19,8.03,12.02,16.72,21.20,23.63,23.95,20.49,16.30,11.49,7.56
Isparta,11.49,0.77,2.27,5.77,9.96,14.54,18.79,22.17,22.21,18.31,13.12,6.95,2.43
Igdir,8.54,-6.00,-4.32,1.64,8.24,12.97,17.87,21.71,21.86,17.11,10.62,3.19,-3.29
Icel,13.70,3.18,4.45,7.97,12.19,16.45,20.75,23.91,24.02,20.59,15.83,9.54,4.92
Hatay,17.81,7.32,8.65,12.23,16.18,20.36,24.34,27.19,27.84,25.30,20.88,13.82,9.00
Zonguldak,12.74,3.73,4.73,7.12,11.00,15.37,19.19,21.54,21.77,18.54,14.54,9.36,5.41
Hakkari,9.02,-4.94,-3.35,1.58,7.25,12.83,18.29,22.25,22.47,18.13,11.80,3.87,-2.77
Yozgat,10.08,-1.48,0.34,4.69,9.51,13.84,17.45,20.39,20.56,16.78,11.94,5.46,0.84
Gumushane,8.29,-3.76,-2.46,2.03,7.45,12.00,15.89,19.25,19.71,15.86,10.67,3.73,-1.59
Yalova,14.34,5.45,6.28,8.12,12.14,16.71,21.11,23.34,23.61,20.14,15.93,11.25,7.45
Giresun,9.67,-1.17,-0.20,3.62,8.50,12.85,16.64,19.71,20.23,16.74,12.05,5.60,0.87
Gaziantep,16.86,4.56,6.16,10.38,15.01,20.13,25.40,28.97,28.99,24.89,19.18,11.49,6.40
Eskisehir,11.61,0.37,2.33,6.06,10.48,15.06,18.99,22.10,22.18,18.37,13.38,7.09,2.24
Karaman,11.17,-0.06,1.63,5.44,10.20,14.56,18.83,21.97,21.86,17.97,12.68,6.42,1.87
Antalya,13.76,3.86,4.91,7.94,11.68,16.10,20.56,23.95,24.09,20.55,15.70,9.71,5.45
Kocaeli,14.28,5.33,6.27,8.27,12.32,16.84,21.01,23.14,23.39,20.00,15.83,11.15,7.27
Ankara,11.23,-0.45,1.49,5.68,10.20,14.81,18.80,22.13,22.17,18.26,13.02,6.42,1.57
Kirsehir,11.27,-0.37,1.55,5.63,10.34,14.87,18.85,22.06,22.17,18.21,13.06,6.48,1.75
Amasya,11.28,0.45,1.97,6.05,10.60,14.83,18.43,20.97,21.35,17.76,13.13,6.89,2.37
Kirklareli,13.50,3.16,4.62,7.42,11.82,16.87,21.18,23.57,23.55,19.69,14.84,9.63,5.11
Aksaray,11.45,-0.34,1.91,6.00,10.55,15.01,19.17,22.59,22.35,18.22,13.03,6.45,1.84
Kirikkale,11.70,-0.22,1.74,6.17,10.89,15.44,19.44,22.64,22.75,18.82,13.49,6.63,1.88
Agri,6.50,-7.71,-6.48,-1.29,5.66,10.71,15.64,19.69,20.01,15.24,9.01,1.61,-4.92
Kilis,17.54,5.56,7.20,11.16,15.63,20.76,25.74,28.96,29.13,25.59,20.17,12.49,7.36
Kayseri,8.63,-3.42,-1.68,3.07,8.06,12.33,16.06,19.35,19.47,15.66,10.86,4.03,-0.97
Kastamonu,9.79,-0.84,0.65,4.37,8.69,13.32,16.91,19.76,19.92,16.19,11.39,5.49,1.01
Kars,5.26,-9.16,-7.85,-2.22,4.98,9.83,14.24,17.91,18.47,13.93,7.87,0.50,-6.25
Afyon,11.34,0.52,2.17,5.74,9.96,14.56,18.62,21.91,21.97,18.08,12.92,6.83,2.18
Adiyaman,15.51,2.27,3.91,8.62,13.67,18.88,24.54,28.63,28.57,24.04,17.85,9.91,4.46
Adana,15.40,4.75,6.04,9.79,13.96,17.96,22.06,25.21,25.62,22.63,18.16,11.44,6.55
Karabuk,10.83,0.55,1.98,5.45,9.69,14.23,17.76,20.52,20.68,17.16,12.52,6.60,2.21
K.maras,11.51,-1.03,0.60,5.47,10.45,14.99,19.52,23.12,23.30,19.23,13.86,6.55,1.31
Malatya,11.78,-1.85,-0.25,5.14,10.71,15.58,20.59,24.56,24.66,20.26,14.16,6.18,0.75
Kutahya,11.11,0.95,2.37,5.64,9.67,14.19,17.98,20.94,21.15,17.42,12.75,7.03,2.67
Bolu,10.76,0.43,1.88,5.25,9.48,14.02,17.64,20.36,20.59,17.14,12.56,6.88,2.32
Osmaniye,17.04,6.06,7.38,11.18,15.40,19.65,24.04,27.19,27.66,24.68,19.91,12.80,7.80
Bitlis,9.27,-3.24,-2.28,1.63,7.16,12.39,17.82,21.94,22.26,17.80,11.73,4.37,-1.19
Ordu,10.70,1.07,1.98,5.02,9.18,13.41,17.10,19.70,20.13,16.99,12.87,7.24,3.06
Bingol,9.65,-4.10,-2.97,1.83,7.92,13.33,18.66,23.12,23.41,18.67,12.31,4.40,-1.70
Nigde,10.17,-1.28,0.51,4.57,9.28,13.49,17.58,20.93,20.85,17.03,12.02,5.61,0.77
Bilecik,12.32,2.10,3.67,6.83,11.06,15.51,19.31,21.81,21.97,18.41,14.05,8.45,4.07
Nevsehir,10.81,-0.56,1.45,5.34,10.02,14.34,18.15,21.26,21.32,17.42,12.56,6.20,1.61
Bayburt,6.86,-5.94,-4.56,0.18,6.08,10.77,14.81,18.48,18.96,14.76,9.36,2.21,-3.61
Mus,8.16,-6.11,-4.99,0.01,6.71,12.16,17.29,21.59,21.98,17.27,11.09,3.23,-3.23
Batman,15.63,1.77,3.32,8.07,13.39,19.06,25.15,29.42,29.40,24.77,18.31,10.05,3.97
Mugla,15.80,6.43,7.34,9.95,13.34,17.92,22.59,25.95,26.09,22.34,17.47,11.80,7.82
Mardin,17.90,4.84,6.51,10.72,15.32,21.16,27.43,31.32,31.11,26.57,20.27,12.22,6.49
Manisa,14.87,4.88,6.15,9.02,13.10,18.00,22.30,25.07,25.16,21.23,16.17,10.43,6.32
Bartin,12.26,2.71,3.85,6.75,10.87,15.43,19.10,21.58,21.69,18.17,13.85,8.29,4.27
Balikesir,14.13,4.58,5.71,8.14,12.26,16.98,21.31,23.75,23.99,20.24,15.57,10.22,6.21
Aydin,16.19,6.55,7.67,10.47,14.06,18.86,23.40,26.42,26.37,22.46,17.56,11.91,7.93
Artvin,7.79,-3.84,-2.53,1.58,7.11,11.49,15.35,18.38,18.91,15.09,10.08,3.39,-2.17
Ardahan,4.25,-9.26,-8.05,-2.88,4.00,8.73,12.74,16.09,16.66,12.41,6.77,-0.20,-6.87
Konya,11.21,-0.24,1.65,5.58,10.21,14.70,18.90,22.21,22.04,18.09,12.72,6.35,1.73
