Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"Tanzania, United Republic of",22.92,23.70,23.82,23.79,23.12,22.34,21.16,20.59,21.60,22.92,24.02,24.21,23.84
Mtwara,25.44,26.64,26.69,26.65,25.84,24.92,23.58,22.95,23.65,24.57,25.79,27.01,27.06
Morogoro,24.73,26.10,26.17,25.95,25.03,23.99,22.47,21.86,22.64,24.06,25.50,26.59,26.55
Mbeya,21.58,22.23,22.32,22.26,21.69,20.74,19.29,18.58,19.92,21.93,23.56,23.79,22.79
Tabora,23.20,23.39,23.40,23.50,23.05,22.56,21.66,21.20,22.67,24.19,25.00,24.34,23.51
Geita,22.90,22.75,22.88,23.00,22.83,22.65,22.15,21.85,23.13,23.94,24.05,23.09,22.52
Iringa,21.61,22.48,22.43,22.32,21.77,20.99,19.69,18.94,19.74,21.32,22.87,23.70,23.18
Kagera,21.58,21.49,21.79,21.83,21.65,21.48,21.16,20.89,21.80,22.06,22.01,21.65,21.22
Mara,22.23,22.62,22.87,22.98,22.49,22.07,21.44,20.92,21.61,22.40,22.89,22.40,22.12
Manyara,21.15,22.50,22.80,22.85,21.64,20.36,18.97,18.48,19.15,20.47,21.90,22.39,22.41
Lindi,25.28,26.63,26.70,26.51,25.67,24.72,23.30,22.67,23.36,24.39,25.65,26.86,26.96
Kilimanjaro,21.54,22.91,23.48,23.66,22.28,20.85,19.55,18.99,19.27,20.35,21.99,22.55,22.68
Kigoma,22.90,22.77,22.94,22.96,22.82,22.70,21.82,21.36,23.05,24.17,24.41,23.17,22.63
"Mjini Magharibi",26.39,27.95,27.98,27.85,27.01,26.39,25.54,24.70,24.64,25.01,25.79,26.46,27.45
Tanga,24.24,25.91,26.24,26.21,24.88,23.62,22.44,21.78,22.04,22.93,24.22,25.06,25.67
Dodoma,22.21,23.38,23.40,23.40,22.49,21.47,20.12,19.54,20.31,21.75,23.16,23.88,23.72
Dar-es-salaam,26.35,28.14,28.17,27.90,26.92,26.12,24.97,24.19,24.45,25.02,25.91,26.84,27.72
Arusha,21.03,22.13,22.37,22.48,21.61,20.48,19.22,18.65,19.44,20.71,21.89,21.82,21.65
"Kusini Unguja",26.39,27.97,28.01,27.85,27.03,26.39,25.52,24.68,24.64,25.01,25.79,26.48,27.48
"Kusini Pemba",26.61,28.16,28.31,28.47,27.53,26.47,25.62,24.70,24.62,25.09,25.88,26.84,27.73
Katavi,22.69,22.74,22.85,22.91,22.65,22.31,21.15,20.55,22.27,23.83,24.59,23.65,22.81
Mwanza,23.07,23.19,23.29,23.50,23.21,23.03,22.47,22.00,22.83,23.56,23.81,23.23,22.77
Njombe,21.29,22.34,22.34,22.09,21.39,20.28,18.72,18.02,19.13,21.20,23.11,23.92,23.07
Rukwa,21.98,21.94,22.16,22.35,22.08,21.55,20.22,19.62,21.36,23.12,24.05,23.19,22.13
Shinyanga,23.41,23.50,23.54,23.70,23.32,22.97,22.30,21.96,23.24,24.39,24.85,23.94,23.27
Simiyu,22.21,22.75,22.84,23.00,22.39,21.83,20.97,20.50,21.42,22.52,23.23,22.76,22.38
Singida,22.16,23.03,22.97,23.00,22.32,21.47,20.31,19.65,20.57,22.07,23.40,23.81,23.37
Ruvuma,23.19,24.49,24.62,24.33,23.38,22.11,20.40,19.83,20.92,22.86,24.61,25.70,25.19
Pwani,26.28,27.98,28.08,27.84,26.80,25.83,24.55,23.79,24.24,25.07,26.17,27.26,27.88
"Kaskazini Unguja",26.55,28.12,28.25,28.11,27.18,26.47,25.62,24.79,24.73,25.18,25.96,26.62,27.61
"Kaskazini Pemba",26.61,28.16,28.31,28.47,27.53,26.47,25.62,24.70,24.62,25.09,25.88,26.84,27.73
