Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Uganda,23.26,23.73,24.27,24.26,23.72,23.19,22.67,22.32,22.69,22.87,23.17,23.22,23.04
Kibaale,22.36,22.92,23.24,23.12,22.77,22.33,21.96,21.61,21.92,21.88,22.17,22.37,22.10
Kasese,21.42,21.66,22.09,22.01,21.83,21.53,21.15,20.81,21.30,21.16,21.21,21.35,21.04
Tororo,22.99,23.55,23.97,23.95,23.45,22.89,22.35,22.06,22.39,22.29,23.16,22.90,22.99
Bukomansimbi,21.73,22.03,22.35,22.31,22.00,21.64,21.30,21.00,21.54,21.61,21.73,21.84,21.49
Kalangala,22.53,22.79,23.13,23.11,22.84,22.42,22.09,21.69,22.23,22.47,22.73,22.66,22.27
Bukwo,17.72,18.24,18.76,18.99,18.50,17.83,17.03,16.78,16.94,17.17,17.53,17.49,17.51
Bulambuli,22.30,22.83,23.31,23.42,22.91,22.26,21.65,21.39,21.57,21.75,22.37,22.12,22.14
Kabale,17.75,17.71,18.12,18.10,17.95,17.82,17.30,17.04,17.99,17.97,17.82,17.72,17.45
Buliisa,24.59,25.25,25.79,25.68,25.12,24.60,24.03,23.61,23.76,23.95,24.35,24.61,24.44
Jinja,23.47,24.02,24.37,24.34,23.84,23.28,22.85,22.56,22.98,22.91,23.66,23.52,23.40
Arua,24.77,25.53,26.26,26.27,25.51,24.79,23.97,23.55,23.68,24.03,24.33,24.79,24.69
Bundibugyo,21.62,21.97,22.29,22.33,22.09,21.79,21.37,20.94,21.28,21.24,21.42,21.59,21.25
Bushenyi,20.92,21.07,21.56,21.41,21.15,20.90,20.59,20.36,21.15,20.84,20.74,20.80,20.47
Buyende,24.08,24.71,25.15,25.10,24.51,23.96,23.47,23.14,23.42,23.52,24.06,24.00,23.95
Butambala,22.19,22.63,22.95,22.91,22.54,22.08,21.72,21.39,21.81,21.87,22.23,22.27,21.99
Iganga,23.72,24.31,24.67,24.62,24.13,23.56,23.10,22.82,23.23,23.08,23.91,23.71,23.67
Kalungu,21.76,22.07,22.39,22.35,22.04,21.67,21.33,21.03,21.56,21.62,21.76,21.87,21.52
Rukungiri,21.82,21.95,22.40,22.33,22.12,21.97,21.57,21.28,21.86,21.76,21.57,21.70,21.48
Kamuli,23.73,24.33,24.72,24.67,24.14,23.57,23.11,22.81,23.18,23.15,23.83,23.74,23.64
Kapchorwa,21.63,22.20,22.65,22.75,22.26,21.60,20.98,20.74,20.90,21.04,21.68,21.45,21.47
Koboko,24.80,25.51,26.46,26.48,25.67,24.83,23.92,23.45,23.55,23.98,24.34,24.82,24.72
Sheema,20.14,20.26,20.73,20.57,20.36,20.11,19.73,19.60,20.44,20.15,20.02,20.05,19.68
Kitgum,24.87,25.40,26.37,26.44,25.60,24.85,24.08,23.66,23.84,24.36,24.59,24.72,24.63
Kole,24.17,24.92,25.53,25.48,24.59,24.09,23.47,23.09,23.33,23.63,23.87,24.05,24.00
Kyankwanzi,23.03,23.64,24.03,23.92,23.45,22.98,22.53,22.20,22.44,22.55,22.83,23.04,22.83
Kisoro,16.71,16.69,17.10,17.04,16.93,16.84,16.32,15.98,16.89,16.91,16.76,16.67,16.39
Kotido,24.20,24.61,25.47,25.60,24.87,24.19,23.52,23.07,23.33,23.84,24.08,24.02,23.95
Kween,19.76,20.24,20.78,20.98,20.47,19.83,19.08,18.81,18.99,19.26,19.68,19.52,19.54
Nakaseke,23.18,23.80,24.18,24.09,23.56,23.08,22.68,22.31,22.62,22.68,23.07,23.20,23.00
Lamwo,24.59,25.22,26.22,26.26,25.39,24.58,23.75,23.29,23.49,23.96,24.20,24.45,24.38
Luuka,23.63,24.21,24.59,24.54,24.03,23.46,22.99,22.71,23.11,23.04,23.79,23.67,23.56
Mityana,22.36,22.83,23.18,23.12,22.70,22.25,21.89,21.55,21.96,22.00,22.34,22.43,22.15
Manafwa,22.66,23.22,23.66,23.64,23.15,22.58,22.02,21.72,22.02,21.96,22.82,22.55,22.67
Nakasongola,23.64,24.31,24.72,24.64,24.03,23.54,23.10,22.72,22.99,23.10,23.54,23.63,23.48
Mubende,21.93,22.40,22.75,22.63,22.26,21.85,21.49,21.19,21.64,21.57,21.82,21.96,21.66
Mbale,22.19,22.75,23.20,23.25,22.75,22.13,21.54,21.28,21.50,21.55,22.29,22.04,22.09
Mbarara,20.41,20.54,20.98,20.88,20.60,20.20,19.97,19.87,20.78,20.49,20.31,20.34,19.97
Luwero,23.32,23.90,24.23,24.21,23.70,23.16,22.77,22.43,22.81,22.82,23.33,23.37,23.15
Mayuge,23.26,23.63,24.01,24.04,23.57,23.05,22.62,22.30,22.82,23.00,23.67,23.32,23.14
Bududa,21.68,22.25,22.69,22.79,22.30,21.64,21.03,20.79,20.96,21.08,21.73,21.50,21.53
Kayunga,23.60,24.22,24.56,24.53,23.99,23.46,23.03,22.70,23.04,23.07,23.62,23.63,23.45
Ssembabule,21.44,21.80,22.11,22.02,21.73,21.35,21.01,20.77,21.39,21.25,21.36,21.45,21.13
Mpigi,22.25,22.67,22.96,22.95,22.59,22.15,21.79,21.43,21.89,22.01,22.31,22.32,22.04
Kyenjojo,21.49,21.96,22.26,22.14,21.86,21.47,21.11,20.87,21.22,21.15,21.32,21.47,21.13
Kiryandongo,24.22,24.95,25.51,25.41,24.66,24.15,23.58,23.20,23.42,23.66,23.95,24.20,24.07
Kyegegwa,21.60,22.07,22.36,22.23,21.92,21.53,21.20,20.97,21.40,21.28,21.42,21.58,21.25
Gomba,22.02,22.42,22.78,22.68,22.37,21.92,21.56,21.28,21.72,21.70,21.99,22.09,21.76
Mitooma,20.72,20.83,21.29,21.17,20.97,20.77,20.36,20.19,20.92,20.71,20.54,20.62,20.31
Ntungamo,19.69,19.74,20.19,20.10,19.89,19.65,19.22,19.12,20.02,19.82,19.65,19.64,19.30
Buvuma,23.03,23.35,23.68,23.72,23.33,22.88,22.49,22.11,22.63,22.90,23.41,23.13,22.81
Masaka,21.76,21.96,22.32,22.30,22.03,21.69,21.36,21.02,21.60,21.73,21.78,21.88,21.49
Butaleja,23.46,24.05,24.43,24.40,23.91,23.34,22.84,22.56,22.92,22.78,23.63,23.39,23.42
Masindi,23.78,24.49,24.99,24.83,24.24,23.73,23.20,22.83,23.01,23.19,23.52,23.77,23.65
Moroto,24.36,24.62,25.42,25.66,24.99,24.37,23.71,23.24,23.57,24.14,24.47,24.16,24.09
Nakapiripirit,23.90,24.26,24.93,25.10,24.49,23.91,23.24,22.88,23.16,23.58,24.04,23.66,23.69
Namutumba,23.90,24.50,24.86,24.82,24.32,23.75,23.28,23.00,23.38,23.23,24.07,23.85,23.85
Kibuku,24.20,24.80,25.24,25.21,24.63,24.04,23.57,23.25,23.54,23.60,24.30,24.16,24.15
Napak,24.52,24.90,25.67,25.80,25.11,24.50,23.87,23.46,23.71,24.16,24.55,24.33,24.28
Kiboga,22.50,23.03,23.42,23.32,22.83,22.40,22.03,21.69,22.07,22.07,22.37,22.54,22.28
Moyo,25.87,26.56,27.50,27.62,26.73,25.92,24.96,24.47,24.67,25.17,25.41,25.82,25.73
Nebbi,24.83,25.54,26.17,26.12,25.40,24.84,24.14,23.77,23.87,24.17,24.47,24.87,24.73
Ngora,24.44,25.03,25.54,25.52,24.92,24.33,23.79,23.48,23.73,23.90,24.50,24.34,24.34
Kaberamaido,24.36,24.99,25.56,25.52,24.83,24.24,23.73,23.35,23.58,23.79,24.24,24.28,24.25
Katakwi,24.69,25.13,25.79,25.86,25.24,24.63,24.05,23.69,23.94,24.26,24.77,24.52,24.51
Buhweju,21.28,21.46,21.98,21.82,21.52,21.26,21.02,20.72,21.50,21.13,21.07,21.14,20.83
Kampala,22.72,23.13,23.50,23.52,23.13,22.57,22.21,21.83,22.26,22.36,22.84,22.81,22.60
Kiruhura,21.03,21.29,21.66,21.55,21.25,20.83,20.63,20.48,21.21,20.95,20.89,20.99,20.59
Ntoroko,22.50,22.95,23.26,23.26,23.02,22.60,22.20,21.78,22.01,22.01,22.31,22.49,22.21
Kamwenge,21.59,21.90,22.28,22.17,21.93,21.57,21.26,21.03,21.53,21.35,21.39,21.54,21.19
Kanungu,21.22,21.33,21.77,21.71,21.52,21.39,20.97,20.67,21.26,21.19,20.98,21.09,20.89
Kaabong,24.05,24.47,25.39,25.57,24.85,24.10,23.32,22.89,23.09,23.63,23.85,23.84,23.73
Kaliro,24.07,24.68,25.11,25.07,24.51,23.93,23.45,23.13,23.44,23.49,24.14,24.02,24.00
Ibanda,21.30,21.56,21.99,21.84,21.56,21.20,20.99,20.76,21.45,21.15,21.12,21.21,20.86
Kabarole,21.63,21.96,22.30,22.31,22.06,21.74,21.35,20.97,21.35,21.27,21.44,21.58,21.26
Isingiro,20.24,20.29,20.71,20.72,20.44,20.02,19.75,19.65,20.61,20.44,20.19,20.27,19.84
Lyantonde,21.01,21.29,21.60,21.56,21.25,20.89,20.57,20.35,21.12,20.90,20.90,21.03,20.66
Rakai,21.15,21.24,21.63,21.65,21.43,21.06,20.74,20.45,21.17,21.23,21.15,21.30,20.80
Lira,24.36,25.07,25.73,25.69,24.84,24.28,23.64,23.27,23.52,23.82,24.09,24.27,24.20
Maracha,23.50,24.26,25.07,25.02,24.29,23.56,22.64,22.24,22.30,22.66,23.02,23.52,23.47
Otuke,24.66,25.25,25.99,25.99,25.22,24.60,23.95,23.56,23.81,24.16,24.50,24.59,24.47
Oyam,24.20,24.96,25.59,25.53,24.65,24.12,23.47,23.12,23.37,23.67,23.89,24.10,24.05
Pader,24.87,25.53,26.35,26.35,25.48,24.82,24.05,23.72,23.93,24.34,24.57,24.75,24.67
Pallisa,24.03,24.63,25.08,25.07,24.48,23.89,23.40,23.07,23.33,23.45,24.11,23.97,23.97
Rubirizi,22.91,23.12,23.60,23.49,23.19,22.98,22.69,22.33,22.93,22.70,22.65,22.78,22.52
Namayingo,23.32,23.64,24.05,24.10,23.62,23.11,22.65,22.32,22.88,23.16,23.80,23.39,23.18
Sironko,21.85,22.42,22.86,22.96,22.46,21.80,21.20,20.96,21.12,21.25,21.91,21.67,21.68
Mukono,22.90,23.33,23.67,23.68,23.29,22.74,22.38,22.01,22.45,22.54,23.03,22.99,22.75
Soroti,24.57,25.15,25.71,25.70,25.08,24.49,23.91,23.59,23.82,24.04,24.57,24.42,24.42
Lwengo,21.15,21.42,21.73,21.70,21.41,21.04,20.72,20.48,21.18,21.07,21.08,21.21,20.83
Zombo,21.23,22.04,22.54,22.45,21.90,21.27,20.55,20.19,20.27,20.48,20.79,21.27,21.14
Serere,24.30,24.92,25.42,25.39,24.76,24.18,23.67,23.32,23.58,23.74,24.28,24.21,24.20
Bukedea,22.39,22.93,23.40,23.49,22.98,22.33,21.74,21.48,21.66,21.82,22.46,22.21,22.23
