Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Ukraine,9.28,-3.35,-2.14,2.61,9.85,15.61,19.48,21.46,20.89,15.39,9.10,3.25,-1.56
Ternopil's'ka,8.39,-3.61,-2.13,2.09,9.02,14.40,17.92,19.55,19.13,14.17,8.57,3.06,-2.19
Sums'ka,7.85,-5.36,-4.50,0.66,8.92,15.24,18.76,20.59,19.69,13.99,7.49,1.23,-3.36
Rivnens'ka,8.54,-3.30,-2.03,2.34,9.42,14.68,18.00,19.81,19.22,14.13,8.32,2.99,-1.78
Poltavs'ka,9.01,-4.25,-3.20,2.10,10.03,16.16,19.91,21.75,21.11,15.34,8.61,2.29,-2.51
Odes'ka,10.84,-1.58,-0.16,4.25,10.66,16.54,20.76,22.81,22.54,17.16,10.93,5.28,0.22
Mykolayivs'ka,10.32,-2.58,-1.18,3.43,10.43,16.36,20.67,22.89,22.44,16.75,10.13,4.34,-0.67
Luhans'ka,8.96,-4.92,-4.11,1.47,10.01,16.38,20.37,22.47,21.59,15.65,8.51,1.97,-2.76
L'vivs'ka,8.41,-3.05,-1.61,2.65,8.99,13.91,17.29,19.03,18.72,13.82,8.76,3.36,-1.61
Kyyivs'ka,8.97,-3.60,-2.40,2.52,9.95,15.66,19.35,20.98,20.29,14.78,8.62,2.78,-2.05
Krym,11.48,0.19,0.99,4.66,10.34,15.94,20.52,23.32,22.97,17.64,11.70,6.52,2.32
Kirovohrads'ka,9.38,-3.70,-2.38,2.57,10.04,15.92,19.95,21.94,21.37,15.71,9.06,3.15,-1.89
Zakarpats'ka,8.32,-2.95,-1.27,3.12,8.81,13.43,16.86,18.60,18.47,13.69,8.72,3.48,-1.73
Khmel'nyts'ka,8.76,-3.25,-1.90,2.33,9.36,14.92,18.56,20.22,19.75,14.49,8.63,3.15,-1.87
Khersons'ka,10.81,-1.69,-0.52,4.00,10.41,16.41,20.83,23.39,22.94,17.26,10.67,4.89,0.37
Kharkivs'ka,8.87,-4.94,-3.81,1.64,10.04,16.17,20.03,22.16,21.33,15.37,8.48,1.99,-2.82
Ivano-frankivs'ka,7.70,-3.73,-2.29,1.91,8.11,13.08,16.63,18.29,18.06,13.25,8.11,2.78,-2.42
Donets'ka,9.73,-3.88,-2.76,2.64,10.60,16.57,20.67,22.96,22.23,16.37,9.40,2.95,-1.85
Dnipropetrovs'ka,10.00,-3.31,-2.07,3.04,10.59,16.60,20.71,22.98,22.36,16.57,9.66,3.41,-1.39
Chernivets'ka,8.84,-3.18,-1.47,2.74,9.26,14.57,18.26,19.97,19.56,14.64,9.11,3.61,-1.70
Zhytomyrs'ka,8.48,-3.70,-2.41,2.17,9.40,14.73,18.44,19.93,19.49,14.16,8.18,2.68,-2.08
Zaporiz'ka,10.69,-2.28,-1.24,3.65,10.75,16.73,21.10,23.59,23.01,17.32,10.56,4.44,-0.22
Chernihivs'ka,8.14,-4.58,-3.63,1.32,9.18,15.19,18.74,20.51,19.51,13.96,7.65,1.81,-2.71
Cherkas'ka,9.08,-3.74,-2.52,2.47,10.01,15.82,19.59,21.38,20.68,15.10,8.74,2.88,-2.19
Volyns'ka,8.47,-3.13,-1.77,2.44,9.12,14.35,17.65,19.50,18.94,13.88,8.32,3.12,-1.47
Vinnyts'ka,9.33,-3.15,-1.70,2.80,9.96,15.60,19.41,21.19,20.75,15.32,9.18,3.39,-1.55
