Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Uruguay,17.96,24.35,23.62,21.82,18.39,14.90,12.39,11.39,13.30,14.87,17.58,20.39,22.88
"San Jose",17.38,23.93,23.37,21.35,17.84,14.53,11.92,10.72,12.43,14.19,16.61,19.85,22.30
Canelones,17.32,23.63,23.05,21.42,17.98,14.62,11.90,10.88,12.51,14.04,16.58,19.47,22.08
Rivera,18.49,24.66,23.94,22.07,18.87,15.32,12.95,11.99,14.03,15.55,18.33,21.14,23.36
Artigas,19.44,25.72,24.78,23.21,19.66,15.92,13.72,12.81,15.23,16.51,19.53,22.05,24.52
"Rio Negro",18.26,25.13,24.13,22.18,18.37,14.80,12.33,11.33,13.32,15.18,18.06,21.01,23.62
Paysandu,18.37,25.09,24.02,22.21,18.56,14.92,12.48,11.52,13.63,15.34,18.30,21.09,23.64
Montevideo,17.17,23.46,22.95,21.28,17.88,14.59,11.80,10.74,12.32,13.89,16.37,19.34,21.80
Maldonado,16.79,22.57,22.18,20.96,17.87,14.55,11.91,10.82,12.15,13.47,15.80,18.50,21.07
Lavalleja,17.11,23.38,22.69,21.15,17.80,14.30,11.80,10.75,12.47,13.91,16.45,19.19,21.82
"Treinta Y Tres",17.54,23.53,23.17,21.33,18.30,14.93,12.19,11.30,13.02,14.49,16.96,19.64,22.04
Florida,17.42,23.99,23.26,21.44,17.81,14.35,11.88,10.75,12.61,14.23,16.82,19.85,22.43
Tacuarembo,18.27,24.78,23.89,22.05,18.54,14.98,12.62,11.58,13.64,15.24,18.06,20.88,23.31
Flores,17.71,24.43,23.69,21.70,17.95,14.52,12.08,10.87,12.74,14.55,17.19,20.34,22.90
Soriano,17.91,24.65,23.84,21.83,18.16,14.68,12.10,11.05,12.91,14.78,17.52,20.57,23.20
Durazno,17.90,24.60,23.73,21.87,18.15,14.64,12.27,11.12,13.10,14.78,17.51,20.44,23.01
Colonia,17.64,24.04,23.39,21.61,18.11,14.78,12.04,10.89,12.71,14.50,17.14,20.13,22.71
Salto,18.70,25.18,24.18,22.48,18.93,15.22,12.91,11.97,14.29,15.71,18.70,21.34,23.84
"Cerro Largo",17.95,24.10,23.65,21.46,18.56,15.38,12.45,11.67,13.38,14.97,17.43,20.31,22.49
Rocha,17.05,22.73,22.45,21.08,18.06,14.65,12.11,11.21,12.61,13.83,16.29,18.72,21.23
