Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"United States",9.45
"New Jersey",12.10,-0.34,0.83,4.99,10.97,16.45,21.58,24.37,23.38,19.53,13.03,7.34,2.38
"New Hampshire",7.14,-6.87,-5.57,-0.80,5.89,12.50,17.41,20.21,19.35,15.13,8.61,2.42,-3.37
Nevada,10.33,-0.01,1.86,5.03,8.25,13.33,18.42,23.09,21.97,17.14,10.54,3.95,-0.23
Nebraska,9.87,-3.86,-1.87,3.63,9.05,15.05,20.89,23.82,22.52,17.85,10.32,2.88,-2.58
Montana,6.28,-6.35,-4.61,0.31,5.56,10.88,15.56,19.87,19.14,13.65,6.57,-0.49,-5.52
Missouri,13.25,-0.49,2.04,7.55,13.31,18.51,23.33,25.63,24.78,20.50,14.10,7.22,1.76
Mississippi,18.12,7.58,9.79,13.71,17.91,22.39,26.08,27.52,27.23,24.46,18.67,12.69,8.91
Minnesota,5.78,-11.92,-9.30,-2.05,5.92,13.18,18.61,20.85,19.72,15.15,7.64,-0.93,-8.40
Michigan,7.56,-6.35,-5.54,-0.55,6.21,12.97,18.24,20.64,19.77,15.69,9.15,2.63,-3.01
Massachusetts,9.62,-3.29,-2.22,2.01,8.15,14.10,19.13,22.19,21.33,17.24,11.00,5.24,-0.19
Maryland,13.08,1.01,2.30,6.47,12.33,17.56,22.40,24.91,23.85,20.23,13.90,7.98,3.34
"South Dakota",7.90,-7.40,-5.40,0.74,7.22,13.71,19.58,22.95,21.83,16.69,8.73,0.71,-5.45
"South Carolina",17.63,7.60,9.47,13.06,17.34,21.67,25.46,27.22,26.49,23.56,17.99,12.43,8.81
"Rhode Island",10.77,-1.35,-0.55,3.23,8.96,14.45,19.60,22.94,22.31,18.39,12.28,6.69,1.64
Pennsylvania,9.95,-2.83,-1.68,2.70,9.21,14.99,19.69,22.11,21.15,17.38,10.96,5.01,-0.08
Oregon,8.38,0.19,1.77,4.00,6.68,10.94,14.28,18.49,17.96,14.12,8.58,3.09,-0.04
Oklahoma,16.03,3.77,6.11,10.86,15.65,20.54,25.43,27.95,27.32,22.96,16.52,9.87,4.75
Ohio,10.95,-2.23,-0.71,4.15,10.54,16.23,21.01,23.01,22.10,18.48,12.00,5.65,0.47
"North Dakota",5.17,-12.25,-9.70,-2.76,5.27,12.20,17.87,20.87,20.02,14.48,6.45,-2.18,-9.22
"North Carolina",15.66,5.20,6.74,10.46,15.28,19.75,23.86,25.86,25.02,21.90,16.14,10.48,6.66
"New York",7.87,-5.74,-4.88,-0.17,6.70,13.20,18.00,20.65,19.71,15.81,9.40,3.31,-2.39
"New Mexico",12.58,2.36,4.25,7.85,11.61,16.51,21.55,23.30,22.27,18.82,12.93,6.75,2.24
"District of Columbia",13.88,1.82,3.18,7.42,13.24,18.37,23.28,25.78,24.62,20.95,14.65,8.65,3.96
Delaware,13.53,1.72,2.83,6.89,12.43,17.69,22.66,25.27,24.20,20.68,14.46,8.69,4.12
Connecticut,10.22,-2.46,-1.40,2.73,8.82,14.55,19.58,22.60,21.79,17.85,11.57,5.81,0.46
Wyoming,5.87,-5.73,-4.74,0.10,4.32,9.81,15.06,19.48,18.29,13.21,6.00,-0.63,-5.49
Wisconsin,6.87,-9.22,-7.21,-0.70,6.53,13.38,18.72,21.03,19.85,15.51,8.64,0.94,-5.88
"West Virginia",11.56,-0.33,1.22,5.62,11.47,16.32,20.53,22.60,21.85,18.45,12.21,6.30,1.88
Washington,8.32,-0.47,1.09,3.96,7.24,11.50,14.63,18.36,18.22,14.36,8.42,2.64,-0.67
Virginia,13.56,2.21,3.70,7.77,13.27,17.97,22.37,24.57,23.64,20.19,14.08,8.25,4.05
Colorado,7.22,-4.23,-2.65,1.84,5.75,11.22,16.59,19.74,18.57,14.41,7.67,1.09,-4.00
California,14.49,6.63,7.91,9.97,12.46,16.50,20.55,23.87,23.40,20.57,15.50,9.82,6.23
Arkansas,16.57,4.91,7.22,11.72,16.55,21.10,25.41,27.36,26.78,23.12,17.05,10.75,6.25
Arizona,15.96,6.12,7.87,10.93,14.35,19.02,24.28,26.97,26.05,22.77,16.63,10.29,5.67
Alaska,-3.38,-17.75,-15.45,-13.10,-4.50,3.85,9.65,11.75,10.00,5.28,-3.28,-11.94,-15.89
Vermont,6.65,-7.85,-6.60,-1.48,5.66,12.60,17.28,19.97,18.91,14.71,8.11,1.90,-4.27
Alabama,17.81,7.54,9.70,13.51,17.50,21.93,25.60,27.12,26.78,24.06,18.29,12.38,8.85
Utah,8.93,-3.12,-0.80,3.89,7.64,12.83,18.18,22.30,21.14,16.16,9.09,2.24,-3.02
Texas,19.05,8.64,10.86,14.83,19.02,23.36,27.18,28.61,28.32,24.91,19.59,13.54,9.26
Tennessee,14.86,3.30,5.29,9.63,14.83,19.46,23.67,25.54,24.94,21.56,15.30,9.19,4.97
Maine,5.62,-9.42,-8.15,-2.87,4.09,11.10,16.31,19.35,18.49,14.04,7.59,1.27,-5.31
Louisiana,19.76,10.08,12.20,15.75,19.53,23.72,27.01,28.22,28.15,25.68,20.37,14.80,11.18
Kentucky,13.82,1.48,3.50,8.14,13.90,18.78,23.11,25.01,24.38,20.82,14.43,8.13,3.55
Kansas,13.14,-0.33,1.95,7.35,12.51,18.08,23.73,26.43,25.31,20.78,13.72,6.42,1.01
Iowa,9.46,-6.52,-4.09,2.62,9.47,16.06,21.45,23.37,22.06,17.98,10.93,2.97,-3.65
