Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Uzbekistan,13.72,-1.50,0.46,7.57,15.16,21.50,26.52,28.46,26.49,20.38,12.99,5.59,0.13
Namangan,10.99,-3.44,-0.80,5.88,12.69,17.50,21.94,23.91,22.44,17.46,10.95,3.99,-1.41
Jizzakh,14.69,1.74,3.70,9.59,15.50,20.60,25.36,27.21,25.67,20.61,14.28,7.94,3.33
"Tashkent city",15.81,2.70,4.96,10.91,16.80,21.62,26.55,28.41,26.85,21.63,15.35,9.02,4.25
Navoiy,14.49,-1.35,0.91,8.44,16.12,22.62,27.85,29.80,27.72,21.39,13.59,5.81,0.05
Kashkadarya,14.80,2.42,4.25,9.69,15.53,20.77,25.35,27.11,25.39,20.27,14.11,8.06,3.89
Karakalpakstan,12.39,-4.27,-2.65,5.22,14.04,21.32,26.56,28.56,26.44,19.61,11.60,3.64,-2.35
Fergana,13.61,-0.79,1.98,8.72,15.43,20.27,24.63,26.44,24.91,20.03,13.56,6.48,0.94
Bukhara,16.22,1.87,4.10,10.71,17.81,23.77,28.50,30.32,28.20,22.41,15.23,8.00,2.98
Andijan,14.28,-0.68,2.59,9.67,16.58,21.47,25.70,27.04,25.35,20.56,14.21,7.00,1.15
Tashkent,10.79,-2.84,-0.72,5.52,11.86,16.71,21.47,23.67,22.27,17.12,10.64,4.00,-0.93
Sirdarya,16.59,3.45,5.65,11.72,17.57,22.71,27.48,29.14,27.46,22.47,16.18,9.72,4.84
Surkhandarya,14.08,1.82,3.69,8.96,14.53,19.53,24.24,26.21,24.61,19.65,13.76,7.78,3.53
Samarkand,14.72,2.05,3.90,9.57,15.56,20.74,25.36,27.15,25.49,20.44,14.20,7.90,3.54
Khorezm,14.80,-0.64,1.45,8.71,16.53,23.05,28.06,29.90,27.68,21.39,13.82,6.17,0.57
