Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Venezuela,25.71,25.34,25.70,26.25,26.41,25.94,25.36,25.15,25.47,25.77,25.92,25.83,25.44
Sucre,25.47,24.39,24.33,25.06,25.93,26.30,25.67,25.48,25.80,26.15,26.10,25.47,24.93
Portuguesa,27.10,26.97,27.69,28.42,28.38,27.12,26.42,26.02,26.43,26.79,27.14,26.99,26.87
Monagas,27.00,26.10,26.26,26.93,27.67,27.64,26.83,26.78,27.14,27.54,27.57,27.04,26.46
Miranda,25.44,24.12,24.63,25.40,26.30,26.66,25.66,25.23,25.57,25.83,25.87,25.21,24.71
Merida,19.55,18.82,19.32,19.73,19.94,19.90,19.63,19.47,19.74,19.85,19.72,19.35,19.16
Lara,25.30,24.29,24.91,24.97,25.73,25.68,25.62,25.47,25.75,25.93,25.71,24.97,24.60
Guarico,27.74,27.51,28.11,28.96,29.30,28.46,27.10,26.70,26.95,27.29,27.45,27.58,27.47
Falcon,27.62,26.25,26.39,26.76,27.59,28.07,28.24,28.19,28.60,28.81,28.29,27.33,26.84
"Dependencias Federales",27.58,26.01,26.23,26.92,27.75,28.35,28.24,28.06,28.38,28.54,28.20,27.52,26.69
"Nueva Esparta",27.64,26.39,26.21,26.98,27.59,28.16,28.10,27.95,28.27,28.65,28.54,27.74,26.96
"Delta Amacuro",26.84,25.89,25.98,26.52,27.19,27.23,26.84,26.82,27.20,27.48,27.46,27.09,26.42
Bolivar,24.42,23.95,24.21,24.84,25.10,24.72,24.12,23.90,24.20,24.51,24.72,24.68,24.09
Barinas,26.99,26.81,27.51,28.27,28.07,27.00,26.36,26.04,26.45,26.80,27.03,26.94,26.63
Aragua,24.72,23.80,24.26,25.26,26.02,25.75,24.69,24.28,24.50,24.71,24.73,24.53,24.12
Apure,28.16,28.17,28.95,29.74,29.37,28.05,27.23,26.94,27.31,27.82,28.17,28.24,28.03
Anzoategui,27.41,26.77,27.17,27.91,28.43,28.20,27.10,26.85,27.16,27.45,27.58,27.39,26.98
Zulia,27.50,26.59,26.93,27.45,27.83,27.76,27.89,28.10,28.19,27.83,27.37,27.09,26.97
Amazonas,24.46,24.74,24.96,25.08,24.68,24.17,23.79,23.61,23.96,24.37,24.71,24.94,24.59
Yaracuy,25.55,24.77,25.06,25.78,26.04,26.00,25.54,25.19,25.62,25.89,26.02,25.58,25.07
Trujillo,23.12,22.29,22.98,23.05,23.50,23.46,23.43,23.27,23.42,23.48,23.22,22.74,22.59
Tachira,22.86,22.09,22.46,23.08,23.23,23.15,22.91,22.77,23.15,23.20,23.07,22.78,22.38
"Distrito Capital",23.18,21.66,22.05,22.96,23.90,24.33,23.61,23.21,23.55,23.75,23.66,23.02,22.37
Cojedes,27.00,26.87,27.53,28.36,28.54,27.14,26.30,25.83,26.28,26.47,26.93,26.88,26.89
Carabobo,24.70,23.95,24.30,25.21,25.68,25.38,24.64,24.22,24.57,24.69,24.89,24.61,24.28
Vargas,23.52,21.96,22.27,23.05,24.02,24.58,24.07,23.69,24.02,24.24,24.15,23.41,22.67
