Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Yemen,25.54,19.17,21.39,24.22,26.60,29.02,30.14,30.23,29.85,28.58,25.02,22.16,19.93
Lahj,26.84,22.60,23.82,25.22,26.92,28.67,30.44,31.01,30.28,29.50,26.27,24.13,22.99
Raymah,23.73,19.46,21.07,22.50,24.26,25.80,27.38,27.94,27.12,26.06,22.81,20.77,19.47
Sana'a,19.89,15.28,17.29,19.09,20.66,22.34,23.96,24.51,23.63,22.39,18.33,16.14,14.92
Dhamar,20.49,16.27,18.00,19.54,21.14,22.68,24.23,24.77,23.93,22.86,19.21,17.13,16.04
Amran,21.67,16.41,18.54,20.60,22.35,24.44,26.00,26.65,25.99,24.30,20.27,17.94,16.41
Hadramaut,26.60,19.11,21.63,25.15,27.95,30.75,31.64,31.60,31.43,30.02,26.37,23.03,20.23
"Al Mahwit",24.73,20.23,21.82,23.44,25.31,26.89,28.46,29.07,28.29,27.09,23.86,21.80,20.36
Taizz,26.48,22.19,23.42,24.83,26.72,28.27,29.91,30.78,30.06,28.94,25.97,23.95,22.61
"Al Maharah",26.11,19.62,21.82,24.82,27.78,30.21,30.81,29.39,29.14,28.63,26.29,23.60,20.99
Shabwah,25.20,19.43,21.51,24.12,26.02,28.28,29.49,29.85,29.40,28.31,24.42,21.60,19.80
"Al Jawf",25.17,17.88,20.64,23.94,26.09,28.92,30.25,31.31,30.98,28.66,23.92,20.79,18.40
Aden,29.33,25.18,26.24,27.60,29.19,31.07,32.96,33.25,32.53,32.07,28.99,26.83,25.85
"Al Hudaydah",29.68,25.03,26.30,27.84,30.05,31.63,33.11,33.93,33.31,32.09,29.52,27.42,25.70
Sa'ada,22.60,16.21,18.58,21.22,23.22,25.95,27.43,28.30,27.90,25.62,21.25,18.61,16.63
"Al Bayda",20.45,15.82,17.66,19.53,21.08,22.90,24.38,24.83,24.06,23.14,19.21,16.90,15.73
Marib,24.13,18.29,20.57,23.08,24.91,27.15,28.58,29.27,28.71,27.16,22.97,20.24,18.48
"Amanat Al Asimah",18.04,13.59,15.65,17.37,18.87,20.46,22.09,22.63,21.68,20.49,16.26,14.15,13.07
"Al Dhale'e",21.14,16.91,18.54,20.10,21.64,23.27,24.84,25.32,24.48,23.66,20.03,17.87,16.83
Ibb,21.02,16.94,18.53,19.94,21.55,23.09,24.62,25.17,24.32,23.37,19.88,17.86,16.81
Abyan,26.21,21.49,23.03,24.98,26.67,28.65,30.11,30.23,29.66,29.10,25.55,23.10,21.81
Hajjah,27.65,22.65,24.18,25.94,28.11,30.01,31.48,32.09,31.57,30.15,27.24,24.99,23.20
