Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
"South Africa",18.23,23.70,23.46,21.76,18.44,15.02,11.92,11.64,13.52,16.63,19.30,20.99,22.69
"Eastern Cape",16.57,21.57,21.53,19.85,16.95,14.05,11.43,11.22,12.57,14.71,16.76,18.30,20.27
KwaZulu-Natal,18.59,22.38,22.42,21.41,19.00,16.38,13.86,13.72,15.52,17.78,19.08,20.13,21.61
Limpopo,21.00,25.18,25.02,23.79,21.13,18.00,15.18,14.81,17.29,20.59,22.77,23.87,24.65
Mpumalanga,18.05,22.02,22.00,20.88,18.25,15.31,12.52,12.34,14.65,17.62,19.36,20.36,21.52
"North West",19.17,24.62,23.99,22.37,19.01,15.33,11.93,11.67,14.54,18.47,21.57,22.89,23.98
"Northern Cape",18.70,25.40,25.02,22.93,18.93,14.98,11.44,11.13,12.80,16.29,19.73,22.04,24.16
Gauteng,17.50,22.11,21.93,20.47,17.37,14.02,10.89,10.72,13.51,17.36,19.72,20.65,21.55
"Free State",16.66,22.82,22.19,20.21,16.44,12.59,9.22,9.04,11.61,15.68,18.48,20.16,21.82
"Western Cape",17.06,22.39,22.62,20.86,17.77,14.66,11.94,11.42,12.13,14.16,17.01,18.99,21.12
