Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Zambia,22.23,23.38,23.59,23.42,22.26,20.27,18.17,17.70,20.23,23.48,25.40,25.07,23.87
Eastern,23.14,24.06,24.09,24.06,22.99,21.29,19.51,18.96,20.98,24.16,26.27,26.53,24.90
Copperbelt,21.05,22.50,22.78,22.50,21.08,18.80,16.74,16.14,18.88,22.10,24.20,24.12,22.95
Central,21.90,23.16,23.36,23.13,21.73,19.63,17.81,17.14,19.67,23.14,25.27,25.22,23.69
Western,23.03,24.63,24.81,24.57,23.21,20.69,18.14,17.72,20.84,24.42,26.50,25.92,25.05
Southern,22.58,24.39,24.46,24.07,22.45,19.91,17.42,16.97,19.85,23.82,26.41,26.38,24.97
Northern,21.75,22.26,22.53,22.56,21.81,20.58,18.80,18.26,20.21,22.89,24.42,24.04,22.72
North-Western,21.57,22.75,23.09,22.87,21.76,19.57,17.33,17.14,19.94,23.01,24.58,23.87,23.12
Lusaka,23.37,24.71,24.78,24.51,23.06,20.93,19.01,18.39,20.96,24.66,27.09,27.09,25.35
Luapula,22.14,22.73,23.01,23.01,22.44,21.10,19.04,18.60,20.69,23.41,24.71,24.03,22.99
