Variable:,tas
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Zimbabwe,21.89,24.54,24.40,23.68,21.80,19.23,16.86,16.35,18.84,22.36,24.76,25.34,24.73
"Mashonaland Central",22.52,24.40,24.45,24.01,22.38,20.16,18.04,17.48,19.67,23.07,25.60,26.10,25.02
Manicaland,20.55,23.21,23.08,22.30,20.52,18.29,16.18,15.61,17.68,20.55,22.60,23.55,23.19
Harare,19.55,21.92,21.87,21.34,19.51,17.18,15.14,14.39,16.58,19.80,22.10,22.69,22.23
Bulawayo,19.89,22.90,22.74,21.77,19.71,16.91,14.64,14.14,16.86,20.44,22.85,23.18,22.76
"Matabeleland North",22.47,24.85,24.76,24.20,22.34,19.66,17.02,16.60,19.44,23.38,26.08,26.29,25.24
Midlands,21.53,23.99,23.85,23.20,21.43,18.84,16.50,16.02,18.65,22.23,24.63,24.97,24.19
"Matabeleland South",21.52,25.28,24.93,23.81,21.46,18.35,15.78,15.22,17.94,21.62,24.10,25.00,25.02
Masvingo,22.34,25.85,25.49,24.44,22.30,19.60,17.24,16.71,18.97,22.23,24.34,25.49,25.70
"Mashonaland West",22.63,24.42,24.42,24.05,22.49,20.15,17.88,17.43,19.94,23.63,26.10,26.29,24.98
"Mashonaland East",20.64,23.03,23.02,22.33,20.64,18.36,16.23,15.58,17.73,20.87,23.10,23.75,23.29
