numero_incident,type_incident,station,ligne_orange,ligne_verte,ligne_jaune,ligne_bleue,annee,mois,jour_du_mois,date,duree_mins
S01011901,S,Snowdon,1,0,0,0,2019,1,1,2019-01-01,36
S01011902,S,Snowdon,1,0,0,0,2019,1,1,2019-01-01,46
S01011903,S,Place-des-Arts,0,1,0,0,2019,1,1,2019-01-01,6
S01011904,S,Lionel-Groulx,0,1,0,0,2019,1,1,2019-01-01,40
S01011905,S,Berri-UQAM,0,1,0,0,2019,1,1,2019-01-01,29
S01011906,S,Berri-UQAM,0,1,0,0,2019,1,1,2019-01-01,15
S01011907,S,St-Laurent,0,1,0,0,2019,1,1,2019-01-01,29
S01011908,S,Verdun,0,1,0,0,2019,1,1,2019-01-01,11
S01011909,S,Berri-UQAM,0,1,0,0,2019,1,1,2019-01-01,29
S01012001,S,Atwater,0,1,0,0,2020,1,1,2020-01-02,37
S01012002,S,Place St-Henri,1,0,0,0,2020,1,1,2020-01-02,57
S01012003,S,Square-Victoria,1,0,0,0,2020,1,1,2020-01-02,57
S01012004,S,Mont-Royal,1,0,0,0,2020,1,1,2020-01-02,58
S01012005,S,Place-des-Arts,0,1,0,0,2020,1,1,2020-01-02,0
S01012006,S,Beaudry,0,1,0,0,2020,1,1,2020-01-02,25
S01012007,S,Lionel-Groulx,0,1,0,0,2020,1,1,2020-01-02,30
S01012008,S,McGill,0,1,0,0,2020,1,1,2020-01-02,0
S01012009,S,Jarry,1,0,0,0,2020,1,1,2020-01-01,26
S01012010,S,St-Laurent,0,1,0,0,2020,1,1,2020-01-01,45
S01012011,S,Vendôme,1,0,0,0,2020,1,1,2020-01-01,25
S01012012,S,Berri-UQAM,0,1,0,0,2020,1,1,2020-01-01,50
S01012013,S,Côte-Vertu,1,0,0,0,2020,1,1,2020-01-01,50
S01012014,S,Côte-des-Neiges,0,0,0,1,2020,1,1,2020-01-01,11
S01012015,S,Namur,1,0,0,0,2020,1,1,2020-01-01,25
S01012101,S,Atwater,0,1,0,0,2021,1,1,2021-01-01,37
S01012102,S,Lucien-L'Allier,1,0,0,0,2021,1,1,2021-01-01,57
S01012103,S,Berri-UQAM,0,1,0,0,2021,1,1,2021-01-01,26
S01012104,S,Beaubien,1,0,0,0,2021,1,1,2021-01-01,20
S01012105,S,Viau,0,1,0,0,2021,1,1,2021-01-01,34
S01012106,S,Place-D'Armes,1,0,0,0,2021,1,1,2021-01-01,52
S01012107,S,Berri-UQAM,0,1,0,0,2021,1,1,2021-01-01,31
S01012108,S,Place-D'Armes,1,0,0,0,2021,1,1,2021-01-01,25
S01012109,S,Parc,0,0,0,1,2021,1,1,2021-01-01,15
S01012201,S,Papineau,0,1,0,0,2022,1,1,2022-01-01,10
S01012202,S,Fabre,0,0,0,1,2022,1,1,2022-01-01,4
S01012203,S,McGill,0,1,0,0,2022,1,1,2022-01-02,30
S01021901,S,Sauvé,1,0,0,0,2019,2,1,2019-02-01,31
S01021902,S,Peel,0,1,0,0,2019,2,1,2019-02-01,25
S01021903,S,Jean-Talon,1,0,0,0,2019,2,1,2019-02-01,32
S01021904,S,Langelier,0,1,0,0,2019,2,1,2019-02-01,46
S01021905,S,De l'Eglise,0,1,0,0,2019,2,1,2019-02-01,23
S01021906,S,Acadie,0,0,0,1,2019,2,1,2019-02-01,17
S01021907,S,Outremont,0,0,0,1,2019,2,1,2019-02-01,3
S01021908,S,Côte-Vertu,1,0,0,0,2019,2,1,2019-02-01,12
S01021909,S,Berri-UQAM,0,1,0,0,2019,2,1,2019-02-01,23
S01021910,S,McGill,0,1,0,0,2019,2,1,2019-02-01,7
S01021911,S,Lionel-Groulx,1,0,0,0,2019,2,1,2019-02-01,21
S01021912,S,Bonaventure,1,0,0,0,2019,2,1,2019-02-01,10
S01021913,S,Berri-UQAM,0,1,0,0,2019,2,1,2019-02-01,57
S01021914,S,Place-des-Arts,0,1,0,0,2019,2,1,2019-02-01,21
S01021915,S,Berri L-2,1,0,0,0,2019,2,1,2019-02-01,13
S01021916,S,Jarry,1,0,0,0,2019,2,1,2019-02-01,12
S01021917,S,Bonaventure,1,0,0,0,2019,2,1,2019-02-01,41
S01021918,S,Joliette,0,1,0,0,2019,2,1,2019-02-02,30
S01022001,S,Côte-des-Neiges,0,0,0,1,2020,2,1,2020-02-01,33
S01022002,S,Berri-UQAM,0,1,0,0,2020,2,1,2020-02-01,26
S01022003,S,Papineau,0,1,0,0,2020,2,1,2020-02-01,25
S01022004,S,Lionel-Groulx,0,1,0,0,2020,2,1,2020-02-01,11
S01022005,S,Jean-Talon,1,0,0,0,2020,2,1,2020-02-01,21
S01022006,S,Snowdon,1,0,0,0,2020,2,1,2020-02-01,59
S01022007,S,Berri-UQAM,0,1,0,0,2020,2,1,2020-02-01,36
S01022008,S,Joliette,0,1,0,0,2020,2,1,2020-02-01,26
S01022102,S,Place-des-Arts,0,1,0,0,2021,2,1,2021-02-01,40
S01022103,S,Rosemont,1,0,0,0,2021,2,1,2021-02-01,46
S01022104,S,Lionel-Groulx,0,1,0,0,2021,2,1,2021-02-01,20
